,hpso01 (Ingest) [Nf_max=16384] [Na=32],hpso01 (RCAL) [Nf_max=16384] [Na=32],hpso01 (FastImg) [Nf_max=16384] [Na=32],hpso01 (ICAL) [Nf_max=16384] [Na=32],hpso01 (DPrepA) [Nf_max=16384] [Na=32],hpso01 (DPrepB) [Nf_max=16384] [Na=32],hpso01 (DPrepC) [Nf_max=16384] [Na=32],hpso01 (DPrepD) [Nf_max=16384] [Na=32],hpso02a (Ingest) [Nf_max=16384] [Na=32],hpso02a (RCAL) [Nf_max=16384] [Na=32],hpso02a (FastImg) [Nf_max=16384] [Na=32],hpso02a (ICAL) [Nf_max=16384] [Na=32],hpso02a (DPrepA) [Nf_max=16384] [Na=32],hpso02a (DPrepB) [Nf_max=16384] [Na=32],hpso02a (DPrepC) [Nf_max=16384] [Na=32],hpso02a (DPrepD) [Nf_max=16384] [Na=32],hpso02b (Ingest) [Nf_max=16384] [Na=32],hpso02b (RCAL) [Nf_max=16384] [Na=32],hpso02b (FastImg) [Nf_max=16384] [Na=32],hpso02b (ICAL) [Nf_max=16384] [Na=32],hpso02b (DPrepA) [Nf_max=16384] [Na=32],hpso02b (DPrepB) [Nf_max=16384] [Na=32],hpso02b (DPrepC) [Nf_max=16384] [Na=32],hpso02b (DPrepD) [Nf_max=16384] [Na=32],hpso04a (Ingest) [Na=32],hpso04a (RCAL) [Na=32],hpso04a (FastImg) [Na=32],hpso04a (PSS) [Na=32],hpso05a (Ingest) [Nf_max=16384] [Na=32],hpso05a (RCAL) [Nf_max=16384] [Na=32],hpso05a (FastImg) [Nf_max=16384] [Na=32],hpso05a (PST) [Nf_max=16384] [Na=32],max_low (Ingest) [Nf_max=16384] [Na=32],max_low (RCAL) [Nf_max=16384] [Na=32],max_low (FastImg) [Nf_max=16384] [Na=32],max_low (ICAL) [Nf_max=16384] [Na=32],max_low (DPrepA) [Nf_max=16384] [Na=32],max_low (DPrepA_Image) [Nf_max=16384] [Na=32],max_low (DPrepB) [Nf_max=16384] [Na=32],max_low (DPrepC) [Nf_max=16384] [Na=32],max_low (DPrepD) [Nf_max=16384] [Na=32]
Frequencies predict ifft,16384.0,200.0,40.0,200.0,200,200.0,200.0,10240.0,16384.0,200.0,40.0,200.0,200,200.0,200.0,10240.0,16384.0,200.0,40.0,200.0,200,200.0,200.0,10240.0,16384.0,200.0,40.0,(undefined),16384.0,200.0,40.0,(undefined),16384.0,200.0,40.0,200.0,200,200.0,200.0,200.0,16384.0
Frequencies predict kernels0,(undefined),190.05720288066834,364.52288461678205,192.3867842059064,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),190.05720288066834,364.52288461678205,193.05971243657226,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),190.05720288066834,364.52288461678205,193.05971243657226,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),115.6899113398451,222.75933872570835,(undefined),(undefined),115.6899113398451,222.75933872570835,(undefined),(undefined),266.3923151012687,511.6591552951528,271.08861703840586,269.57301555724183,266.70490555653464,277.48520338519785,841.0439984309672,(undefined)
Frequencies predict kernels1,,194.0541590617364,365.0584953999703,200.4605351511323,194.75922002843842,218.15734719428568,932.9886152281582,,,194.0541590617364,365.0584953999703,202.28816976573157,194.75922002843842,218.15734719428568,932.9886152281582,,,194.0541590617364,365.0584953999703,202.28816976573157,194.75922002843842,218.15734719428568,932.9886152281582,,,117.28888708187841,222.83688638800666,,,117.28888708187841,222.83688638800666,,,271.3141528822615,512.317136997464,284.2047257022032,280.08387328371566,272.1835795172644,301.22257589075963,1237.7927625562772,
Frequencies predict kernels2,,204.9711139739497,369.3268941633874,221.79005112820772,206.86074318611912,265.056189563791,1094.1323511247374,,,204.9711139739497,369.3268941633874,226.4559003085981,206.86074318611912,265.056189563791,1094.1323511247374,,,204.9711139739497,369.3268941633874,226.4559003085981,206.86074318611912,265.056189563791,1094.1323511247374,,,121.7097560834995,223.45734073105942,,,121.7097560834995,223.45734073105942,,,284.8148859219807,517.5643890331957,318.52399789931405,307.97838724324026,287.1597619299887,360.2545022701573,1973.620379632879,
Frequencies predict kernels3,,233.21144061147183,402.0118333134956,273.5004792175716,237.906904536263,367.178194107302,1094.1323511247374,,,233.21144061147183,402.0118333134956,284.17484266568687,237.906904536263,367.178194107302,1094.1323511247374,,,233.21144061147183,402.0118333134956,284.17484266568687,237.906904536263,367.178194107302,1094.1323511247374,,,133.46572489358715,228.37652250683485,,,133.46572489358715,228.37652250683485,,,320.0689990404913,557.966411514353,365.934075079649,358.3865382540878,325.96916765938124,490.91502752547393,3271.2805163917124,
Frequencies predict kernels4,,271.7656362093729,604.4805328768355,295.4734515198507,272.59904618414,415.8415865959489,1094.1323511247374,,,271.7656362093729,604.4805328768355,295.6874735636372,272.59904618414,415.8415865959489,1094.1323511247374,,,271.7656362093729,604.4805328768355,295.6874735636372,272.59904618414,415.8415865959489,1094.1323511247374,,,162.3027793249104,264.6765079586872,,,162.3027793249104,264.6765079586872,,,359.2020527612233,813.8877128794367,365.934075079649,358.3865382540878,359.33476154686275,532.2917584988404,4525.517802725533,
Frequencies predict de-grid0,16384.0,141.90819215470026,1186.6956875807953,180.42193493103704,147.1384609198426,500.0,1500.0,(undefined),16384.0,141.90819215470026,1186.6956875807953,188.98053110217305,147.1384609198426,500.0,1500.0,(undefined),16384.0,141.90819215470026,1186.6956875807953,188.98053110217305,147.1384609198426,500.0,1500.0,(undefined),16384.0,121.57125287166222,727.1815092638062,(undefined),16384.0,121.57125287166222,727.1815092638062,(undefined),16384.0,199.26552630732883,1666.3443177517802,278.5836390858683,258.01971053861473,206.60981055187344,500.0,16384.0,16384.0
Frequencies predict de-grid1,16384.0,283.12492857781456,2372.6984303939844,360.1520532979532,293.5854060303608,500.0,2372.6984303939844,,16384.0,283.12492857781456,2372.6984303939844,377.26918541595444,293.5854060303608,500.0,2372.6984303939844,,16384.0,283.12492857781456,2372.6984303939844,377.26918541595444,293.5854060303608,500.0,2372.6984303939844,,16384.0,242.71959454507825,1453.9394929925988,,16384.0,242.71959454507825,1453.9394929925988,,16384.0,397.5604709294264,3331.7159644487933,556.1960211322845,515.0682992841859,412.2489551190896,686.4337711722908,16384.0,16384.0
Frequencies predict de-grid2,16384.0,565.5575581107942,4744.703814848597,719.611626215311,586.4784828086504,977.0023310935779,4744.703814848597,,16384.0,565.5575581107942,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,16384.0,565.5575581107942,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,16384.0,485.0159097761033,2907.4553987723175,,16384.0,485.0159097761033,2907.4553987723175,,16384.0,794.1491768611579,6662.459115881312,1111.4199379380743,1029.1645621519401,823.5261028545824,1371.8952766430345,16384.0,16384.0
Frequencies predict de-grid3,16384.0,1130.4223937148056,9488.714533153065,1438.530439024606,1172.2642279642882,1953.3117608590187,9488.714533153065,,16384.0,1130.4223937148056,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,16384.0,1130.4223937148056,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,16384.0,969.6083556181683,5814.487179478897,,16384.0,969.6083556181683,5814.487179478897,,16384.0,1587.3259945359346,13323.945347729323,2221.867346610081,2057.3566290643917,1646.0798252703783,2742.8179431826493,16384.0,16384.0
Frequencies predict de-grid4,16384.0,2260.151852737311,16384.0,2876.367897849623,2343.835513653477,3905.930497514414,16384.0,,16384.0,2260.151852737311,16384.0,3013.3047959196206,2343.835513653477,3905.930497514414,16384.0,,16384.0,2260.151852737311,16384.0,3013.3047959196206,2343.835513653477,3905.930497514414,16384.0,,16384.0,1938.7931548514175,11628.550725478857,,16384.0,1938.7931548514175,11628.550725478857,,16384.0,3173.6793321543814,16384.0,4442.761951158458,4113.740533099671,3291.1869829821444,5484.663103847904,16384.0,16384.0
Frequencies total0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,(undefined),16384.0,16153.503118368213,11628.550725478857,(undefined),16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total1,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total2,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total3,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total4,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies backward kernels0,(undefined),190.05720288066834,364.52288461678205,192.3867842059064,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),190.05720288066834,364.52288461678205,193.05971243657226,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),190.05720288066834,364.52288461678205,193.05971243657226,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),115.6899113398451,222.75933872570835,(undefined),(undefined),115.6899113398451,222.75933872570835,(undefined),(undefined),266.3923151012687,511.6591552951528,271.08861703840586,269.57301555724183,266.70490555653464,277.48520338519785,841.0439984309672,(undefined)
Frequencies backward kernels1,,194.0541590617364,365.0584953999703,200.4605351511323,194.75922002843842,218.15734719428568,932.9886152281582,,,194.0541590617364,365.0584953999703,202.28816976573157,194.75922002843842,218.15734719428568,932.9886152281582,,,194.0541590617364,365.0584953999703,202.28816976573157,194.75922002843842,218.15734719428568,932.9886152281582,,,117.28888708187841,222.83688638800666,,,117.28888708187841,222.83688638800666,,,271.3141528822615,512.317136997464,284.2047257022032,280.08387328371566,272.1835795172644,301.22257589075963,1237.7927625562772,
Frequencies backward kernels2,,204.9711139739497,369.3268941633874,221.79005112820772,206.86074318611912,265.056189563791,1094.1323511247374,,,204.9711139739497,369.3268941633874,226.4559003085981,206.86074318611912,265.056189563791,1094.1323511247374,,,204.9711139739497,369.3268941633874,226.4559003085981,206.86074318611912,265.056189563791,1094.1323511247374,,,121.7097560834995,223.45734073105942,,,121.7097560834995,223.45734073105942,,,284.8148859219807,517.5643890331957,318.52399789931405,307.97838724324026,287.1597619299887,360.2545022701573,1973.620379632879,
Frequencies backward kernels3,,233.21144061147183,402.0118333134956,273.5004792175716,237.906904536263,367.178194107302,1094.1323511247374,,,233.21144061147183,402.0118333134956,284.17484266568687,237.906904536263,367.178194107302,1094.1323511247374,,,233.21144061147183,402.0118333134956,284.17484266568687,237.906904536263,367.178194107302,1094.1323511247374,,,133.46572489358715,228.37652250683485,,,133.46572489358715,228.37652250683485,,,320.0689990404913,557.966411514353,365.934075079649,358.3865382540878,325.96916765938124,490.91502752547393,3271.2805163917124,
Frequencies backward kernels4,,271.7656362093729,604.4805328768355,295.4734515198507,272.59904618414,415.8415865959489,1094.1323511247374,,,271.7656362093729,604.4805328768355,295.6874735636372,272.59904618414,415.8415865959489,1094.1323511247374,,,271.7656362093729,604.4805328768355,295.6874735636372,272.59904618414,415.8415865959489,1094.1323511247374,,,162.3027793249104,264.6765079586872,,,162.3027793249104,264.6765079586872,,,359.2020527612233,813.8877128794367,365.934075079649,358.3865382540878,359.33476154686275,532.2917584988404,4525.517802725533,
Frequencies backward grid0,16384.0,141.90819215470026,1186.6956875807953,180.42193493103704,147.1384609198426,500.0,1500.0,(undefined),16384.0,141.90819215470026,1186.6956875807953,188.98053110217305,147.1384609198426,500.0,1500.0,(undefined),16384.0,141.90819215470026,1186.6956875807953,188.98053110217305,147.1384609198426,500.0,1500.0,(undefined),16384.0,121.57125287166222,727.1815092638062,(undefined),16384.0,121.57125287166222,727.1815092638062,(undefined),16384.0,199.26552630732883,1666.3443177517802,278.5836390858683,258.01971053861473,206.60981055187344,500.0,16384.0,16384.0
Frequencies backward grid1,16384.0,283.12492857781456,2372.6984303939844,360.1520532979532,293.5854060303608,500.0,2372.6984303939844,,16384.0,283.12492857781456,2372.6984303939844,377.26918541595444,293.5854060303608,500.0,2372.6984303939844,,16384.0,283.12492857781456,2372.6984303939844,377.26918541595444,293.5854060303608,500.0,2372.6984303939844,,16384.0,242.71959454507825,1453.9394929925988,,16384.0,242.71959454507825,1453.9394929925988,,16384.0,397.5604709294264,3331.7159644487933,556.1960211322845,515.0682992841859,412.2489551190896,686.4337711722908,16384.0,16384.0
Frequencies backward grid2,16384.0,565.5575581107942,4744.703814848597,719.611626215311,586.4784828086504,977.0023310935779,4744.703814848597,,16384.0,565.5575581107942,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,16384.0,565.5575581107942,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,16384.0,485.0159097761033,2907.4553987723175,,16384.0,485.0159097761033,2907.4553987723175,,16384.0,794.1491768611579,6662.459115881312,1111.4199379380743,1029.1645621519401,823.5261028545824,1371.8952766430345,16384.0,16384.0
Frequencies backward grid3,16384.0,1130.4223937148056,9488.714533153065,1438.530439024606,1172.2642279642882,1953.3117608590187,9488.714533153065,,16384.0,1130.4223937148056,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,16384.0,1130.4223937148056,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,16384.0,969.6083556181683,5814.487179478897,,16384.0,969.6083556181683,5814.487179478897,,16384.0,1587.3259945359346,13323.945347729323,2221.867346610081,2057.3566290643917,1646.0798252703783,2742.8179431826493,16384.0,16384.0
Frequencies backward grid4,16384.0,2260.151852737311,16384.0,2876.367897849623,2343.835513653477,3905.930497514414,16384.0,,16384.0,2260.151852737311,16384.0,3013.3047959196206,2343.835513653477,3905.930497514414,16384.0,,16384.0,2260.151852737311,16384.0,3013.3047959196206,2343.835513653477,3905.930497514414,16384.0,,16384.0,1938.7931548514175,11628.550725478857,,16384.0,1938.7931548514175,11628.550725478857,,16384.0,3173.6793321543814,16384.0,4442.761951158458,4113.740533099671,3291.1869829821444,5484.663103847904,16384.0,16384.0
Frequencies backward fft,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,(undefined),9.611946666666668,9.611946666666668,9.611946666666668,(undefined),9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668,9.611946666666668
Averaged rate0 [M/s],4.180673634238464,4.180673634238464,4.180673634238464,4.180673634238464,2.4914065702564443,2.4914065702564443,4.180673634238464,4.180673634238464,4.180673634238464,4.180673634238464,4.180673634238464,4.180673634238464,2.4914065702564443,2.4914065702564443,4.180673634238464,4.180673634238464,4.180673634238464,4.180673634238464,4.180673634238464,4.180673634238464,2.4914065702564443,2.4914065702564443,4.180673634238464,4.180673634238464,4.180673634238464,4.121858190158129,2.9672348280281997,(undefined),4.180673634238464,4.121858190158129,2.9672348280281997,(undefined),4.180673634238464,4.180673634238464,4.180673634238464,4.180673634238464,3.498404856625938,3.498404856625938,3.498404856625938,4.180673634238464,4.180673634238464
Averaged rate1 [M/s],1.1799397609126117,1.1799397609126117,1.1799397609126117,1.1799397609126117,0.7031665061747844,0.7031665061747844,1.1799397609126117,1.1799397609126117,1.1799397609126117,1.1799397609126117,1.1799397609126117,1.1799397609126117,0.7031665061747844,0.7031665061747844,1.1799397609126117,1.1799397609126117,1.1799397609126117,1.1799397609126117,1.1799397609126117,1.1799397609126117,0.7031665061747844,0.7031665061747844,1.1799397609126117,1.1799397609126117,1.1799397609126117,1.163339880822053,0.8374627296619691,,1.1799397609126117,1.163339880822053,0.8374627296619691,,1.1799397609126117,1.1799397609126117,1.1799397609126117,1.1799397609126117,0.9873784349719166,0.9873784349719166,0.9873784349719166,1.1799397609126117,1.1799397609126117
Averaged rate2 [M/s],1.3348715826307982,1.3348715826307982,1.3348715826307982,1.3348715826307982,0.795495683800438,0.795495683800438,1.3348715826307982,1.3348715826307982,1.3348715826307982,1.3348715826307982,1.3348715826307982,1.3348715826307982,0.795495683800438,0.795495683800438,1.3348715826307982,1.3348715826307982,1.3348715826307982,1.3348715826307982,1.3348715826307982,1.3348715826307982,0.795495683800438,0.795495683800438,1.3348715826307982,1.3348715826307982,1.3348715826307982,1.3160920576567205,0.9474256537245166,,1.3348715826307982,1.3160920576567205,0.9474256537245166,,1.3348715826307982,1.3348715826307982,1.3348715826307982,1.3348715826307982,1.117026019300402,1.117026019300402,1.117026019300402,1.3348715826307982,1.3348715826307982
Averaged rate3 [M/s],1.6783590198549616,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.0001916090916052,1.0001916090916052,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.0001916090916052,1.0001916090916052,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.0001916090916052,1.0001916090916052,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.6547471716899742,1.191216003292749,,1.6783590198549616,1.6547471716899742,1.191216003292749,,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.6783590198549616,1.4044577166072167,1.4044577166072167,1.4044577166072167,1.6783590198549616,1.6783590198549616
Averaged rate4 [M/s],0.6555604468076088,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.3906709174810382,0.3906709174810382,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.3906709174810382,0.3906709174810382,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.3906709174810382,0.3906709174810382,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.6463377515738261,0.4652842962231362,,0.6555604468076088,0.6463377515738261,0.4652842962231362,,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.6555604468076088,0.5485756726239571,0.5485756726239571,0.5485756726239571,0.6555604468076088,0.6555604468076088
Predict rate0 [M/s],(undefined),0.0032589395366286675,0.2725261618432718,0.004143412498559734,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.0032589395366286675,0.2725261618432718,0.004339961739422078,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.0032589395366286675,0.2725261618432718,0.004339961739422078,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.0027918991601910757,0.1669981510483664,(undefined),(undefined),0.0027918991601910757,0.1669981510483664,(undefined),(undefined),0.004576157951911197,0.38267807490900596,0.0063977084190115,0.00592545520548318,0.004744820366176142,0.01148256308232,0.37626062708146174,(undefined)
Predict rate1 [M/s],,0.001835103298834571,0.1537888853032914,0.0023343625176667224,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.001835103298834571,0.1537888853032914,0.00244530896725743,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.001835103298834571,0.1537888853032914,0.00244530896725743,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.0015732119770550117,0.09423858129692272,,,0.0015732119770550117,0.09423858129692272,,,0.0025768290180364713,0.21594859159353008,0.0036050416270497826,0.0033384680744625427,0.0026720339366804405,0.004449190978121568,0.14749247011407646,
Predict rate2 [M/s],,0.004147046151109307,0.34791340706770013,0.005276673579888911,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.004147046151109307,0.34791340706770013,0.005527701872722927,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.004147046151109307,0.34791340706770013,0.005527701872722927,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.0035564609349093574,0.21319406925225193,,,0.0035564609349093574,0.21319406925225193,,,0.005823232737459958,0.4885360479618242,0.008149674086734246,0.007546522675052267,0.006038644000425677,0.010059653425430809,0.33371789565769955,
Predict rate3 [M/s],,0.010421930900046098,0.8748121741449998,0.013262533471103387,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.010421930900046098,0.8748121741449998,0.013893778471356229,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.010421930900046098,0.8748121741449998,0.013893778471356229,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.008939305642337896,0.5360667299291075,,,0.008939305642337896,0.5360667299291075,,,0.01463435431116742,1.228401334776273,0.02048450922786753,0.018967802428611805,0.015176035338924787,0.028097126677005816,0.8391795099274808,
Predict rate4 [M/s],,0.01004819172114744,0.6555604468076088,0.016441415181164216,0.011722761967271537,0.031257001246948427,0.6555604468076088,,,0.01004819172114744,0.6555604468076088,0.02009484291972429,0.011722761967271537,0.031257001246948427,0.6555604468076088,,,0.01004819172114744,0.6555604468076088,0.02009484291972429,0.011722761967271537,0.031257001246948427,0.6555604468076088,,,0.012929240995909919,0.46528429622313616,,,0.012929240995909919,0.46528429622313616,,,0.01410955567092014,0.6555604468076088,0.029627472023125025,0.023514278581276082,0.016460968086938175,0.04389072503598313,0.6555604468076088,
Backward rate0 [M/s],(undefined),0.0032589395366286675,0.2725261618432718,0.004143412498559734,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.0032589395366286675,0.2725261618432718,0.004339961739422078,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.0032589395366286675,0.2725261618432718,0.004339961739422078,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.0027918991601910757,0.1669981510483664,(undefined),(undefined),0.0027918991601910757,0.1669981510483664,(undefined),(undefined),0.004576157951911197,0.38267807490900596,0.0063977084190115,0.00592545520548318,0.004744820366176142,0.01148256308232,0.37626062708146174,(undefined)
Backward rate1 [M/s],,0.001835103298834571,0.1537888853032914,0.0023343625176667224,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.001835103298834571,0.1537888853032914,0.00244530896725743,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.001835103298834571,0.1537888853032914,0.00244530896725743,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.0015732119770550117,0.09423858129692272,,,0.0015732119770550117,0.09423858129692272,,,0.0025768290180364713,0.21594859159353008,0.0036050416270497826,0.0033384680744625427,0.0026720339366804405,0.004449190978121568,0.14749247011407646,
Backward rate2 [M/s],,0.004147046151109307,0.34791340706770013,0.005276673579888911,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.004147046151109307,0.34791340706770013,0.005527701872722927,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.004147046151109307,0.34791340706770013,0.005527701872722927,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.0035564609349093574,0.21319406925225193,,,0.0035564609349093574,0.21319406925225193,,,0.005823232737459958,0.4885360479618242,0.008149674086734246,0.007546522675052267,0.006038644000425677,0.010059653425430809,0.33371789565769955,
Backward rate3 [M/s],,0.010421930900046098,0.8748121741449998,0.013262533471103387,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.010421930900046098,0.8748121741449998,0.013893778471356229,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.010421930900046098,0.8748121741449998,0.013893778471356229,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.008939305642337896,0.5360667299291075,,,0.008939305642337896,0.5360667299291075,,,0.01463435431116742,1.228401334776273,0.02048450922786753,0.018967802428611805,0.015176035338924787,0.028097126677005816,0.8391795099274808,
Backward rate4 [M/s],,0.01004819172114744,0.6555604468076088,0.016441415181164216,0.011722761967271537,0.031257001246948427,0.6555604468076088,,,0.01004819172114744,0.6555604468076088,0.02009484291972429,0.011722761967271537,0.031257001246948427,0.6555604468076088,,,0.01004819172114744,0.6555604468076088,0.02009484291972429,0.011722761967271537,0.031257001246948427,0.6555604468076088,,,0.012929240995909919,0.46528429622313616,,,0.012929240995909919,0.46528429622313616,,,0.01410955567092014,0.6555604468076088,0.029627472023125025,0.023514278581276082,0.016460968086938175,0.04389072503598313,0.6555604468076088,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
