,hpso01 (Ingest) [Nf_max=65536] [Na=64],hpso01 (RCAL) [Nf_max=65536] [Na=64],hpso01 (FastImg) [Nf_max=65536] [Na=64],hpso01 (ICAL) [Nf_max=65536] [Na=64],hpso01 (DPrepA) [Nf_max=65536] [Na=64],hpso01 (DPrepB) [Nf_max=65536] [Na=64],hpso01 (DPrepC) [Nf_max=65536] [Na=64],hpso01 (DPrepD) [Nf_max=65536] [Na=64],hpso02a (Ingest) [Nf_max=65536] [Na=64],hpso02a (RCAL) [Nf_max=65536] [Na=64],hpso02a (FastImg) [Nf_max=65536] [Na=64],hpso02a (ICAL) [Nf_max=65536] [Na=64],hpso02a (DPrepA) [Nf_max=65536] [Na=64],hpso02a (DPrepB) [Nf_max=65536] [Na=64],hpso02a (DPrepC) [Nf_max=65536] [Na=64],hpso02a (DPrepD) [Nf_max=65536] [Na=64],hpso02b (Ingest) [Nf_max=65536] [Na=64],hpso02b (RCAL) [Nf_max=65536] [Na=64],hpso02b (FastImg) [Nf_max=65536] [Na=64],hpso02b (ICAL) [Nf_max=65536] [Na=64],hpso02b (DPrepA) [Nf_max=65536] [Na=64],hpso02b (DPrepB) [Nf_max=65536] [Na=64],hpso02b (DPrepC) [Nf_max=65536] [Na=64],hpso02b (DPrepD) [Nf_max=65536] [Na=64],hpso04a (Ingest) [Nf_max=65536] [Na=64],hpso04a (RCAL) [Nf_max=65536] [Na=64],hpso04a (FastImg) [Nf_max=65536] [Na=64],hpso04a (PSS) [Nf_max=65536] [Na=64],hpso05a (Ingest) [Na=64],hpso05a (RCAL) [Na=64],hpso05a (FastImg) [Na=64],hpso05a (PST) [Na=64],max_low (Ingest) [Na=64],max_low (RCAL) [Na=64],max_low (FastImg) [Na=64],max_low (ICAL) [Na=64],max_low (DPrepA) [Na=64],max_low (DPrepA_Image) [Na=64],max_low (DPrepB) [Na=64],max_low (DPrepC) [Na=64],max_low (DPrepD) [Na=64]
-> Correct [Tera/s],,0.005668679231329793,0.0020403786487464396,0.05101811308196814,0.011547825698339263,0.023095651396678525,0.044888330272421666,0.044888330272421666,,0.005668679231329793,0.0020403786487464396,0.03401252254128989,0.011547825698339263,0.023095651396678525,0.044888330272421666,0.044888330272421666,,0.005668679231329793,0.0020403786487464396,0.03401252254128989,0.011547825698339263,0.023095651396678525,0.044888330272421666,0.044888330272421666,,0.0017368246552869498,0.0006251508870017433,,,0.0017368246552869498,0.0006251508870017433,,,0.0039799476153466835,0.0014325382996328011,0.03581952853812015,0.008107662954100175,0.008107662954100175,0.01621532590820035,0.07751073792,0.031515842591921625
-> Grid [Tera/s],,2.888783386159851,142.56682726009865,25.99905047543865,8.074133960500074,4.456655274050345,9.261835636320935,,,2.888783386159851,142.56682726009865,10.272155486039708,8.074133960500074,4.456655274050345,9.261835636320935,,,2.888783386159851,142.56682726009865,10.272155486039708,8.074133960500074,4.456655274050345,9.261835636320935,,,0.8942971574812851,44.13528695640362,,,0.8942971574812851,44.13528695640362,,,2.031154151960813,100.24125057198171,18.28038736764732,7.567578428137742,1.1354128335759082,3.0715411165847657,64.79180036214306,
-> Phase Rotation [Tera/s],,0.0016996208966944578,0.0,0.01529658807025012,0.0014498977544153261,0.002825874257558114,0.011174432947602965,,,0.0016996208966944578,0.0,0.007441849154491185,0.0014498977544153261,0.002825874257558114,0.011174432947602965,,,0.0016996208966944578,0.0,0.007441849154491185,0.0014498977544153261,0.002825874257558114,0.011174432947602965,,,0.0005207455367516403,0.0,,,0.0005207455367516403,0.0,,,0.0011932939834373428,0.0,0.010739645850936086,0.0009115503917024866,0.0010179647055277234,0.0018924283033495682,0.0,
-> Subtract Visibility [Tera/s],,0.005668679231329793,0.0020403786487464396,0.05101811308196814,0.011547825698339263,0.023095651396678525,0.044888330272421666,,,0.005668679231329793,0.0020403786487464396,0.03401252254128989,0.011547825698339263,0.023095651396678525,0.044888330272421666,,,0.005668679231329793,0.0020403786487464396,0.03401252254128989,0.011547825698339263,0.023095651396678525,0.044888330272421666,,,0.0017368246552869498,0.0006251508870017433,,,0.0017368246552869498,0.0006251508870017433,,,0.0039799476153466835,0.0014325382996328011,0.03581952853812015,0.008107662954100174,0.008107662954100174,0.016215325908200347,0.07751073792,
-> Subtract Image Component [Tera/s],,,,0.0007065108196317871,0.00011845174540389664,0.011845174540389664,0.03553552362116899,,,,,0.00031400480872523863,0.00011845174540389664,0.011845174540389664,0.03553552362116899,,,,,0.00031400480872523863,0.00011845174540389664,0.011845174540389664,0.03553552362116899,,,,,,,,,,,,,0.0004127320526744538,6.919757017861592e-05,6.919757017861592e-05,0.004942683584186851,0.44989404357398544,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,,,,,,,,,1.44e-08,,,,,
-> DFT [Tera/s],,0.005668679231329793,0.0020403786487464396,0.05101811308196814,0.011547825698339263,0.023095651396678525,0.044888330272421666,,,0.005668679231329793,0.0020403786487464396,0.03401252254128989,0.011547825698339263,0.023095651396678525,0.044888330272421666,,,0.005668679231329793,0.0020403786487464396,0.03401252254128989,0.011547825698339263,0.023095651396678525,0.044888330272421666,,,0.0017368246552869498,0.0006251508870017433,,,0.0017368246552869498,0.0006251508870017433,,,0.0039799476153466835,0.0014325382996328011,0.03581952853812015,0.008107662954100174,0.008107662954100174,0.016215325908200347,0.07751073792,
-> Visibility Weighting [Tera/s],,0.0010992991602364907,7.803890062725119e-05,0.009893692442128416,0.001420589841209426,0.0017004783884908216,0.0024131802876785047,,,0.0010992991602364907,7.803890062725119e-05,0.005471015788158526,0.001420589841209426,0.0017004783884908216,0.0024131802876785047,,,0.0010992991602364907,7.803890062725119e-05,0.005471015788158526,0.001420589841209426,0.0017004783884908216,0.0024131802876785047,,,0.0005496495801182454,3.9019450313625595e-05,,,0.0005496495801182454,3.9019450313625595e-05,,,0.0005496495801182454,3.9019450313625595e-05,0.004946846221064208,0.0004251195971227054,0.000710294920604713,0.0008502391942454108,0.0002464842018243011,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-> Receive [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Flag [Mvis/s],,59.04874199301868,42.50788851555083,59.04874199301868,21.870882004430424,21.870882004430424,42.50788851555083,42.50788851555083,,59.04874199301868,42.50788851555083,39.36634553390033,21.870882004430424,21.870882004430424,42.50788851555083,42.50788851555083,,59.04874199301868,42.50788851555083,39.36634553390033,21.870882004430424,21.870882004430424,42.50788851555083,42.50788851555083,,36.1838469851448,26.04795362507264,,,36.1838469851448,26.04795362507264,,,82.91557531972258,59.68909581803337,82.91557531972258,30.710844523106715,30.710844523106715,30.710844523106715,146.80064,59.68909581803337
-> Demix [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Average [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37070.12688140139,,,
-> Degridding Kernel Update [Mvis/s],,0.025602357539716646,0.19508341738825874,0.025602357539479852,0.021103872858436106,0.03018862913780821,0.04290217787214192,,,0.025602357539716646,0.19508341738825874,0.02357061949333361,0.021103872858436106,0.03018862913780821,0.04290217787214192,,,0.025602357539716646,0.19508341738825874,0.02357061949333361,0.021103872858436106,0.03018862913780821,0.04290217787214192,,,0.0225270206429381,0.1717854563459081,,,0.0225270206429381,0.1717854563459081,,,0.024132002126499037,0.1912598887950645,0.024132002127424373,0.02392729815413474,0.020137525632775318,0.027957797059482196,0.5309838963584269,
-> FFT [Mvis/s],,0.0074294116714403,0.011006535809541189,0.0074294116714403,0.005503267904770594,0.007337690539694124,0.007337690539694124,,,0.0074294116714403,0.011006535809541189,0.006603921485724711,0.005503267904770594,0.007337690539694124,0.007337690539694124,,,0.0074294116714403,0.011006535809541189,0.006603921485724711,0.005503267904770594,0.007337690539694124,0.007337690539694124,,,0.007467949180225911,0.011063628415149497,,,0.007467949180225911,0.011063628415149497,,,0.007434824422773646,0.011014554700405398,0.007434824422773646,0.007343036466936934,0.005507277350202701,0.007343036466936934,0.018357591167342337,
-> IFFT [Mvis/s],,0.03714705835720151,0.011006535809541189,0.03714705835720151,0.005503267904770594,0.00293507621587765,0.000978358738625883,,,0.03714705835720151,0.011006535809541189,0.03301960742862356,0.005503267904770594,0.00293507621587765,0.000978358738625883,,,0.03714705835720151,0.011006535809541189,0.03301960742862356,0.005503267904770594,0.00293507621587765,0.000978358738625883,,,0.037339745901129553,0.011063628415149497,,,0.037339745901129553,0.011063628415149497,,,0.03717412211386824,0.011014554700405398,0.03717412211386824,0.007343036466936934,0.027536386751013497,0.002937214586774774,5.6022922263617973e-05,
-> Solve [Mvis/s],,59.04874199301869,,59.04874199301869,,,,,,59.04874199301869,,39.36634553390033,,,,,,59.04874199301869,,39.36634553390033,,,,,,36.1838469851448,,,,36.1838469851448,,,,82.91557531972259,,82.91557531972259,,,,,
-> Degrid [Mvis/s],,47.18122870596684,5496.182049970443,47.18122870522558,9.76206518696848,64.58490694606151,549.6628077318024,,,47.18122870596684,5496.182049970443,37.50726530487627,9.76206518696848,64.58490694606151,549.6628077318024,,,47.18122870596684,5496.182049970443,37.50726530487627,9.76206518696848,64.58490694606151,549.6628077318024,,,13.229110571726505,1165.3284964431455,,,13.229110571726505,1165.3284964431455,,,30.330101786631403,3663.7446292876557,30.33010178866517,14.810934724958459,6.2889012007162135,39.5735062221252,92181.36287207356,
-> Reprojection [Mvis/s],,55.19615778373337,,55.19615778373337,30.285957631678116,53.841702456316646,53.841702456316646,,,55.19615778373337,,43.611778989616475,30.285957631678116,53.841702456316646,53.841702456316646,,,55.19615778373337,,43.611778989616475,30.285957631678116,53.841702456316646,53.841702456316646,,,55.77026495843685,,,,55.77026495843685,,,,55.2766141974715,,55.276614197471496,53.92018455476565,3.7912629765069594,53.92018455476563,337.00115346728535,
-> Identify Component [Mvis/s],,,,55.19615778373337,30.285957631678116,53.841702456316646,53.841702456316646,,,,,43.611778989616475,30.285957631678116,53.841702456316646,53.841702456316646,,,,,43.611778989616475,30.285957631678116,53.841702456316646,53.841702456316646,,,,,,,,,,,,,55.276614197471474,53.92018455476565,30.330103812055675,53.92018455476563,337.00115346728535,
-> Reprojection Predict [Mvis/s],,275.98078891866686,,275.98078891866686,30.285957631678116,21.536680982526658,7.17889366084222,,,275.98078891866686,,218.05889494808238,30.285957631678116,21.536680982526658,7.17889366084222,,,275.98078891866686,,218.05889494808238,30.285957631678116,21.536680982526658,7.17889366084222,,,278.85132479218424,,,,278.85132479218424,,,,276.3830709873575,,276.3830709873574,53.92018455476565,3.7912629765069594,21.56807382190626,1.0284459029152995,
-> Gridding Kernel Update [Mvis/s],,0.025602357539716646,0.19508341738825874,0.025602357539479852,0.021103872858436106,0.03018862913780821,0.04290217787214192,,,0.025602357539716646,0.19508341738825874,0.02357061949333361,0.021103872858436106,0.03018862913780821,0.04290217787214192,,,0.025602357539716646,0.19508341738825874,0.02357061949333361,0.021103872858436106,0.03018862913780821,0.04290217787214192,,,0.0225270206429381,0.1717854563459081,,,0.0225270206429381,0.1717854563459081,,,0.024132002126499037,0.1912598887950645,0.024132002127424373,0.02392729815413474,0.020137525632775318,0.027957797059482196,0.5309838963584269,
-> Phase Rotation Predict [Mvis/s],,59.04874199301868,42.50788851555083,59.04874199301868,21.87088200443042,21.870882004430424,42.50788851555083,,,59.04874199301868,42.50788851555083,39.36634553390033,21.87088200443042,21.870882004430424,42.50788851555083,,,59.04874199301868,42.50788851555083,39.36634553390033,21.87088200443042,21.870882004430424,42.50788851555083,,,36.1838469851448,26.04795362507264,,,36.1838469851448,26.04795362507264,,,82.91557531972258,59.68909581803337,82.91557531972258,30.710844523106715,30.710844523106715,30.710844523106715,146.80064,
-> Correct [Mvis/s],,59.04874199301868,42.50788851555083,59.04874199301868,21.870882004430424,21.870882004430424,42.50788851555083,42.50788851555083,,59.04874199301868,42.50788851555083,39.36634553390033,21.870882004430424,21.870882004430424,42.50788851555083,42.50788851555083,,59.04874199301868,42.50788851555083,39.36634553390033,21.870882004430424,21.870882004430424,42.50788851555083,42.50788851555083,,36.1838469851448,26.04795362507264,,,36.1838469851448,26.04795362507264,,,82.91557531972258,59.68909581803337,82.91557531972258,30.710844523106715,30.710844523106715,30.710844523106715,146.80064,59.68909581803337
-> Grid [Mvis/s],,47.18122870596684,5496.182049970443,47.18122870522558,9.76206518696848,64.58490694606151,549.6628077318024,,,47.18122870596684,5496.182049970443,37.50726530487627,9.76206518696848,64.58490694606151,549.6628077318024,,,47.18122870596684,5496.182049970443,37.50726530487627,9.76206518696848,64.58490694606151,549.6628077318024,,,13.229110571726505,1165.3284964431455,,,13.229110571726505,1165.3284964431455,,,30.330101786631403,3663.7446292876557,30.33010178866517,14.810934724958459,6.2889012007162135,39.5735062221252,92181.36287207356,
-> Phase Rotation [Mvis/s],,59.04874199301868,42.50788851555083,59.04874199301868,4.374176400886084,21.870882004430424,42.50788851555083,,,59.04874199301868,42.50788851555083,39.36634553390033,4.374176400886084,21.870882004430424,42.50788851555083,,,59.04874199301868,42.50788851555083,39.36634553390033,4.374176400886084,21.870882004430424,42.50788851555083,,,36.1838469851448,26.04795362507264,,,36.1838469851448,26.04795362507264,,,82.91557531972258,59.68909581803337,82.91557531972258,6.142168904621343,30.710844523106715,30.710844523106715,146.80064,
-> Subtract Visibility [Mvis/s],,59.04874199301868,42.50788851555083,59.04874199301868,21.870882004430424,21.870882004430424,42.50788851555083,,,59.04874199301868,42.50788851555083,39.36634553390033,21.870882004430424,21.870882004430424,42.50788851555083,,,59.04874199301868,42.50788851555083,39.36634553390033,21.870882004430424,21.870882004430424,42.50788851555083,,,36.1838469851448,26.04795362507264,,,36.1838469851448,26.04795362507264,,,82.91557531972258,59.68909581803337,82.91557531972258,30.710844523106715,30.710844523106715,30.710844523106715,146.80064,
-> Subtract Image Component [Mvis/s],,,,55.19615778373337,30.285957631678116,53.841702456316646,53.841702456316646,,,,,43.611778989616475,30.285957631678116,53.841702456316646,53.841702456316646,,,,,43.611778989616475,30.285957631678116,53.841702456316646,53.841702456316646,,,,,,,,,,,,,55.276614197471474,53.92018455476565,30.330103812055675,53.92018455476563,337.00115346728535,
-> Source Find [Mvis/s],,,,9e-06,,,,,,,,9e-06,,,,,,,,9e-06,,,,,,,,,,,,,,,,9e-06,,,,,
-> DFT [Mvis/s],,59.04874199301868,42.50788851555083,59.04874199301868,21.870882004430424,21.870882004430424,42.50788851555083,,,59.04874199301868,42.50788851555083,39.36634553390033,21.870882004430424,21.870882004430424,42.50788851555083,,,59.04874199301868,42.50788851555083,39.36634553390033,21.870882004430424,21.870882004430424,42.50788851555083,,,36.1838469851448,26.04795362507264,,,36.1838469851448,26.04795362507264,,,82.91557531972258,59.68909581803337,82.91557531972258,30.710844523106715,30.710844523106715,30.710844523106715,146.80064,
-> Visibility Weighting [Mvis/s],,0.2766310053213636,9.788745851313587,0.2766310053213636,0.1716261546419657,0.2973352543726972,1.1757610424666418,,,0.2766310053213636,9.788745851313587,0.2392569815615736,0.1716261546419657,0.2973352543726972,1.1757610424666418,,,0.2766310053213636,9.788745851313587,0.2392569815615736,0.1716261546419657,0.2973352543726972,1.1757610424666418,,,0.1695135210780079,5.998339041821706,,,0.1695135210780079,5.998339041821706,,,0.3884420519001767,13.745245567968079,0.3884420519001767,0.3836491547569388,0.24099543217985872,0.3982382793244041,38.242397373952166,
