,hpso01 (Ingest) [Na=64] [Bmax=32500.0],hpso01 (RCAL) [Na=64] [Bmax=32500.0],hpso01 (FastImg) [Na=64] [Bmax=32500.0],hpso01 (ICAL) [Na=64] [Bmax=32500.0],hpso01 (DPrepA) [Na=64] [Bmax=32500.0],hpso01 (DPrepB) [Na=64] [Bmax=32500.0],hpso01 (DPrepC) [Na=64] [Bmax=32500.0],hpso01 (DPrepD) [Na=64] [Bmax=32500.0],hpso02a (Ingest) [Na=64] [Bmax=32500.0],hpso02a (RCAL) [Na=64] [Bmax=32500.0],hpso02a (FastImg) [Na=64] [Bmax=32500.0],hpso02a (ICAL) [Na=64] [Bmax=32500.0],hpso02a (DPrepA) [Na=64] [Bmax=32500.0],hpso02a (DPrepB) [Na=64] [Bmax=32500.0],hpso02a (DPrepC) [Na=64] [Bmax=32500.0],hpso02a (DPrepD) [Na=64] [Bmax=32500.0],hpso02b (Ingest) [Na=64] [Bmax=32500.0],hpso02b (RCAL) [Na=64] [Bmax=32500.0],hpso02b (FastImg) [Na=64] [Bmax=32500.0],hpso02b (ICAL) [Na=64] [Bmax=32500.0],hpso02b (DPrepA) [Na=64] [Bmax=32500.0],hpso02b (DPrepB) [Na=64] [Bmax=32500.0],hpso02b (DPrepC) [Na=64] [Bmax=32500.0],hpso02b (DPrepD) [Na=64] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso04a (PSS) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (PST) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (Ingest) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (RCAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (FastImg) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (ICAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepA) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepB) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepC) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepD) [Nf_max=32768] [Na=64] [Bmax=32500.0]
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W stack [lambda],(undefined),29.603535675606665,5.523976031740229,29.60353567575361,38.965719007758466,20.679983183596015,19.599897370045195,(undefined),(undefined),29.603535675606665,5.523976031740229,29.60353567580471,38.965719007758466,20.679983183596015,19.599897370045195,(undefined),(undefined),29.603535675606665,5.523976031740229,29.60353567580471,38.965719007758466,20.679983183596015,19.599897370045195,(undefined),(undefined),143.90986739797754,14.50044628316408,(undefined),(undefined),143.90986739797754,14.50044628316408,(undefined),(undefined),23.379981160202508,6.041848697743982,23.379981160748716,13.813387955399424,14.158837534559819,21.113487026093086,58.423638750013566,(undefined)
Delta W theory [lambda],(undefined),44.446252284836,12.587303150687525,44.446252284836,81.42182316591781,12.587303150687525,12.587303150687525,(undefined),(undefined),44.446252284836,12.587303150687525,44.446252284836,81.42182316591781,12.587303150687525,12.587303150687525,(undefined),(undefined),44.446252284836,12.587303150687525,44.446252284836,81.42182316591781,12.587303150687525,12.587303150687525,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),36.810035269866255,15.152462172657435,36.810035269866255,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),4.966105869132538,0.18455205923435844,4.966105869132538,3.161399749960686,11.342095968603218,10.892054678692215,(undefined),(undefined),4.966105869132538,0.18455205923435844,4.966105869132537,3.161399749960686,11.342095968603218,10.892054678692215,(undefined),(undefined),4.966105869132538,0.18455205923435844,4.966105869132537,3.161399749960686,11.342095968603218,10.892054678692215,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),5.653625780040269,0.17264561380323334,5.653625780139735,7.312275226826833,7.4496743256201805,10.069128597406717,11.7585840842431,(undefined)
W kernel support pred1 [uv-pixels],,5.869984498421397,0.5223241974335304,5.869984498443341,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,0.5223241974335304,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,0.5223241974335304,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.345906648726479,0.254136932091098,,,5.345906648726479,0.254136932091098,,,5.653625780040269,0.4886127695866622,5.653625780139735,7.312275226826833,7.4496743256201805,10.069128597406717,19.856457837827552,
W kernel support pred2 [uv-pixels],,5.869984498421397,1.4792330461194296,5.869984498443341,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,1.4792330461194296,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,1.4792330461194296,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.963333225716726,0.7193736457952092,,,5.963333225716726,0.7193736457952092,,,5.653625780040269,1.3836854797576588,5.653625780139735,7.312275226826833,7.4496743256201805,10.069128597406717,21.730916038235964,
W kernel support pred3 [uv-pixels],,5.869984498421397,4.194497964915936,5.869984498443341,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,4.194497964915936,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,4.194497964915936,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.963333225716726,2.037892469650513,,,5.963333225716726,2.037892469650513,,,5.653625780040269,3.9231358962313374,5.653625780139735,7.312275226826833,7.4496743256201805,10.069128597406717,21.730916038235964,
AW kernel support pred0 [uv-pixels],(undefined),10.279212397038629,9.001891993496013,10.279212397038629,9.53910102572834,14.479058704246121,14.129290680130442,(undefined),(undefined),10.279212397038629,9.001891993496013,10.279212397038629,9.53910102572834,14.479058704246121,14.129290680130442,(undefined),(undefined),10.279212397038629,9.001891993496013,10.279212397038629,9.53910102572834,14.479058704246121,14.129290680130442,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),10.628428127467199,9.001655764800468,10.62842812752011,11.596092833056547,11.6832207698821,13.505086105283214,14.807575752506388,(undefined)
AW kernel support pred1 [uv-pixels],,10.745078781084274,9.015144068023794,10.745078781096261,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.015144068023794,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.015144068023794,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.467985379092672,9.003587372833826,,,10.467985379092672,9.003587372833826,,,10.628428127467199,9.013253709876537,10.62842812752011,11.596092833056547,11.6832207698821,13.505086105283214,21.800892593318814,
AW kernel support pred2 [uv-pixels],,10.745078781084274,9.120752732353388,10.745078781096261,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.120752732353388,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.120752732353388,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.796357865546002,9.028704139701594,,,10.796357865546002,9.028704139701594,,,10.628428127467199,9.105744643184991,10.62842812752011,11.596092833056547,11.6832207698821,13.505086105283214,23.52089946963893,
AW kernel support pred3 [uv-pixels],,10.745078781084274,9.929441735449377,10.745078781096261,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.929441735449377,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.929441735449377,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.796357865546002,9.227838626561383,,,10.796357865546002,9.227838626561383,,,10.628428127467199,9.817891589353533,10.62842812752011,11.596092833056547,11.6832207698821,13.505086105283214,23.52089946963893,
W kernel support bw0 [uv-pixels],(undefined),4.966105869132538,0.18455205923435844,4.966105869132538,3.161399749960686,11.342095968603218,10.892054678692215,(undefined),(undefined),4.966105869132538,0.18455205923435844,4.966105869132537,3.161399749960686,11.342095968603218,10.892054678692215,(undefined),(undefined),4.966105869132538,0.18455205923435844,4.966105869132537,3.161399749960686,11.342095968603218,10.892054678692215,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),5.653625780040269,0.17264561380323334,5.653625780139735,7.312275226826833,7.4496743256201805,10.069128597406717,11.7585840842431,(undefined)
W kernel support bw1 [uv-pixels],,5.869984498421397,0.5223241974335304,5.869984498443341,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,0.5223241974335304,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,0.5223241974335304,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.345906648726479,0.254136932091098,,,5.345906648726479,0.254136932091098,,,5.653625780040269,0.4886127695866622,5.653625780139735,7.312275226826833,7.4496743256201805,10.069128597406717,19.856457837827552,
W kernel support bw2 [uv-pixels],,5.869984498421397,1.4792330461194296,5.869984498443341,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,1.4792330461194296,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,1.4792330461194296,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.963333225716726,0.7193736457952092,,,5.963333225716726,0.7193736457952092,,,5.653625780040269,1.3836854797576588,5.653625780139735,7.312275226826833,7.4496743256201805,10.069128597406717,21.730916038235964,
W kernel support bw3 [uv-pixels],,5.869984498421397,4.194497964915936,5.869984498443341,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,4.194497964915936,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.869984498421397,4.194497964915936,5.869984498450972,4.594410779281318,11.342095968603218,10.892054678692215,,,5.963333225716726,2.037892469650513,,,5.963333225716726,2.037892469650513,,,5.653625780040269,3.9231358962313374,5.653625780139735,7.312275226826833,7.4496743256201805,10.069128597406717,21.730916038235964,
AW kernel support bw0 [uv-pixels],(undefined),10.279212397038629,9.001891993496013,10.279212397038629,9.53910102572834,14.479058704246121,14.129290680130442,(undefined),(undefined),10.279212397038629,9.001891993496013,10.279212397038629,9.53910102572834,14.479058704246121,14.129290680130442,(undefined),(undefined),10.279212397038629,9.001891993496013,10.279212397038629,9.53910102572834,14.479058704246121,14.129290680130442,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),10.628428127467199,9.001655764800468,10.62842812752011,11.596092833056547,11.6832207698821,13.505086105283214,14.807575752506388,(undefined)
AW kernel support bw1 [uv-pixels],,10.745078781084274,9.015144068023794,10.745078781096261,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.015144068023794,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.015144068023794,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.467985379092672,9.003587372833826,,,10.467985379092672,9.003587372833826,,,10.628428127467199,9.013253709876537,10.62842812752011,11.596092833056547,11.6832207698821,13.505086105283214,21.800892593318814,
AW kernel support bw2 [uv-pixels],,10.745078781084274,9.120752732353388,10.745078781096261,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.120752732353388,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.120752732353388,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.796357865546002,9.028704139701594,,,10.796357865546002,9.028704139701594,,,10.628428127467199,9.105744643184991,10.62842812752011,11.596092833056547,11.6832207698821,13.505086105283214,23.52089946963893,
AW kernel support bw3 [uv-pixels],,10.745078781084274,9.929441735449377,10.745078781096261,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.929441735449377,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.745078781084274,9.929441735449377,10.74507878110043,10.104880524220777,14.479058704246121,14.129290680130442,,,10.796357865546002,9.227838626561383,,,10.796357865546002,9.227838626561383,,,10.628428127467199,9.817891589353533,10.62842812752011,11.596092833056547,11.6832207698821,13.505086105283214,23.52089946963893,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.009508967690367267,6.266823029865317,0.005904645231324361,6.266823029865317,0.23212530511992968,0.18570024409594374,0.18894864740237954,0.03459753065229118,0.009508967690367267,6.266823029865317,0.005904645231324361,4.17799186700471,0.23212530511992968,0.18570024409594374,0.18894864740237954,0.03459753065229118,0.009508967690367267,6.266823029865317,0.005904645231324361,4.17799186700471,0.23212530511992968,0.18570024409594374,0.18894864740237954,0.03459753065229118,0.009533598035264549,3.8501261096150308,0.0036182439546422035,(undefined),0.009533598035264549,3.8501261096150308,0.0036182439546422035,(undefined),0.009512430973099667,8.803006895685547,0.008291235876579114,8.803006895685547,0.3260664271842334,1.630332135921167,0.2608531417473867,0.014934740112230402,0.029869480224460804
Snapshot vis size1 [GB],0.0026837801858555018,1.7687277971144189,0.001666507910463038,1.7687277971144189,0.06551429290769509,0.05241143432615607,0.05332825313481722,0.009764694787869364,0.0026837801858555018,1.7687277971144189,0.001666507910463038,1.179182867630461,0.06551429290769509,0.05241143432615607,0.05332825313481722,0.009764694787869364,0.0026837801858555018,1.7687277971144189,0.001666507910463038,1.179182867630461,0.06551429290769509,0.05241143432615607,0.05332825313481722,0.009764694787869364,0.0026907317744777953,1.086647100136551,0.001021201433137391,,0.0026907317744777953,1.086647100136551,0.001021201433137391,,0.002684757651536098,2.48453210189399,0.0023400915100761964,2.48453210189399,0.09202793037526269,0.46013965187631356,0.07362234430021017,0.004215132588441601,0.008430265176883202
Snapshot vis size2 [GB],0.0030361735597038146,2.0009703478007226,0.001885328493537643,2.0009703478007226,0.07411663777733274,0.059293310221866194,0.060330511793204575,0.011046846641822127,0.0030361735597038146,2.0009703478007226,0.001885328493537643,1.334015305584379,0.07411663777733274,0.059293310221866194,0.060330511793204575,0.011046846641822127,0.0030361735597038146,2.0009703478007226,0.001885328493537643,1.334015305584379,0.07411663777733274,0.059293310221866194,0.060330511793204575,0.011046846641822127,0.0030440379256769234,1.229329142361086,0.0011552901414074032,,0.0030440379256769234,1.229329142361086,0.0011552901414074032,,0.003037279371375942,2.8107632345460747,0.002647356891457153,2.8107632345460747,0.10411164462434111,0.5205582231217056,0.0832893156994729,0.004768599970713602,0.009537199941427203
Snapshot vis size3 [GB],0.0038174378315336786,2.5158574617904064,0.0023704587944574198,2.5158574617904064,0.0931882355977269,0.07455058847818152,0.07585468142263743,0.013889406998773944,0.0038174378315336786,2.5158574617904064,0.0023704587944574198,1.677282406701268,0.0931882355977269,0.07455058847818152,0.07585468142263743,0.013889406998773944,0.0038174378315336786,2.5158574617904064,0.0023704587944574198,1.677282406701268,0.0931882355977269,0.07455058847818152,0.07585468142263743,0.013889406998773944,0.0038273258460349642,1.5456585347228509,0.0014525679133562915,,0.0038273258460349642,1.5456585347228509,0.0014525679133562915,,0.003818828189241735,3.5340252116835122,0.003328571358748611,3.5340252116835122,0.13090151899317667,0.6545075949658834,0.10472121519454135,0.005995649976422401,0.011991299952844802
Facet size [GB],(undefined),0.1962530054532742,0.24228766105342497,0.1962530054532742,0.1076834049126333,0.6730212807039582,0.6730212807039582,(undefined),(undefined),0.1962530054532742,0.24228766105342497,0.19625300545327415,0.1076834049126333,0.6730212807039582,0.6730212807039582,(undefined),(undefined),0.1962530054532742,0.24228766105342497,0.19625300545327415,0.1076834049126333,0.6730212807039582,0.6730212807039582,(undefined),(undefined),0.28554375658719666,0.2448077474170067,(undefined),(undefined),0.28554375658719666,0.2448077474170067,(undefined),(undefined),0.28301626469105406,0.24264083049644533,0.28301626469105406,0.6740023069345706,0.6740023069345706,0.6740023069345706,0.6740023069345706,(undefined)
Image size [GB],0.6730212807039583,4.906325136331856,0.24228766105342492,4.906325136331856,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,4.906325136331856,0.24228766105342492,2.1805889494808244,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,4.906325136331856,0.24228766105342492,2.1805889494808244,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6800215206027961,4.957356885194385,0.24480774741700664,(undefined),0.6800215206027961,4.957356885194385,0.24480774741700664,(undefined),0.6740023069345706,4.913476817553018,0.24264083049644541,4.913476817553018,0.6740023069345706,0.6740023069345706,0.6740023069345706,0.6740023069345706,0.6740023069345706
Image cube size [GB],352856.9812177169,1570.0240436261938,38.76602576854799,1570.0240436261938,107.68340491263334,2692.085122815833,8076.255368447499,44107.12265221461,352856.9812177169,1570.0240436261938,38.76602576854799,697.7884638338637,107.68340491263334,2692.085122815833,8076.255368447499,44107.12265221461,352856.9812177169,1570.0240436261938,38.76602576854799,697.7884638338637,107.68340491263334,2692.085122815833,8076.255368447499,44107.12265221461,178263.56149689938,793.1771016311017,19.58461979336053,(undefined),178263.56149689938,793.1771016311017,19.58461979336053,(undefined),176685.6607490561,786.1562908084829,19.411266439715632,786.1562908084829,53.920184554765655,53.920184554765655,1348.0046138691414,176685.6607490561,44171.41518726402
Calibration output [GB],0.0,0.294912,0.0,1.4848,0.0,0.0,0.0,0.0,0.0,0.294912,0.0,1.4848,0.0,0.0,0.0,0.0,0.0,0.294912,0.0,1.4848,0.0,0.0,0.0,0.0,0.0,0.0393216,0.0,(undefined),0.0,0.0393216,0.0,(undefined),0.0,0.3538944,0.0,2.4895488,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,1.4358778870947841,0.0,448.71183971712,0.0,0.0,0.0,0.0,0.0,1.4358778870947841,0.0,448.71183971712,0.0,0.0,0.0,0.0,0.0,1.4358778870947841,0.0,448.71183971712,0.0,0.0,0.0,0.0,0.0,2.3931298118246405,0.0,(undefined),0.0,2.3931298118246405,0.0,(undefined),0.0,1.02562706221056,0.0,443.5837044060672,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.032768,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.032768,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.032768,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.05461333333333333,0.0,(undefined),0.0,0.05461333333333333,0.0,(undefined),0.0,0.023405714285714287,0.0,10.122971428571429,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.002296160163803308,0.00031497395936945245,0.021873191622878645,0.06561957486863593,(undefined),(undefined),(undefined),(undefined),0.0010205156283570258,0.00031497395936945245,0.021873191622878645,0.06561957486863593,(undefined),(undefined),(undefined),(undefined),0.0010205156283570258,0.00031497395936945245,0.021873191622878645,0.06561957486863593,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.0032193100108607394,0.0003066710496552297,0.0003066710496552297,0.021905074975373546,2.8711419871721615,(undefined)
Working (cache) memory [TeraBytes],(undefined),0.0005964901926033174,6.045467735564812e-06,0.0005964901926100072,7.150261410034373e-05,0.00011952806711150786,0.00010585695132996123,(undefined),(undefined),0.0005964901926033174,6.045467735564812e-06,0.00026510675227214814,7.150261410034373e-05,0.00011952806711150786,0.00010585695132996123,(undefined),(undefined),0.0005964901926033174,6.045467735564812e-06,0.00026510675227214814,7.150261410034373e-05,0.00011952806711150786,0.00010585695132996123,(undefined),(undefined),0.0001302922071384454,2.079960042415444e-07,(undefined),(undefined),0.0001302922071384454,2.079960042415444e-07,(undefined),(undefined),0.000259065253554162,3.462486113409709e-06,0.00025906525356783546,2.2420514373338298e-05,2.370826896183996e-05,5.854147303197948e-05,0.0005884669614792533,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.07745702991080324,0.07745702991080324,0.060826824175402354,0.07745702991080324,0.03872851495540162,0.07745702991080324,0.12165364835080471,0.12165364835080471,0.07745702991080324,0.07745702991080324,0.060826824175402354,0.07745702991080324,0.03872851495540162,0.07745702991080324,0.12165364835080471,0.12165364835080471,0.07745702991080324,0.07745702991080324,0.060826824175402354,0.07745702991080324,0.03872851495540162,0.07745702991080324,0.12165364835080471,0.12165364835080471,0.005177177391703038,0.005177177391703038,0.00405512161169349,0.002102152,0.005177177391703038,0.005177177391703038,0.00405512161169349,0.00077309411328,0.046491144427016615,0.046491144427016615,0.03649609450524141,0.046491144427016615,0.023245572213508307,0.023245572213508307,0.046491144427016615,0.07299218901048282,0.07299218901048282
Total buffer ingest rate [TeraBytes/s],0.004303168328377957,0.004303168328377957,0.003379268009744575,0.004303168328377957,0.0021515841641889786,0.004303168328377957,0.00675853601948915,0.00675853601948915,0.004303168328377957,0.004303168328377957,0.003379268009744575,0.004303168328377957,0.0021515841641889786,0.004303168328377957,0.00675853601948915,0.00675853601948915,0.004303168328377957,0.004303168328377957,0.003379268009744575,0.004303168328377957,0.0021515841641889786,0.004303168328377957,0.00675853601948915,0.00675853601948915,0.0021571572465429326,0.0021571572465429326,0.0016896340048722874,(undefined),0.0021571572465429326,0.0021571572465429326,0.0016896340048722874,(undefined),0.002152367797547066,0.002152367797547066,0.0016896340048722874,0.002152367797547066,0.001076183898773533,0.001076183898773533,0.002152367797547066,0.003379268009744575,0.003379268009744575
Output size [TB],0.0,0.0,0.0,0.0,0.028967912755547484,1.1872095391617823,3.5616286174853466,2.9406779127701177,0.0,0.0,0.0,0.0,0.028967912755547484,1.1872095391617823,3.5616286174853466,2.9406779127701177,0.0,0.0,0.0,0.0,0.028967912755547484,1.1872095391617823,3.5616286174853466,2.9406779127701177,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.016645160972056153,0.016645160972056153,0.5944700347162911,77.91837639033372,3.5288134953241417
Buffer Read Rate [TeraBytes/s],0.004160740669840918,0.0033473009697522304,0.0018923104687651935,0.01673650484876115,0.0037195557712214745,0.007439111542442949,0.02270772562518232,0.02270772562518232,0.004160740669840918,0.0033473009697522304,0.0018923104687651935,0.011157963262561093,0.0037195557712214745,0.007439111542442949,0.02270772562518232,0.02270772562518232,0.004160740669840918,0.0033473009697522304,0.0018923104687651935,0.011157963262561093,0.0037195557712214745,0.007439111542442949,0.02270772562518232,0.02270772562518232,0.0020857589575903075,0.0010282347849114024,0.0005797842754034631,0.0008758966666666667,0.0020857589575903075,0.0010282347849114024,0.0005797842754034631,0.0003221225472,0.002081128031327949,0.002350976992507883,0.0013285804509488859,0.011754884962539418,0.002612430084708056,0.002612430084708056,0.005224860169416112,0.039209038836934905,0.019604519418467452
Facet visibility rate [TeraBytes/s],0.0,2.182105328814946e-05,0.00032172250710699434,0.00019638947959334515,7.980610499948627e-05,0.0008862851306154288,0.002740338250931256,(undefined),0.0,2.182105328814946e-05,0.00032172250710699434,0.00019638947959334515,7.980610499948627e-05,0.0008862851306154288,0.002740338250931256,(undefined),0.0,2.182105328814946e-05,0.00032172250710699434,0.00019638947959334515,7.980610499948627e-05,0.0008862851306154288,0.002740338250931256,(undefined),0.0,9.271571402159395e-06,9.857240436569631e-05,(undefined),0.0,9.271571402159395e-06,9.857240436569631e-05,(undefined),0.0,2.121444041157855e-05,0.00022587953822269922,0.00019092996370420693,0.0003112291377942915,0.0003112291377942915,0.000622458275588583,0.007282242880580364,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.0037680577047028646,0.038766025768548,0.03391251934232578,0.014214209448467598,0.04935489391829027,0.14806468175487078,(undefined),0.0,0.0037680577047028646,0.038766025768548,0.015072230818811455,0.014214209448467598,0.04935489391829027,0.14806468175487078,(undefined),0.0,0.0037680577047028646,0.038766025768548,0.015072230818811455,0.014214209448467598,0.04935489391829027,0.14806468175487078,(undefined),0.0,0.0019036250439146444,0.019584619793360535,(undefined),0.0,0.0019036250439146444,0.019584619793360535,(undefined),0.0,0.00188677509794036,0.019411266439715625,0.016980975881463245,0.0049426835841868515,0.0009885367168373704,0.024713417920934257,3.2392371137326954,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.0059294086930021545,0.006844662074965613,0.0038800504672298,0.06562410789491363,0.01683413544681519,0.027257093553879817,0.07796951086833767,0.0021491916149000683,0.0059294086930021545,0.006844662074965613,0.0038800504672298,0.03502734430941847,0.01683413544681519,0.027257093553879817,0.07796951086833767,0.0021491916149000683,0.0059294086930021545,0.006844662074965613,0.0038800504672298,0.03502734430941847,0.01683413544681519,0.027257093553879817,0.07796951086833767,0.0021491916149000683,0.002972381272134701,0.002009958763163163,0.001305909062052505,0.00050088,0.002972381272134701,0.002009958763163163,0.001305909062052505,2.755e-07,0.0029657838021114533,0.0045842145380024174,0.0026018659743094336,0.043144855652872044,0.01126916502329092,0.009827165071815374,0.01621853367425506,0.5309136801378286,0.0018554860774603673
-> DFT [PetaFLOP/s],,0.0027716943821945875,0.0031338121925933203,0.024945249439751287,0.011293097654266055,0.011293097654266055,0.034471934118526525,,,0.0027716943821945875,0.0031338121925933203,0.01663060354233819,0.011293097654266055,0.011293097654266055,0.034471934118526525,,,0.0027716943821945875,0.0031338121925933203,0.01663060354233819,0.011293097654266055,0.011293097654266055,0.034471934118526525,,,0.0008514180836051168,0.0009601675102071792,,,0.0008514180836051168,0.0009601675102071792,,,0.0019466996788415941,0.002200231772084213,0.017520297109574347,0.007931707407054747,0.007931707407054747,0.007931707407054747,0.059522095076693336,
-> Subtract Visibility [PetaFLOP/s],,2.7894174747935253e-07,1.5769253906376613e-07,2.5104757273141722e-06,5.682654650477253e-07,1.1365309300954507e-06,3.4692358594028543e-06,,,2.7894174747935253e-07,1.5769253906376613e-07,1.6736944893841633e-06,5.682654650477253e-07,1.1365309300954507e-06,3.4692358594028543e-06,,,2.7894174747935253e-07,1.5769253906376613e-07,1.6736944893841633e-06,5.682654650477253e-07,1.1365309300954507e-06,3.4692358594028543e-06,,,8.568623207595019e-08,4.831535628362192e-08,,,8.568623207595019e-08,4.831535628362192e-08,,,1.959147493756569e-07,1.1071503757907382e-07,1.7632327443809123e-06,3.991212629415085e-07,3.991212629415085e-07,7.98242525883017e-07,5.990269822309499e-06,
