,hpso01 (Ingest) [Na=256] [Bmax=32500.0],hpso01 (RCAL) [Na=256] [Bmax=32500.0],hpso01 (FastImg) [Na=256] [Bmax=32500.0],hpso01 (ICAL) [Na=256] [Bmax=32500.0],hpso01 (DPrepA) [Na=256] [Bmax=32500.0],hpso01 (DPrepB) [Na=256] [Bmax=32500.0],hpso01 (DPrepC) [Na=256] [Bmax=32500.0],hpso01 (DPrepD) [Na=256] [Bmax=32500.0],hpso02a (Ingest) [Na=256] [Bmax=32500.0],hpso02a (RCAL) [Na=256] [Bmax=32500.0],hpso02a (FastImg) [Na=256] [Bmax=32500.0],hpso02a (ICAL) [Na=256] [Bmax=32500.0],hpso02a (DPrepA) [Na=256] [Bmax=32500.0],hpso02a (DPrepB) [Na=256] [Bmax=32500.0],hpso02a (DPrepC) [Na=256] [Bmax=32500.0],hpso02a (DPrepD) [Na=256] [Bmax=32500.0],hpso02b (Ingest) [Na=256] [Bmax=32500.0],hpso02b (RCAL) [Na=256] [Bmax=32500.0],hpso02b (FastImg) [Na=256] [Bmax=32500.0],hpso02b (ICAL) [Na=256] [Bmax=32500.0],hpso02b (DPrepA) [Na=256] [Bmax=32500.0],hpso02b (DPrepB) [Na=256] [Bmax=32500.0],hpso02b (DPrepC) [Na=256] [Bmax=32500.0],hpso02b (DPrepD) [Na=256] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso04a (PSS) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso05a (PST) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (Ingest) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (RCAL) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (FastImg) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (ICAL) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepA) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepB) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepC) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepD) [Nf_max=32768] [Na=256] [Bmax=32500.0]
Frequencies predict de-grid1,32768.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,32768.0,
Frequencies predict de-grid2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,
Frequencies predict de-grid3,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,8076.963378093995,5814.487179478897,,32768.0,8076.963378093995,5814.487179478897,,32768.0,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,
Frequencies total0,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,(undefined),32768.0,8076.963378093996,5814.487179478897,(undefined),32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies total1,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,,32768.0,8076.963378093996,5814.487179478897,,32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies total2,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,,32768.0,8076.963378093996,5814.487179478897,,32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies total3,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,,32768.0,8076.963378093996,5814.487179478897,,32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies backward kernels0,(undefined),263.4908277339983,364.52288461678205,263.49082773601157,202.69722212551432,216.3366198859483,416.3250111305861,(undefined),(undefined),263.4908277339983,364.52288461678205,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,(undefined),(undefined),263.4908277339983,364.52288461678205,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,(undefined),(undefined),151.57201249413393,222.75933872570835,(undefined),(undefined),151.57201249413393,222.75933872570835,(undefined),(undefined),349.422673091697,511.6591552951528,349.42267309180784,279.985581971751,281.0385025351735,295.3528596465837,724.8565248467162,(undefined)
Frequencies backward kernels1,,263.4908277339983,365.0584953999703,263.49082773601157,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,365.0584953999703,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,365.0584953999703,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,151.57201249413393,222.83688638800666,,,151.57201249413393,222.83688638800666,,,349.422673091697,512.317136997464,349.42267309180784,279.985581971751,281.0385025351735,295.3528596465837,724.8565248467162,
Frequencies backward kernels2,,263.4908277339983,369.3268941633874,263.49082773601157,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,369.3268941633874,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,369.3268941633874,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,151.57201249413393,223.45734073105942,,,151.57201249413393,223.45734073105942,,,349.422673091697,517.5643890331957,349.42267309180784,279.985581971751,281.0385025351735,295.3528596465837,724.8565248467162,
Frequencies backward kernels3,,263.4908277339983,402.0117904727253,263.49082773601157,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,402.0117904727253,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,402.0117904727253,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,151.57201249413393,228.3765188389614,,,151.57201249413393,228.3765188389614,,,349.422673091697,557.9663494408372,349.42267309180784,279.985581971751,281.0385025351735,295.3528596465837,724.8565248467162,
Frequencies backward grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,(undefined)
Frequencies backward grid1,32768.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,32768.0,
Frequencies backward grid2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,
Frequencies backward grid3,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,8076.963378093995,5814.487179478897,,32768.0,8076.963378093995,5814.487179478897,,32768.0,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],707.6467019161825,707.6467019161825,1111.4265952445328,707.6467019161825,707.6467019161825,707.6467019161825,1111.4265952445328,1111.4265952445328,707.6467019161825,707.6467019161825,1111.4265952445328,707.6467019161825,707.6467019161825,707.6467019161825,1111.4265952445328,1111.4265952445328,707.6467019161825,707.6467019161825,1111.4265952445328,707.6467019161825,707.6467019161825,707.6467019161825,1111.4265952445328,1111.4265952445328,709.4796645364336,709.4796645364336,1111.4265952445328,(undefined),709.4796645364336,709.4796645364336,1111.4265952445328,(undefined),707.9044355296712,707.9044355296712,1111.4265952445328,707.9044355296712,707.9044355296712,707.9044355296712,707.9044355296712,1111.4265952445328,1111.4265952445328
Averaged rate0 [M/s],350.3325069924092,140.9206236874476,159.33169671827636,140.9206236874476,52.197489246545025,52.197489246545025,159.33169671827636,159.33169671827636,350.3325069924092,140.9206236874476,159.33169671827636,93.94955256492072,52.197489246545025,52.197489246545025,159.33169671827636,159.33169671827636,350.3325069924092,140.9206236874476,159.33169671827636,93.94955256492072,52.197489246545025,52.197489246545025,159.33169671827636,159.33169671827636,351.23994623891053,86.57690987229566,97.63515433161501,(undefined),351.23994623891053,86.57690987229566,97.63515433161501,(undefined),350.4601023909397,197.95121326277024,223.7317617489602,197.95121326277024,73.32181563666624,73.32181563666624,73.32181563666624,550.2305944417075,275.11529722085373
Averaged rate1 [M/s],98.8767100007885,39.77297956474222,44.96926107598673,39.77297956474222,14.732049992471115,14.732049992471115,44.96926107598673,44.96926107598673,98.8767100007885,39.77297956474222,44.96926107598673,26.516016864706135,14.732049992471115,14.732049992471115,44.96926107598673,44.96926107598673,98.8767100007885,39.77297956474222,44.96926107598673,26.516016864706135,14.732049992471115,14.732049992471115,44.96926107598673,44.96926107598673,99.13282270922635,24.435186114181697,27.556229148151814,,99.13282270922635,24.435186114181697,27.556229148151814,,98.91272211204316,55.86910811137278,63.145326462373546,55.86910811137278,20.694111327770713,20.694111327770713,20.694111327770713,155.29529756527273,77.64764878263637
Averaged rate2 [M/s],111.85970228005078,44.995364963772865,50.87394347641257,44.995364963772865,16.66643971183408,16.66643971183408,50.87394347641257,50.87394347641257,111.85970228005078,44.995364963772865,50.87394347641257,29.997698670548207,16.66643971183408,16.66643971183408,50.87394347641257,50.87394347641257,111.85970228005078,44.995364963772865,50.87394347641257,29.997698670548207,16.66643971183408,16.66643971183408,50.87394347641257,50.87394347641257,112.14944383107697,27.643644735632876,31.17449587924738,,112.14944383107697,27.643644735632876,31.17449587924738,,111.90044295642836,63.20499336942231,71.43661453138347,63.20499336942231,23.411348658912683,23.411348658912683,23.411348658912683,175.68632442366635,87.84316221183317
Averaged rate3 [M/s],140.64329687055718,56.57351435242977,63.964761120279555,56.57351435242977,20.955026523298375,20.955026523298375,63.964761120279555,63.964761120279555,140.64329687055718,56.57351435242977,63.964761120279555,37.71666787555761,20.955026523298375,20.955026523298375,63.964761120279555,63.964761120279555,140.64329687055718,56.57351435242977,63.964761120279555,37.71666787555761,20.955026523298375,20.955026523298375,63.964761120279555,63.964761120279555,141.00759434450083,34.75687181255088,39.19627702707453,,141.00759434450083,34.75687181255088,39.19627702707453,,140.6945208853336,79.46882089764512,89.8185922202006,79.46882089764512,29.43552675772491,29.43552675772491,29.43552675772491,220.89370325833045,110.44685162916522
Predict rate0 [M/s],(undefined),2.4908707402981856,17.933979682589495,2.4908707402981856,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),2.4908707402981856,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),2.4908707402981856,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),1.5465837946475405,10.989555746408628,(undefined),(undefined),1.5465837946475405,10.989555746408628,(undefined),(undefined),3.49765200529585,25.182686219818457,3.49765200529585,1.2963519849181904,1.2963519849181904,1.2963519849181904,49.520753499753674,(undefined)
Predict rate1 [M/s],,2.4862033552160123,10.120300839313368,2.4862033552160123,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,2.4862033552160123,10.120300839313368,1.1050954461884677,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,2.4862033552160123,10.120300839313368,1.1050954461884677,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,2.036585897117359,6.201506640184591,,,2.036585897117359,6.201506640184591,,,3.49236988488996,14.210810543574235,3.49236988488996,0.7313415950801818,0.7313415950801818,0.7313415950801818,19.41191219565909,
Predict rate2 [M/s],,11.249432756764456,22.894946787680915,11.249432756764456,1.6668805563629288,1.6668805563629288,6.3597074410224765,,,11.249432756764456,22.894946787680915,5.000010778594101,1.6668805563629288,1.6668805563629288,6.3597074410224765,,,11.249432756764456,22.894946787680915,5.000010778594101,1.6668805563629288,1.6668805563629288,6.3597074410224765,,,13.822547305270023,14.029545202406258,,,13.822547305270023,14.029545202406258,,,15.802078942202124,32.14882380135876,15.802078942202124,2.3414670761426173,2.3414670761426173,2.3414670761426173,43.92158110591659,
Predict rate3 [M/s],,56.57351435242977,57.5682850082516,56.57351435242977,10.477513261649188,10.477513261649188,31.982380560139777,,,56.57351435242977,57.5682850082516,37.716667875557604,10.477513261649188,10.477513261649188,31.982380560139777,,,56.57351435242977,57.5682850082516,37.716667875557604,10.477513261649188,10.477513261649188,31.982380560139777,,,34.75687181255088,35.27664932436708,,,34.75687181255088,35.27664932436708,,,79.46882089764512,80.83673299818055,79.46882089764512,14.717763378862456,14.717763378862456,14.717763378862456,110.44685162916522,
Backward rate0 [M/s],(undefined),2.4908707402981856,17.933979682589495,2.4908707402981856,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),2.4908707402981856,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),2.4908707402981856,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),1.5465837946475405,10.989555746408628,(undefined),(undefined),1.5465837946475405,10.989555746408628,(undefined),(undefined),3.49765200529585,25.182686219818457,3.49765200529585,1.2963519849181904,1.2963519849181904,1.2963519849181904,49.520753499753674,(undefined)
Backward rate1 [M/s],,2.4862033552160123,10.120300839313368,2.4862033552160123,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,2.4862033552160123,10.120300839313368,1.1050954461884677,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,2.4862033552160123,10.120300839313368,1.1050954461884677,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,2.036585897117359,6.201506640184591,,,2.036585897117359,6.201506640184591,,,3.49236988488996,14.210810543574235,3.49236988488996,0.7313415950801818,0.7313415950801818,0.7313415950801818,19.41191219565909,
Backward rate2 [M/s],,11.249432756764456,22.894946787680915,11.249432756764456,1.6668805563629288,1.6668805563629288,6.3597074410224765,,,11.249432756764456,22.894946787680915,5.000010778594101,1.6668805563629288,1.6668805563629288,6.3597074410224765,,,11.249432756764456,22.894946787680915,5.000010778594101,1.6668805563629288,1.6668805563629288,6.3597074410224765,,,13.822547305270023,14.029545202406258,,,13.822547305270023,14.029545202406258,,,15.802078942202124,32.14882380135876,15.802078942202124,2.3414670761426173,2.3414670761426173,2.3414670761426173,43.92158110591659,
Backward rate3 [M/s],,56.57351435242977,57.5682850082516,56.57351435242977,10.477513261649188,10.477513261649188,31.982380560139777,,,56.57351435242977,57.5682850082516,37.716667875557604,10.477513261649188,10.477513261649188,31.982380560139777,,,56.57351435242977,57.5682850082516,37.716667875557604,10.477513261649188,10.477513261649188,31.982380560139777,,,34.75687181255088,35.27664932436708,,,34.75687181255088,35.27664932436708,,,79.46882089764512,80.83673299818055,79.46882089764512,14.717763378862456,14.717763378862456,14.717763378862456,110.44685162916522,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
