,hpso04b (Ingest) [Nf_max=65536] [Na=140],hpso04b (RCAL) [Nf_max=65536] [Na=140],hpso04b (FastImg) [Nf_max=65536] [Na=140],hpso04b (PSS) [Nf_max=65536] [Na=140],hpso04c (Ingest) [Na=140],hpso04c (RCAL) [Na=140],hpso04c (FastImg) [Na=140],hpso04c (PSS) [Na=140],hpso05b (Ingest) [Na=140],hpso05b (RCAL) [Na=140],hpso05b (FastImg) [Na=140],hpso05b (PST) [Na=140],hpso13 (Ingest) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (RCAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (FastImg) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (ICAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepA) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepB) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepC) [Nf_max=65536] [Na=140] [Bmax=35000],hpso14 (Ingest) [Na=140] [Bmax=25000],hpso14 (RCAL) [Na=140] [Bmax=25000],hpso14 (FastImg) [Na=140] [Bmax=25000],hpso14 (ICAL) [Na=140] [Bmax=25000],hpso14 (DPrepA) [Na=140] [Bmax=25000],hpso14 (DPrepB) [Na=140] [Bmax=25000],hpso14 (DPrepC) [Na=140] [Bmax=25000],hpso15 (Ingest) [Na=140] [Bmax=15000],hpso15 (RCAL) [Na=140] [Bmax=15000],hpso15 (FastImg) [Na=140] [Bmax=15000],hpso15 (ICAL) [Na=140] [Bmax=15000],hpso15 (DPrepA) [Na=140] [Bmax=15000],hpso15 (DPrepB) [Na=140] [Bmax=15000],hpso15 (DPrepC) [Na=140] [Bmax=15000],hpso18 (Ingest) [Na=140],hpso18 (RCAL) [Na=140],hpso18 (FastImg) [Na=140],hpso18 (SinglePulse) [Na=140],hpso22 (Ingest) [Na=140],hpso22 (RCAL) [Na=140],hpso22 (FastImg) [Na=140],hpso22 (ICAL) [Na=140],hpso22 (DPrepA) [Na=140],hpso22 (DPrepB) [Na=140],hpso27and33 (Ingest) [Na=140] [Bmax=30000],hpso27and33 (RCAL) [Na=140] [Bmax=30000],hpso27and33 (FastImg) [Na=140] [Bmax=30000],hpso27and33 (ICAL) [Na=140] [Bmax=30000],hpso27and33 (DPrepA) [Na=140] [Bmax=30000],hpso27and33 (DPrepB) [Na=140] [Bmax=30000],hpso32 (Ingest) [Na=140] [Bmax=20000],hpso32 (RCAL) [Na=140] [Bmax=20000],hpso32 (FastImg) [Na=140] [Bmax=20000],hpso32 (ICAL) [Na=140] [Bmax=20000],hpso32 (DPrepB) [Na=140] [Bmax=20000],hpso37a (Ingest) [Na=140] [Bmax=120000],hpso37a (RCAL) [Na=140] [Bmax=120000],hpso37a (FastImg) [Na=140] [Bmax=120000],hpso37a (ICAL) [Na=140] [Bmax=120000],hpso37a (DPrepA) [Na=140] [Bmax=120000],hpso37a (DPrepB) [Na=140] [Bmax=120000],hpso37b (Ingest) [Na=140] [Bmax=120000],hpso37b (RCAL) [Na=140] [Bmax=120000],hpso37b (FastImg) [Na=140] [Bmax=120000],hpso37b (ICAL) [Na=140] [Bmax=120000],hpso37b (DPrepA) [Na=140] [Bmax=120000],hpso37b (DPrepB) [Na=140] [Bmax=120000],hpso37c (Ingest) [Na=140] [Bmax=120000],hpso37c (RCAL) [Na=140] [Bmax=120000],hpso37c (FastImg) [Na=140] [Bmax=120000],hpso37c (ICAL) [Na=140] [Bmax=120000],hpso37c (DPrepA) [Na=140] [Bmax=120000],hpso37c (DPrepB) [Na=140] [Bmax=120000],hpso38a (Ingest) [Na=140],hpso38a (RCAL) [Na=140],hpso38a (FastImg) [Na=140],hpso38a (ICAL) [Na=140],hpso38a (DPrepA) [Na=140],hpso38a (DPrepB) [Na=140],hpso38b (Ingest) [Na=140],hpso38b (RCAL) [Na=140],hpso38b (FastImg) [Na=140],hpso38b (ICAL) [Na=140],hpso38b (DPrepA) [Na=140],hpso38b (DPrepB) [Na=140],max_mid_band1 (Ingest) [Na=140],max_mid_band1 (RCAL) [Na=140],max_mid_band1 (FastImg) [Na=140],max_mid_band1 (ICAL) [Na=140],max_mid_band1 (DPrepA) [Na=140],max_mid_band1 (DPrepA_Image) [Na=140],max_mid_band1 (DPrepB) [Na=140],max_mid_band1 (DPrepC) [Na=140],max_mid_band1 (DPrepD) [Na=140],max_mid_band2 (Ingest) [Na=140],max_mid_band2 (RCAL) [Na=140],max_mid_band2 (FastImg) [Na=140],max_mid_band2 (ICAL) [Na=140],max_mid_band2 (DPrepA) [Na=140],max_mid_band2 (DPrepA_Image) [Na=140],max_mid_band2 (DPrepB) [Na=140],max_mid_band2 (DPrepC) [Na=140],max_mid_band2 (DPrepD) [Na=140],max_mid_band5a_1 (Ingest) [Na=140],max_mid_band5a_1 (RCAL) [Na=140],max_mid_band5a_1 (FastImg) [Na=140],max_mid_band5a_1 (ICAL) [Na=140],max_mid_band5a_1 (DPrepA) [Na=140],max_mid_band5a_1 (DPrepA_Image) [Na=140],max_mid_band5a_1 (DPrepB) [Na=140],max_mid_band5a_1 (DPrepC) [Na=140],max_mid_band5a_1 (DPrepD) [Na=140],max_mid_band5a_2 (Ingest) [Na=140],max_mid_band5a_2 (RCAL) [Na=140],max_mid_band5a_2 (FastImg) [Na=140],max_mid_band5a_2 (ICAL) [Na=140],max_mid_band5a_2 (DPrepA) [Na=140],max_mid_band5a_2 (DPrepA_Image) [Na=140],max_mid_band5a_2 (DPrepB) [Na=140],max_mid_band5a_2 (DPrepC) [Na=140],max_mid_band5a_2 (DPrepD) [Na=140],max_mid_band5b_1 (Ingest) [Na=140],max_mid_band5b_1 (RCAL) [Na=140],max_mid_band5b_1 (FastImg) [Na=140],max_mid_band5b_1 (ICAL) [Na=140],max_mid_band5b_1 (DPrepA) [Na=140],max_mid_band5b_1 (DPrepA_Image) [Na=140],max_mid_band5b_1 (DPrepB) [Na=140],max_mid_band5b_1 (DPrepC) [Na=140],max_mid_band5b_1 (DPrepD) [Na=140],max_mid_band5b_2 (Ingest) [Na=140],max_mid_band5b_2 (RCAL) [Na=140],max_mid_band5b_2 (FastImg) [Na=140],max_mid_band5b_2 (ICAL) [Na=140],max_mid_band5b_2 (DPrepA) [Na=140],max_mid_band5b_2 (DPrepA_Image) [Na=140],max_mid_band5b_2 (DPrepB) [Na=140],max_mid_band5b_2 (DPrepC) [Na=140],max_mid_band5b_2 (DPrepD) [Na=140]
-> Phase Rotation Predict [Tera/s],,13.992198143999998,0.0,,,10.446189750887102,0.0,,,10.712776703999998,0.0,,,0.3358386962491579,0.0,3.0225482662424206,0.8551624299416953,0.0,0.0,,0.1415217484982817,0.0,0.5434480318138543,0.0,0.0,0.0,,0.036830705067638275,0.0,0.14143190730664665,0.0,0.0,0.0,,13.992198143999998,0.0,,,5.465702399999999,0.0,49.191321599999995,9.84251217665437,0.0,,0.5200007079452722,0.0,0.0,0.0,0.0,,0.4511010648725149,0.0,0.0,0.0,,10.70195347483703,0.0,39.10610078307385,23.89826996143972,16.99432530591269,,10.70195347483703,0.0,96.31758127353325,23.89826996143972,16.99432530591269,,10.70195347483703,0.0,96.31758127353325,23.89826996143972,16.99432530591269,,5.465702399999999,0.0,26.155817169039132,11.100113588392356,0.0,,5.465702399999999,0.0,49.191321599999995,11.100113588392356,0.0,,21.862809599999995,0.0,196.76528639999998,96.19636223999998,19.239272448,38.478544896,60.1227264,,,10.712776703999998,0.0,96.41499033599999,33.725019241119924,6.745003848223983,23.982235904796386,38.478544896,,,5.465702399999999,0.0,49.191321599999995,23.876216985516034,2.1223303987125366,4.244660797425073,0.0,,,5.114667869282698,0.0,46.03201082354428,0.0,1.6670109086612446,0.0,0.0,,,4.042470514019426,0.0,36.38223462617484,6.587760142950818,1.3175520285901634,0.0,0.0,,,1.667252204228272,0.0,15.005269838054447,0.0,0.0,0.0,0.0,
-> Correct [Tera/s],,0.21862809599999997,0.05387322683683893,,,0.12896530556650743,0.030927493179981,,,0.21862809599999997,0.08822883357177629,,,0.009328852673587719,0.002897135008814301,0.08395967406228946,0.0190036095542599,0.0190036095542599,0.0631116368649468,,0.005660869939931269,0.001758028071410148,0.03396550198836589,0.011531727648510152,0.011531727648510152,0.039239760835176725,,0.0014732282027055314,0.00045752849165877556,0.008839494206665416,0.0030011646903590535,0.0030011646903590535,0.010491530528035671,,0.21862809599999997,0.05387322683683893,,,0.21862809599999997,0.057935773470007945,1.9676528639999997,0.4921256088327186,0.9842512176654372,,0.020800028317810887,0.006459592369865715,0.06933502667577279,0.042371405190750035,0.08474281038150007,,0.01804404259490059,0.005603742640177135,0.06014887956109883,0.03675764862067151,,0.21840721377218428,0.0625208156345685,1.5642440313229542,0.5310726658097715,1.062145331619543,,0.21840721377218428,0.0625208156345685,1.9656649239496582,0.5310726658097715,1.062145331619543,,0.21840721377218428,0.0625208156345685,1.9656649239496582,0.5310726658097715,1.062145331619543,,0.21862809599999997,0.06533836764475534,1.6347385730649457,0.5550056794196178,1.1100113588392355,,0.21862809599999997,0.06533836764475534,1.9676528639999997,0.5550056794196178,1.1100113588392355,,0.21862809599999997,0.10931404799999998,1.9676528639999997,1.202454528,1.202454528,2.404909056,2.404909056,2.404909056,,0.21862809599999997,0.08822883357177629,1.9676528639999997,0.7494448720248871,0.7494448720248871,1.4988897440497742,2.404909056,2.404909056,,0.21862809599999997,0.0624631458453926,1.9676528639999997,0.5305825996781343,0.5305825996781343,1.0611651993562685,2.404909056,1.933843852470956,,0.2045867147713079,0.04906245593077033,1.8412804329417716,0.41675272716531114,0.41675272716531114,0.8335054543306223,2.404909056,1.5189616862048865,,0.16169882056077703,0.038777396671353534,1.4552893850469937,0.32938800714754085,0.32938800714754085,0.6587760142950817,2.404909056,1.2005388462041888,,0.10420326276426703,0.024989247075267833,0.9378293648784032,0.2122669288294079,0.2122669288294079,0.4245338576588158,2.404909056,0.7736610051853691
-> Grid [Tera/s],,317.95816597904104,10459.052069766714,,,170.69725882114872,6316.795185121576,,,614.2000255662614,17678.500612587424,,,1.525731227322871,37.63942075496002,13.731581045905838,4.2637473274975335,1.4801362766852009,4.070760401343558,,0.7981393164975986,16.408820086415083,2.6606253695855298,3.2262656237758414,0.6452531247551684,1.926868788665614,,0.12721501056283363,2.615353256425667,0.4240901691292692,0.5142019047342816,0.10284038094685634,0.2426632610912744,,317.95816597904104,10459.052069766714,,,561.473704587603,11543.751231035312,5053.263341288427,1961.1591220490466,908.6803503022508,,4.494364961316987,92.4000131126609,5.945781879376283,18.167666853649752,7.267066741459901,,2.6317781478775473,54.10622187582556,3.4815653998491354,2.127623299907805,,303.97553185703225,8749.269735445903,1134.8495697664102,990.9761420434205,301.0070847437363,,303.97553185703225,8749.269735445903,2735.7797867132904,990.9761420434205,301.0070847437363,,303.97553185703225,8749.269735445903,2735.7797867132904,990.9761420434205,301.0070847437363,,663.3670263394237,13638.65268128791,2211.248449526758,2317.0598762967934,1072.6866794564112,,663.3670263394237,13638.65268128791,5970.303237054813,2317.0598762967934,1072.6866794564112,,910.541018346082,32797.94547490488,8194.869165114738,3180.421774732723,636.0843549465446,1272.1687098930893,9385.046421767804,,,614.2000255662614,17678.500612587424,5527.800230096353,2002.3200980859522,400.4640196171905,601.662846862661,8173.300994654809,,,622.8959078358771,12806.57647048331,5606.063170522895,1450.5108067066392,435.1398551483405,870.279710296681,5807.525350458779,,,449.0645920467794,9232.648162127489,4041.5813284210144,1815.3797612631713,313.70559332298876,726.1519045052685,5330.385410573243,,,424.18988465531055,8721.234825328687,3817.7089618977943,1481.6431953223143,296.3286390644629,685.9296097392311,6370.618131783791,,,287.61524944093185,4730.68981078126,2588.537244968387,930.1771982712442,186.03543965424882,372.8501233286643,5362.322543483442,
-> Phase Rotation [Tera/s],,0.02769379166378801,0.0,,,0.015851184127473262,0.0,,,0.04467599141818043,0.0,,,0.0016913262756861832,0.0,0.015221936481175648,0.0014224916454301235,0.0,0.0,,0.0012323118229678586,0.0,0.004808837880007419,0.0,0.0,0.0,,0.0004271122282804404,0.0,0.0017597174377841096,0.0,0.0,0.0,,0.02769379166378801,0.0,,,0.030298493513390642,0.0,0.27268644162051575,0.023356336798725015,0.0,,0.0037809764886500012,0.0,0.0,0.0,0.0,,0.0039841554951596135,0.0,0.0,0.0,,0.03874419887652034,0.0,0.16506692089244235,0.030921026942286902,0.06295608063156284,,0.03874419887652034,0.0,0.34869778988868305,0.030921026942286902,0.06295608063156284,,0.03874419887652034,0.0,0.34869778988868305,0.030921026942286902,0.06295608063156284,,0.034177359292199866,0.0,0.13785116420575558,0.02755935316965071,0.0,,0.034177359292199866,0.0,0.3075962336297988,0.02755935316965071,0.0,,0.08849605635592285,0.0,0.7964645072033056,0.06536842860766078,0.06536842860766078,0.13073685721532155,2.5577743938787263,,,0.04467599141818043,0.0,0.402083922763624,0.034645776042664826,0.034645776042664826,0.0686408330708356,1.9158745568812485,,,0.03267338486822161,0.0,0.29406046381399453,0.02452807595069566,0.02518150497360046,0.05036300994720092,0.0,,,0.025648843225793444,0.0,0.230839589032141,0.0,0.019778040580612916,0.0,0.0,,,0.022702334643446852,0.0,0.20432101179102166,0.016360276901112934,0.016360276901112934,0.0,0.0,,,0.013850032295319023,0.0,0.1246502906578712,0.0,0.0,0.0,0.0,
-> Subtract Visibility [Tera/s],,0.21862809599999997,0.05387322683683893,,,0.12896530556650743,0.030927493179981,,,0.21862809599999997,0.08822883357177629,,,0.009328852673587719,0.002897135008814301,0.08395967406228946,0.0190036095542599,0.0190036095542599,0.0631116368649468,,0.005660869939931269,0.001758028071410148,0.03396550198836589,0.011531727648510152,0.011531727648510152,0.039239760835176725,,0.0014732282027055314,0.00045752849165877556,0.008839494206665416,0.0030011646903590535,0.0030011646903590535,0.01049153052803567,,0.21862809599999997,0.05387322683683893,,,0.21862809599999997,0.05793577347000793,1.9676528639999997,0.49212560883271855,0.9842512176654371,,0.020800028317810887,0.006459592369865715,0.06933502667577279,0.042371405190750035,0.08474281038150007,,0.01804404259490059,0.005603742640177135,0.06014887956109883,0.03675764862067151,,0.21840721377218428,0.0625208156345685,1.5642440313229542,0.5310726658097715,1.062145331619543,,0.21840721377218428,0.0625208156345685,1.9656649239496582,0.5310726658097715,1.062145331619543,,0.21840721377218428,0.0625208156345685,1.9656649239496582,0.5310726658097715,1.062145331619543,,0.21862809599999997,0.06533836764475534,1.6347385730649457,0.5550056794196178,1.1100113588392355,,0.21862809599999997,0.06533836764475534,1.9676528639999997,0.5550056794196178,1.1100113588392355,,0.21862809599999997,0.10931404799999998,1.9676528639999997,1.202454528,1.202454528,2.404909056,2.404909056,,,0.21862809599999997,0.08822883357177629,1.9676528639999997,0.7494448720248871,0.7494448720248871,1.4988897440497742,2.404909056,,,0.21862809599999997,0.0624631458453926,1.9676528639999997,0.5305825996781343,0.5305825996781343,1.0611651993562685,2.404909056,,,0.2045867147713079,0.04906245593077033,1.8412804329417714,0.41675272716531114,0.41675272716531114,0.8335054543306223,2.404909056,,,0.16169882056077703,0.038777396671353534,1.4552893850469937,0.32938800714754085,0.32938800714754085,0.6587760142950817,2.404909056,,,0.104203262764267,0.024989247075267833,0.937829364878403,0.2122669288294079,0.2122669288294079,0.4245338576588158,2.404909056,
-> Subtract Image Component [Tera/s],,,,,,,,,,,,,,,,8.425135563698844e-05,1.41253606463477e-05,0.0015694845162608554,0.03138969032521711,,,,2.0642643204598456e-05,5.407642586176435e-06,0.0016222927758529307,0.020069073550590892,,,,1.2452242894270646e-05,3.2620473212204957e-06,0.0008481323035173288,0.005743605760859595,,,,,,,,0.003210343871179152,0.0005382378080013818,0.1868881277782576,,,,0.0008992670993634882,0.0010991042325553745,0.3846864813943811,,,,4.565682179432607e-05,0.009765486883786407,,,,0.002178778405827941,0.0008218985755866716,0.28766450145533506,,,,0.002328569421228612,0.000390401823403669,0.13664063819128416,,,,0.002328569421228612,0.000390401823403669,0.13664063819128416,,,,0.0014947632839352667,0.0005638681798109715,0.19578756243436513,,,,0.0033632173888543493,0.0005638681798109715,0.19578756243436513,,,,0.009885295457154924,0.0016573426311340365,0.0016573426311340365,0.20716782889175459,27.153901668500055,,,,,0.006456785098354777,0.0010825276037479431,0.0010825276037479431,0.18042126729132382,23.6481763464084,,,,,0.0044045297556274355,0.0007384518718473066,0.0007384518718473066,0.18461296796182664,16.803882594925376,,,,,0.004042655245188562,0.00047068121070079706,0.0006777809434091478,0.11767030267519926,15.423281912243718,,,,,0.0024157965783412295,0.00040502609909699006,0.00040502609909699006,0.14063406218645488,18.433187798903017,,,,,0.002033438568699391,0.00023675066740856424,0.00023675066740856424,0.11837533370428212,15.515691739287666,
-> Source Find [Tera/s],,,,,,,,,,,,,,,,1.44e-08,,,,,,,1.44e-08,,,,,,,1.44e-08,,,,,,,,,,,1.44e-08,,,,,,1.44e-08,,,,,,1.44e-08,,,,,1.44e-08,,,,,,1.44e-08,,,,,,1.44e-08,,,,,,1.44e-08,,,,,,1.44e-08,,,,,,1.44e-08,,,,,,,,,1.44e-08,,,,,,,,,1.44e-08,,,,,,,,,1.44e-08,,,,,,,,,1.44e-08,,,,,,,,,1.44e-08,,,,,
-> DFT [Tera/s],,0.21862809599999997,0.05387322683683893,,,0.12896530556650743,0.030927493179981,,,0.21862809599999997,0.08822883357177629,,,0.009328852673587719,0.002897135008814301,0.08395967406228946,0.0190036095542599,0.0190036095542599,0.0631116368649468,,0.005660869939931269,0.001758028071410148,0.03396550198836589,0.011531727648510152,0.011531727648510152,0.039239760835176725,,0.0014732282027055314,0.00045752849165877556,0.008839494206665416,0.0030011646903590535,0.0030011646903590535,0.01049153052803567,,0.21862809599999997,0.05387322683683893,,,0.21862809599999997,0.05793577347000793,1.9676528639999997,0.49212560883271855,0.9842512176654371,,0.020800028317810887,0.006459592369865715,0.06933502667577279,0.042371405190750035,0.08474281038150007,,0.01804404259490059,0.005603742640177135,0.06014887956109883,0.03675764862067151,,0.21840721377218428,0.0625208156345685,1.5642440313229542,0.5310726658097715,1.062145331619543,,0.21840721377218428,0.0625208156345685,1.9656649239496582,0.5310726658097715,1.062145331619543,,0.21840721377218428,0.0625208156345685,1.9656649239496582,0.5310726658097715,1.062145331619543,,0.21862809599999997,0.06533836764475534,1.6347385730649457,0.5550056794196178,1.1100113588392355,,0.21862809599999997,0.06533836764475534,1.9676528639999997,0.5550056794196178,1.1100113588392355,,0.21862809599999997,0.10931404799999998,1.9676528639999997,1.202454528,1.202454528,2.404909056,2.404909056,,,0.21862809599999997,0.08822883357177629,1.9676528639999997,0.7494448720248871,0.7494448720248871,1.4988897440497742,2.404909056,,,0.21862809599999997,0.0624631458453926,1.9676528639999997,0.5305825996781343,0.5305825996781343,1.0611651993562685,2.404909056,,,0.2045867147713079,0.04906245593077033,1.8412804329417714,0.41675272716531114,0.41675272716531114,0.8335054543306223,2.404909056,,,0.16169882056077703,0.038777396671353534,1.4552893850469937,0.32938800714754085,0.32938800714754085,0.6587760142950817,2.404909056,,,0.104203262764267,0.024989247075267833,0.937829364878403,0.2122669288294079,0.2122669288294079,0.4245338576588158,2.404909056,
-> Visibility Weighting [Tera/s],,0.0065977686748911295,0.0002762251556849758,,,0.007633465694703676,0.0002762251556849758,,,0.005600912183146918,0.0002762251556849758,,,0.0019322943342471907,0.00017188278866256453,0.017390649008224717,0.0023290688727534503,0.0005946459127158766,0.0010836731527345965,,0.0012887517454405917,0.0001560955618374809,0.006252408265167049,0.0004682619851061554,0.0004682619851061554,0.0007920746481909623,,0.0009197587112661627,0.00013897228783895705,0.00466370283314692,0.0003221256931144004,0.0003221256931144004,0.0005377789901453224,,0.0065977686748911295,0.0002762251556849758,,,0.003898239569686646,0.0002762251556849758,0.03508415612717982,0.0032371369401929593,0.003180073353065985,,0.0014051212572980547,0.00016065416437580567,0.0008278156119601558,0.0005058873184200953,0.0010117746368401906,,0.0011070758837626962,0.0001460002909937485,0.0006604936475928818,0.00040363500686231666,,0.005569333172292015,0.0002876326475227586,0.025309051024110643,0.005153739169014525,0.01474057633817451,,0.005569333172292015,0.0002876326475227586,0.050123998550628136,0.005153739169014525,0.01474057633817451,,0.005569333172292015,0.0002876326475227586,0.050123998550628136,0.005153739169014525,0.01474057633817451,,0.003907498394935327,0.0002762251556849758,0.01913493320748761,0.0033363884521334423,0.003181940884980217,,0.003907498394935327,0.0002762251556849758,0.03516748555441795,0.0033363884521334423,0.003181940884980217,,0.009070525001995806,0.0002889808056515167,0.08163472501796225,0.007472925690668808,0.007472925690668808,0.014945851381337616,0.031222831956527416,,,0.005600912183146918,0.0002762251556849758,0.050408209648322266,0.0051029617094861075,0.0051029617094861075,0.014497435344167333,0.0233871405869293,,,0.003907498394935327,0.0002762251556849758,0.03516748555441795,0.0051029617094861075,0.0032371369401929593,0.006474273880385919,0.005546233688744275,,,0.003885805592639978,0.0002762251556849758,0.0349722503337598,0.0014077379779105002,0.003235847453871228,0.0028154759558210005,0.005474740524048569,,,0.004216757221466345,0.0002889808056515167,0.03795081499319711,0.003345040641293166,0.003345040641293166,0.0031919158080753744,0.005546233688744275,,,0.0032682194543360394,0.0002762251556849758,0.029413975089024356,0.0014077379779105002,0.0014077379779105002,0.0028154759558210005,0.005474740524048569,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-> Receive [Mvis/s],0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
-> Flag [Mvis/s],,4554.752,2244.717784868289,,,2686.7771993022384,1288.6455491658749,,,4554.752,3676.201398824012,,,194.35109736641078,120.71395870059587,194.35109736641078,71.98336952371174,71.98336952371174,239.05923054904088,,117.93479041523476,73.25116964208951,78.62384719529143,43.680786547386944,43.680786547386944,148.63545770900276,,30.692254223031906,19.06368715244898,20.46179214505883,11.368048069541869,11.368048069541869,39.740645939529045,,4554.752,2244.717784868289,,,4554.752,2413.9905612503303,4554.752,1864.1121546693882,1864.1121546693882,,433.3339232877268,269.14968207773813,160.49774693465923,160.49774693465923,160.49774693465923,,375.9175540604289,233.48927667404732,139.23351750254358,139.23351750254358,,4550.150286920505,2605.0339847736873,3620.9352576920232,2011.6388856430738,2011.6388856430738,,4550.150286920505,2605.0339847736873,4550.150286920505,2011.6388856430738,2011.6388856430738,,4550.150286920505,2605.0339847736873,4550.150286920505,2011.6388856430738,2011.6388856430738,,4554.752,2722.431985198139,3784.1170672799667,2102.294240225825,2102.294240225825,,4554.752,2722.431985198139,4554.752,2102.294240225825,2102.294240225825,,4554.752,4554.752,4554.752,4554.752,4554.752,4554.752,4554.752,4554.752,,4554.752,3676.201398824012,4554.752,2838.806333427602,2838.806333427602,2838.806333427602,4554.752,4554.752,,4554.752,2602.6310768913586,4554.752,2009.782574538387,2009.782574538387,2009.782574538387,4554.752,3662.5830539222648,,4262.223224402249,2044.2689971154305,4262.223224402249,1578.6088150201183,1578.6088150201183,1578.6088150201183,4554.752,2876.8213753880423,,3368.725428349522,1615.7248613063969,3368.725428349522,1247.6818452558368,1247.6818452558368,1247.6818452558368,4554.752,2273.74781478066,,2170.901307588895,1041.2186281361596,2170.9013075888956,804.0413970810904,804.0413970810904,804.0413970810904,4554.752,1465.2670552753202
-> Demix [Mvis/s],0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
-> Average [Mvis/s],0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553758.7166881594,,,,,,,,,1353159.5046849283,,,,,,,,,1384597.2597137,,,,,,,,,1270839.2688921518,,,,,,,,,1518847.871613713,,,,,,,,,1278453.604006247,,,
-> Degridding Kernel Update [Mvis/s],,0.5040802310485835,2.3906046283210007,,,0.45415989077723445,1.6922395911096828,,,0.48942009521414664,1.782880132293977,,,0.16654427873779734,0.7402979811127316,0.16654427986737128,0.12229017282523832,0.6365394625226622,1.7641198839510674,,0.14678233392617812,0.6611180997510547,0.11288185779218737,0.29118825494721867,0.3786032080157967,0.9237957004993265,,0.09657345513146486,0.5866683379942058,0.07945000708822894,0.16991394553792047,0.21667786786344387,0.39525586950515323,,0.5040802310485835,2.3906046283210007,,,0.4761733372528874,1.1932974566165269,0.4761733372528874,0.42079713470295166,1.744820324110384,,0.15742278893567344,0.6822479675826715,0.31822283216569064,0.29575870135711807,0.44903883649724285,,0.1145902481526045,0.6198512611183432,0.21954201823985067,0.29167474716347236,,0.44713313405652505,1.8502576107051765,0.41541824197178195,0.3215742166436838,0.3289742477444177,,0.44713313405652505,1.8502576107051765,0.44713313406440347,0.3215742166436838,0.3289742477444177,,0.44713313405652505,1.8502576107051765,0.44713313406440347,0.3215742166436838,0.3289742477444177,,0.5111439132608775,1.199771533300102,0.3685542042875137,0.4628770234973198,2.0094773114848112,,0.5111439132608775,1.199771533300102,0.5111439132608775,0.4628770234973198,2.0094773114848112,,0.32580227027177416,3.7922056733555913,0.3258022738567767,0.26755110565633555,0.28719069956323684,0.36685954243134644,0.6907466133918362,,,0.48942009521414664,1.782880132293977,0.4894200543945308,0.3446279508449156,0.3941745053057964,0.3168760112806274,0.5498259812849868,,,0.6705593413089439,1.229915999522395,0.6705593413089439,0.2661679330663169,0.5658629609228895,0.5658629608973689,5.232232507198074,,,0.5532621258942986,1.2080963844904204,0.5532621258942986,1.0651326866251856,0.4792500278895402,1.9557941485863397,3.800982116468329,,,0.545072234839238,1.2517996886243434,0.545072234839238,0.4522651546331856,0.45226515463656514,1.8990626188554278,3.100531646267126,,,0.6383429540853227,1.1805252117286682,0.6383429540853227,1.0405123854994915,1.0405123854997143,1.040512385403605,2.02261243653269,
