,hpso01 (Ingest) [Nf_max=16384] [Na=512],hpso01 (RCAL) [Nf_max=16384] [Na=512],hpso01 (FastImg) [Nf_max=16384] [Na=512],hpso01 (ICAL) [Nf_max=16384] [Na=512],hpso01 (DPrepA) [Nf_max=16384] [Na=512],hpso01 (DPrepB) [Nf_max=16384] [Na=512],hpso01 (DPrepC) [Nf_max=16384] [Na=512],hpso01 (DPrepD) [Nf_max=16384] [Na=512],hpso02a (Ingest) [Nf_max=16384] [Na=512],hpso02a (RCAL) [Nf_max=16384] [Na=512],hpso02a (FastImg) [Nf_max=16384] [Na=512],hpso02a (ICAL) [Nf_max=16384] [Na=512],hpso02a (DPrepA) [Nf_max=16384] [Na=512],hpso02a (DPrepB) [Nf_max=16384] [Na=512],hpso02a (DPrepC) [Nf_max=16384] [Na=512],hpso02a (DPrepD) [Nf_max=16384] [Na=512],hpso02b (Ingest) [Nf_max=16384] [Na=512],hpso02b (RCAL) [Nf_max=16384] [Na=512],hpso02b (FastImg) [Nf_max=16384] [Na=512],hpso02b (ICAL) [Nf_max=16384] [Na=512],hpso02b (DPrepA) [Nf_max=16384] [Na=512],hpso02b (DPrepB) [Nf_max=16384] [Na=512],hpso02b (DPrepC) [Nf_max=16384] [Na=512],hpso02b (DPrepD) [Nf_max=16384] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Nf_max=16384] [Na=512],hpso05a (RCAL) [Nf_max=16384] [Na=512],hpso05a (FastImg) [Nf_max=16384] [Na=512],hpso05a (PST) [Nf_max=16384] [Na=512],max_low (Ingest) [Nf_max=16384] [Na=512],max_low (RCAL) [Nf_max=16384] [Na=512],max_low (FastImg) [Nf_max=16384] [Na=512],max_low (ICAL) [Nf_max=16384] [Na=512],max_low (DPrepA) [Nf_max=16384] [Na=512],max_low (DPrepA_Image) [Nf_max=16384] [Na=512],max_low (DPrepB) [Nf_max=16384] [Na=512],max_low (DPrepC) [Nf_max=16384] [Na=512],max_low (DPrepD) [Nf_max=16384] [Na=512]
Calibration output [GB],0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,0.3145728,0.0,(undefined),0.0,0.3145728,0.0,(undefined),0.0,2.8311552,0.0,19.9163904,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,167.44448,0.0,(undefined),0.0,167.44448,0.0,(undefined),0.0,71.76192,0.0,31037.0304,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.43690666666666667,0.0,(undefined),0.0,0.43690666666666667,0.0,(undefined),0.0,0.1872457142857143,0.0,80.98377142857143,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.006378222677231412,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.0028347656343250716,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.0028347656343250716,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.008942527807946498,0.0012266841986209188,0.0012266841986209188,0.08762029990149418,11.484567948688646,(undefined)
Working (cache) memory [TeraBytes],(undefined),7.643368880364749e-05,6.765054126249432e-05,7.643368880513284e-05,5.259670000505676e-06,1.6004106559174578e-05,1.3803475927725037e-05,(undefined),(undefined),7.643368880364749e-05,6.765054126249432e-05,2.622411507365721e-05,5.259670000505676e-06,1.6004106559174578e-05,1.3803475927725037e-05,(undefined),(undefined),7.643368880364749e-05,6.765054126249432e-05,2.622411507365721e-05,5.259670000505676e-06,1.6004106559174578e-05,1.3803475927725037e-05,(undefined),(undefined),1.4707060156640669e-05,4.750752453627992e-06,(undefined),(undefined),1.4707060156640669e-05,4.750752453627992e-06,(undefined),(undefined),3.9918675589598e-05,3.784865217697729e-05,3.991867558899467e-05,2.5190893016440663e-06,3.0554099059017e-06,7.760922121028132e-06,0.00012013962918773248,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],4.13122166784,4.13122166784,2.06561083392,4.13122166784,2.06561083392,4.13122166784,4.13122166784,4.13122166784,4.13122166784,4.13122166784,2.06561083392,4.13122166784,2.06561083392,4.13122166784,4.13122166784,4.13122166784,4.13122166784,4.13122166784,2.06561083392,4.13122166784,2.06561083392,4.13122166784,4.13122166784,4.13122166784,0.275414777856,0.275414777856,0.137707388928,0.002102152,0.275414777856,0.275414777856,0.137707388928,0.00077309411328,2.478733000704,2.478733000704,1.239366500352,2.478733000704,1.239366500352,1.239366500352,2.478733000704,2.478733000704,2.478733000704
Total buffer ingest rate [TeraBytes/s],0.22951231488,0.22951231488,0.11475615744,0.22951231488,0.11475615744,0.22951231488,0.22951231488,0.22951231488,0.22951231488,0.22951231488,0.11475615744,0.22951231488,0.11475615744,0.22951231488,0.22951231488,0.22951231488,0.22951231488,0.22951231488,0.11475615744,0.22951231488,0.11475615744,0.22951231488,0.22951231488,0.22951231488,0.11475615744,0.11475615744,0.05737807872,(undefined),0.11475615744,0.11475615744,0.05737807872,(undefined),0.11475615744,0.11475615744,0.05737807872,0.11475615744,0.05737807872,0.05737807872,0.11475615744,0.11475615744,0.11475615744
Output size [TB],0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,51.438944256,0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,51.438944256,0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,51.438944256,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.06658064388822461,0.06658064388822461,2.3778801388651645,311.6735055613349,246.9069324288
Buffer Read Rate [TeraBytes/s],0.22861753002666668,0.45723506005333336,0.22861753002666668,2.286175300266667,0.8174460857975916,1.6348921715951832,2.74341036032,2.74341036032,0.22861753002666668,0.45723506005333336,0.22861753002666668,2.286175300266667,0.8174460857975916,1.6348921715951832,2.74341036032,2.74341036032,0.22861753002666668,0.45723506005333336,0.22861753002666668,2.286175300266667,0.8174460857975916,1.6348921715951832,2.74341036032,2.74341036032,0.11430876501333334,0.22540124415279528,0.08113069289089292,0.0008758966666666667,0.11430876501333334,0.22540124415279528,0.08113069289089292,0.0003221225472,0.11430876501333334,0.22861753002666668,0.11430876501333334,1.1430876501333336,0.5739242624478184,0.5739242624478184,1.1478485248956367,1.37170518016,1.37170518016
Facet visibility rate [TeraBytes/s],0.0,0.05727707689469078,0.029175357507970606,0.5154936920522171,0.05113142918147895,0.1022628583629579,0.3603986170901521,(undefined),0.0,0.05727707689469078,0.029175357507970606,0.2821009635779559,0.05113142918147895,0.1022628583629579,0.3603986170901521,(undefined),0.0,0.05727707689469078,0.029175357507970606,0.2821009635779559,0.05113142918147895,0.1022628583629579,0.3603986170901521,(undefined),0.0,0.020645945798725196,0.00934141333446367,(undefined),0.0,0.020645945798725196,0.00934141333446367,(undefined),0.0,0.03410445628565239,0.018806643003631298,0.30694010657087145,0.035899085371312624,0.035899085371312624,0.07179817074262525,0.32755888097369157,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.010466826957507957,0.155064103074192,0.09420144261757163,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.010466826957507957,0.155064103074192,0.04186730783003182,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.010466826957507957,0.155064103074192,0.04186730783003182,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.005287847344207346,0.07833847917344214,(undefined),0.0,0.005287847344207346,0.07833847917344214,(undefined),0.0,0.0052410419387232225,0.0776450657588625,0.04716937744850901,0.019770734336747406,0.003954146867349482,0.09885367168373703,12.956948454930782,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.3162748794925511,0.5340131336162592,0.3302983281434025,4.897271665226299,2.3541660129512665,2.503983537367972,4.518974606349488,0.25965235972778666,0.3162748794925511,0.5340131336162592,0.3302983281434025,3.780659778676527,2.3541660129512665,2.503983537367972,4.518974606349488,0.25965235972778666,0.3162748794925511,0.5340131336162592,0.3302983281434025,3.780659778676527,2.3541660129512665,2.503983537367972,4.518974606349488,0.25965235972778666,0.15813743974627556,0.21673228746570905,0.11622783250666727,0.00050088,0.15813743974627556,0.21673228746570905,0.11622783250666727,2.755e-07,0.15813743974627556,0.2755998438592485,0.16655881335508707,2.5260265050617248,1.6392573785492965,1.5562374979511375,1.7274552520875062,5.405577868553559,0.12982617986389333
-> Receive [PetaFLOP/s],7.654961607111112e-05,,,,,,,,7.654961607111112e-05,,,,,,,,7.654961607111112e-05,,,,,,,,3.827480803555556e-05,,,,3.827480803555556e-05,,,,3.827480803555556e-05,,,,,,,,
-> Flag [PetaFLOP/s],0.00531703529472,0.00531535757312,0.00265767878656,0.04783821815808,0.01742181970356117,0.03484363940712234,0.05846893330432,0.05846893330432,0.00531703529472,0.00531535757312,0.00265767878656,0.04783821815808,0.01742181970356117,0.03484363940712234,0.05846893330432,0.05846893330432,0.00531703529472,0.00531535757312,0.00265767878656,0.04783821815808,0.01742181970356117,0.03484363940712234,0.05846893330432,0.05846893330432,0.00265851764736,0.002620289463276245,0.0009431443048566302,,0.00265851764736,0.002620289463276245,0.0009431443048566302,,0.00265851764736,0.00265767878656,0.00132883939328,0.02391910907904,0.012231760843419131,0.012231760843419131,0.024463521686838262,0.02923446665216,0.02923446665216
-> Demix [PetaFLOP/s],0.31072828637184,,,,,,,,0.31072828637184,,,,,,,,0.31072828637184,,,,,,,,0.15536414318592,,,,0.15536414318592,,,,0.15536414318592,,,,,,,,
-> Average [PetaFLOP/s],0.00015300820991999997,,,,,,,,0.00015300820991999997,,,,,,,,0.00015300820991999997,,,,,,,,7.650410495999999e-05,,,,7.650410495999999e-05,,,,7.650410495999999e-05,,,,,,,,
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.237805973644753e-07,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.021945812171757943,0.002861201293256151,0.19751230954797327,0.02504667562632663,0.06382334053649799,0.15688673399767883,,,0.021945812171757943,0.002861201293256151,0.09867619303515898,0.02504667562632663,0.06382334053649799,0.15688673399767883,,,0.021945812171757943,0.002861201293256151,0.09867619303515898,0.02504667562632663,0.06382334053649799,0.15688673399767883,,,0.005318788025640711,0.0006997971821466485,,,0.005318788025640711,0.0006997971821466485,,,0.013162050279412734,0.0019124476800384503,0.1184584525137987,0.016642669279394146,0.01708899793959374,0.040731187920725956,0.5662741135269569,
-> FFT [PetaFLOP/s],,0.016621937070459676,0.0017877459979037914,0.14959743363285258,0.02552766676021069,0.0779801412630046,0.24977052879505457,,,0.016621937070459676,0.0017877459979037914,0.04564209680420805,0.02552766676021069,0.0779801412630046,0.24977052879505457,,,0.016621937070459676,0.0017877459979037914,0.04564209680420805,0.02552766676021069,0.0779801412630046,0.24977052879505457,,,0.003914891775543595,0.0006577268667749706,,,0.003914891775543595,0.0006577268667749706,,,0.008668205709728294,0.0009043866362393786,0.07801385138807586,0.013837757334391593,0.0025407016380308025,0.042032605571282425,1.640866468099012,
-> IFFT [PetaFLOP/s],,0.08310968535229839,0.0017877459979037914,0.7479871681642628,0.02552766676021069,0.031192056505201845,0.03330273717267394,,,0.08310968535229839,0.0017877459979037914,0.22821048402104027,0.02552766676021069,0.031192056505201845,0.03330273717267394,,,0.08310968535229839,0.0017877459979037914,0.22821048402104027,0.02552766676021069,0.031192056505201845,0.03330273717267394,,,0.019574458877717974,0.0006577268667749706,,,0.019574458877717974,0.0006577268667749706,,,0.04334102854864147,0.0009043866362393786,0.3900692569403793,0.013837757334391593,0.012703508190154015,0.016813042228512973,0.005007527063290443,
-> Solve [PetaFLOP/s],,0.0007660849652622222,,0.09762736555804445,,,,,,0.0007660849652622222,,0.09762736555804445,,,,,,0.0007660849652622222,,0.09762736555804445,,,,,,0.00037768200617465883,,,,0.00037768200617465883,,,,0.0003830424826311112,,0.04882978890638223,,,,,
-> Degrid [PetaFLOP/s],,0.0269559439773073,0.002199225975162588,0.24260349579746618,0.06615325754321748,0.031270291820095455,0.10716521653153194,,,0.0269559439773073,0.002199225975162588,0.09613688041793374,0.06615325754321748,0.031270291820095455,0.10716521653153194,,,0.0269559439773073,0.002199225975162588,0.09613688041793374,0.06615325754321748,0.031270291820095455,0.10716521653153194,,,0.008369253050829849,0.0005799704002475925,,,0.008369253050829849,0.0005799704002475925,,,0.014509967818334017,0.001309264315743268,0.13058971036435837,0.044730274576476846,0.009109724059562747,0.020555393665019173,0.21021221694495182,
-> Reprojection [PetaFLOP/s],,6.541766848442473e-05,,0.0005887590163598227,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,6.541766848442473e-05,,0.0002616706739376989,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,6.541766848442473e-05,,0.0002616706739376989,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,3.3049045901295915e-05,,,,3.3049045901295915e-05,,,,3.2756512117020146e-05,,0.0002948086090531813,0.0001235670896046713,3.089177240116782e-06,0.0006178354480233564,0.08098092784331737,
-> Identify Component [PetaFLOP/s],,,,8.515362628408296e-05,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,,,8.447219223737021e-05,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,,,8.447219223737021e-05,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,,,,,,,,,,,4.967399161922648e-05,6.103822138041579e-06,6.103822138041579e-06,0.00043598729557439844,0.05714572680552755,
-> Reprojection Predict [PetaFLOP/s],,0.00032708834242212365,,0.002943795081799113,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.00032708834242212365,,0.0013083533696884946,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.00032708834242212365,,0.0013083533696884946,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.00016524522950647958,,,,0.00016524522950647958,,,,0.0001637825605851007,,0.0014740430452659064,0.0001235670896046713,3.089177240116782e-06,0.0002471341792093426,0.0002471341792093426,
-> Gridding Kernel Update [PetaFLOP/s],,0.021945812171757943,0.002861201293256151,0.19751230954797327,0.02504667562632663,0.06382334053649799,0.15688673399767883,,,0.021945812171757943,0.002861201293256151,0.09867619303515898,0.02504667562632663,0.06382334053649799,0.15688673399767883,,,0.021945812171757943,0.002861201293256151,0.09867619303515898,0.02504667562632663,0.06382334053649799,0.15688673399767883,,,0.005318788025640711,0.0006997971821466485,,,0.005318788025640711,0.0006997971821466485,,,0.013162050279412734,0.0019124476800384503,0.1184584525137987,0.016642669279394146,0.01708899793959374,0.040731187920725956,0.5662741135269569,
-> Phase Rotation Predict [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Correct [PetaFLOP/s],,0.018289402402133337,0.002286175300266667,0.16460462161920003,0.059946046291823374,0.11989209258364675,0.20118342642346668,0.20118342642346668,,0.018289402402133337,0.002286175300266667,0.16460462161920003,0.059946046291823374,0.11989209258364675,0.20118342642346668,0.20118342642346668,,0.018289402402133337,0.002286175300266667,0.16460462161920003,0.059946046291823374,0.11989209258364675,0.20118342642346668,0.20118342642346668,,0.009016049766111813,0.0008113069289089292,,,0.009016049766111813,0.0008113069289089292,,,0.009144701201066668,0.0011430876501333335,0.08230231080960002,0.04208777924617335,0.04208777924617335,0.0841755584923467,0.10059171321173334,0.10059171321173334
-> Grid [PetaFLOP/s],,0.0269559439773073,0.002199225975162588,0.24260349579746618,0.06615325754321748,0.031270291820095455,0.10716521653153194,,,0.0269559439773073,0.002199225975162588,0.09613688041793374,0.06615325754321748,0.031270291820095455,0.10716521653153194,,,0.0269559439773073,0.002199225975162588,0.09613688041793374,0.06615325754321748,0.031270291820095455,0.10716521653153194,,,0.008369253050829849,0.0005799704002475925,,,0.008369253050829849,0.0005799704002475925,,,0.014509967818334017,0.001309264315743268,0.13058971036435837,0.044730274576476846,0.009109724059562747,0.020555393665019173,0.21021221694495182,
-> Phase Rotation [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Subtract Visibility [PetaFLOP/s],,3.810292167111112e-05,1.905146083555556e-05,0.00034292629504,0.0001248875964412987,0.0002497751928825974,0.00041913213838222225,,,3.810292167111112e-05,1.905146083555556e-05,0.00034292629504,0.0001248875964412987,0.0002497751928825974,0.00041913213838222225,,,3.810292167111112e-05,1.905146083555556e-05,0.00034292629504,0.0001248875964412987,0.0002497751928825974,0.00041913213838222225,,,1.878343701273294e-05,6.760891074241076e-06,,,1.878343701273294e-05,6.760891074241076e-06,,,1.905146083555556e-05,9.52573041777778e-06,0.00017146314752,8.768287342952779e-05,8.768287342952779e-05,0.00017536574685905558,0.00020956606919111113,
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,,,,,,,,,0.00019582977166666667,1.1967374935185184e-05,1.1967374935185184e-05,0.0017096249907407406,0.22408396678637038,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,,,3e-12,,,,,,,,3e-12,,,,,,,,,,,,,,,,2.5e-12,,,,,
-> DFT [PetaFLOP/s],,0.31160017558641784,0.31160017558641784,2.8044015802777604,2.0426253564266146,2.0426253564266146,3.4276019314505963,,,0.31160017558641784,0.31160017558641784,2.8044015802777604,2.0426253564266146,2.0426253564266146,3.4276019314505963,,,0.31160017558641784,0.31160017558641784,2.8044015802777604,2.0426253564266146,2.0426253564266146,3.4276019314505963,,,0.15360822778379152,0.11057917626570976,,,0.15360822778379152,0.11057917626570976,,,0.15580008779320892,0.15580008779320892,1.4022007901388802,1.434115682382305,1.434115682382305,1.434115682382305,1.7138009657252982,
-> Visibility Weighting [PetaFLOP/s],,7.636943585958771e-05,3.890047667729414e-05,0.0006873249227362893,6.817523890863862e-05,0.00013635047781727723,0.00048053148945353626,,,7.636943585958771e-05,3.890047667729414e-05,0.0003761346181039411,6.817523890863862e-05,0.00013635047781727723,0.00048053148945353626,,,7.636943585958771e-05,3.890047667729414e-05,0.0003761346181039411,6.817523890863862e-05,0.00013635047781727723,0.00048053148945353626,,,2.7527927731633594e-05,1.2455217779284894e-05,,,2.7527927731633594e-05,1.2455217779284894e-05,,,4.547260838086985e-05,2.507552400484173e-05,0.00040925347542782866,4.786544716175017e-05,4.786544716175017e-05,9.573089432350034e-05,0.00043674517463158886,
-> Receive [Tera/s],0.22951231488,,,,,,,,0.22951231488,,,,,,,,0.22951231488,,,,,,,,0.11475615744,,,,0.11475615744,,,,0.11475615744,,,,,,,,
-> Flag [Tera/s],0.22951231488,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,2.514792830293333,0.22951231488,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,2.514792830293333,0.22951231488,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,2.514792830293333,0.11475615744,0.11270062207639762,0.04056534644544646,,0.11475615744,0.11270062207639762,0.04056534644544646,,0.11475615744,0.11430876501333334,0.05715438250666667,1.02877888512,0.5260972405771669,0.5260972405771669,1.0521944811543338,1.2573964151466666,1.2573964151466666
-> Demix [Tera/s],0.22951231488,,,,,,,,0.22951231488,,,,,,,,0.22951231488,,,,,,,,0.11475615744,,,,0.11475615744,,,,0.11475615744,,,,,,,,
-> Average [Tera/s],0.2286175300266667,,,,,,,,0.2286175300266667,,,,,,,,0.2286175300266667,,,,,,,,0.11430876501333335,,,,0.11430876501333335,,,,0.11430876501333335,,,,,,,,
-> Image Spectral Fitting [Tera/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3729676622741255e-05,,,
-> Degridding Kernel Update [Tera/s],,110.76238870876419,7.9826748115797255,996.8614984017255,31.111182609324114,205.7608391898719,339.6427137469475,,,110.76238870876419,7.9826748115797255,291.1700655524238,31.111182609324114,205.7608391898719,339.6427137469475,,,110.76238870876419,7.9826748115797255,291.1700655524238,31.111182609324114,205.7608391898719,339.6427137469475,,,20.15282546078802,0.4379587948153994,,,20.15282546078802,0.4379587948153994,,,55.15309149513168,4.347006675631759,496.37782344745415,14.662096555598842,17.94507957319774,96.81176328825684,3849.245403890991,
-> FFT [Tera/s],,0.010466826957507957,0.155064103074192,0.09420144261757162,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957,0.155064103074192,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957,0.155064103074192,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.005287847344207346,0.07833847917344214,,,0.005287847344207346,0.07833847917344214,,,0.0052410419387232225,0.0776450657588625,0.04716937744850901,0.019770734336747406,0.003954146867349481,0.09885367168373703,12.95694845493078,
-> IFFT [Tera/s],,0.05233624804241522,0.1550922798058644,0.4710262323817371,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.05233624804241522,0.1550922798058644,0.20934921867941175,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.05233624804241522,0.1550922798058644,0.20934921867941175,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.02644029882936458,0.07835264061781354,,,0.02644029882936458,0.07835264061781354,,,0.026206267090867347,0.07765916438887902,0.23585640381780612,0.019772888294111043,0.019772888294111043,0.03954577658822209,0.03954577658822209,
-> Solve [Tera/s],,2.62144e-07,,5.461333333333334e-06,,,,,,2.62144e-07,,5.461333333333334e-06,,,,,,2.62144e-07,,5.461333333333334e-06,,,,,,1.31072e-07,,,,1.31072e-07,,,,1.31072e-07,,3.779242666666667e-06,,,,,
-> Degrid [Tera/s],,0.05727707689469078,0.029175357507970606,0.5154936920522171,0.2556571459073948,0.10226285836295793,0.36039861709015214,,,0.05727707689469078,0.029175357507970606,0.2821009635779559,0.2556571459073948,0.10226285836295793,0.36039861709015214,,,0.05727707689469078,0.029175357507970606,0.2821009635779559,0.2556571459073948,0.10226285836295793,0.36039861709015214,,,0.020645945798725196,0.00934141333446367,,,0.020645945798725196,0.00934141333446367,,,0.03410445628565239,0.018806643003631298,0.30694010657087145,0.1794954268565631,0.035899085371312624,0.07179817074262525,0.3275588809736916,
-> Reprojection [Tera/s],,0.010466826957507957,,0.09420144261757162,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957,,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957,,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.005287847344207346,,,,0.005287847344207346,,,,0.0052410419387232225,,0.04716937744850901,0.019770734336747406,0.0004942683584186851,0.09885367168373703,12.95694845493078,
-> Identify Component [Tera/s],,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,,,,,,,,,4.666666666666667e-10,5.703703703703703e-11,5.703703703703703e-11,4.074074074074074e-09,5.33997037037037e-07,
-> Reprojection Predict [Tera/s],,0.05233413478753979,,0.4710072130878581,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.05233413478753979,,0.20933653915015912,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.05233413478753979,,0.20933653915015912,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.026439236721036728,,,,0.026439236721036728,,,,0.026205209693616116,,0.23584688724254504,0.019770734336747406,0.0004942683584186851,0.03954146867349481,0.03954146867349481,
-> Gridding Kernel Update [Tera/s],,110.76238870876419,7.9826748115797255,996.8614984017255,31.111182609324114,205.7608391898719,339.6427137469475,,,110.76238870876419,7.9826748115797255,291.1700655524238,31.111182609324114,205.7608391898719,339.6427137469475,,,110.76238870876419,7.9826748115797255,291.1700655524238,31.111182609324114,205.7608391898719,339.6427137469475,,,20.15282546078802,0.4379587948153994,,,20.15282546078802,0.4379587948153994,,,55.15309149513168,4.347006675631759,496.37782344745415,14.662096555598842,17.94507957319774,96.81176328825684,3849.245403890991,
-> Phase Rotation Predict [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Correct [Tera/s],,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,2.514792830293333,,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,2.514792830293333,,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,2.514792830293333,,0.11270062207639762,0.04056534644544646,,,0.11270062207639762,0.04056534644544646,,,0.11430876501333334,0.05715438250666667,1.02877888512,0.5260972405771669,0.5260972405771669,1.0521944811543338,1.2573964151466666,1.2573964151466666
-> Grid [Tera/s],,10.754995026005947,132.51399404614432,96.79495523405352,18.677393784802003,7.470957513920801,13.619533161731725,,,10.754995026005947,132.51399404614432,34.39816233358002,18.677393784802003,7.470957513920801,13.619533161731725,,,10.754995026005947,132.51399404614432,34.39816233358002,18.677393784802003,7.470957513920801,13.619533161731725,,,4.137736175189061,44.13528695640362,,,4.137736175189061,44.13528695640362,,,6.415941644671694,80.31601010526248,57.74347480204525,13.132405236529674,2.626481047305935,5.25296209461187,16.197950090535766,
-> Phase Rotation [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
