,hpso01 (Ingest) [Na=256],hpso01 (RCAL) [Na=256],hpso01 (FastImg) [Na=256],hpso01 (ICAL) [Na=256],hpso01 (DPrepA) [Na=256],hpso01 (DPrepB) [Na=256],hpso01 (DPrepC) [Na=256],hpso01 (DPrepD) [Na=256],hpso02a (Ingest) [Na=256],hpso02a (RCAL) [Na=256],hpso02a (FastImg) [Na=256],hpso02a (ICAL) [Na=256],hpso02a (DPrepA) [Na=256],hpso02a (DPrepB) [Na=256],hpso02a (DPrepC) [Na=256],hpso02a (DPrepD) [Na=256],hpso02b (Ingest) [Na=256],hpso02b (RCAL) [Na=256],hpso02b (FastImg) [Na=256],hpso02b (ICAL) [Na=256],hpso02b (DPrepA) [Na=256],hpso02b (DPrepB) [Na=256],hpso02b (DPrepC) [Na=256],hpso02b (DPrepD) [Na=256],hpso04a (Ingest) [Nf_max=8192] [Na=256],hpso04a (RCAL) [Nf_max=8192] [Na=256],hpso04a (FastImg) [Nf_max=8192] [Na=256],hpso04a (PSS) [Nf_max=8192] [Na=256],hpso05a (Ingest) [Nf_max=8192] [Na=256],hpso05a (RCAL) [Nf_max=8192] [Na=256],hpso05a (FastImg) [Nf_max=8192] [Na=256],hpso05a (PST) [Nf_max=8192] [Na=256],max_low (Ingest) [Nf_max=8192] [Na=256],max_low (RCAL) [Nf_max=8192] [Na=256],max_low (FastImg) [Nf_max=8192] [Na=256],max_low (ICAL) [Nf_max=8192] [Na=256],max_low (DPrepA) [Nf_max=8192] [Na=256],max_low (DPrepA_Image) [Nf_max=8192] [Na=256],max_low (DPrepB) [Nf_max=8192] [Na=256],max_low (DPrepC) [Nf_max=8192] [Na=256],max_low (DPrepD) [Nf_max=8192] [Na=256]
Frequencies predict kernels2,,209.81120374682257,369.3268941633874,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,369.3268941633874,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,369.3268941633874,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,125.6391752327212,223.45734073105942,,,125.6391752327212,223.45734073105942,,,298.5084596808341,517.5643890331957,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,1348.0682194125486,
Frequencies predict kernels3,,209.81120374682257,402.0118333134956,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,402.0118333134956,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,402.0118333134956,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,125.6391752327212,228.37652250683485,,,125.6391752327212,228.37652250683485,,,298.5084596808341,557.966411514353,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,1348.0682194125486,
Frequencies predict kernels4,,209.81120374682257,604.4805572646674,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,604.4805572646674,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,604.4805572646674,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,125.6391752327212,264.6765075421671,,,125.6391752327212,264.6765075421671,,,298.5084596808341,813.887740486165,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,1348.0682194125486,
Frequencies predict de-grid0,8192.0,396.0980287317132,1186.6956875807953,396.0980287317132,610.88622741501,610.88622741501,1500.0,(undefined),8192.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),8192.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),8192.0,242.71959454507825,727.1815092638062,(undefined),8192.0,242.71959454507825,727.1815092638062,(undefined),8192.0,695.0020427868894,1666.3443177517802,695.0020427868894,857.7991819532908,857.7991819532908,857.7991819532908,8192.0,8192.0
Frequencies predict de-grid1,8192.0,791.5035165883376,2372.6984303939844,791.5035165883376,1221.0797008176821,1221.0797008176821,2372.6984303939844,,8192.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,8192.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,8192.0,485.0159097761033,1453.9394929925988,,8192.0,485.0159097761033,1453.9394929925988,,8192.0,1389.0318113753438,3331.7159644487933,1389.0318113753438,1714.625960512763,1714.625960512763,1714.625960512763,8192.0,8192.0
Frequencies predict de-grid2,8192.0,1582.3141894581538,4744.703814848597,1582.3141894581538,2441.466451169051,2441.466451169051,4744.703814848597,,8192.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,8192.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,8192.0,969.6083556181683,2907.4553987723175,,8192.0,969.6083556181683,2907.4553987723175,,8192.0,2777.0910083918284,6662.459115881312,2777.0910083918284,3428.279241973887,3428.279241973887,3428.279241973887,8192.0,8192.0
Frequencies predict de-grid3,8192.0,3163.935383545188,8192.0,3163.935383545188,4882.239853545328,4882.239853545328,8192.0,,8192.0,3163.935383545188,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,,8192.0,3163.935383545188,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,,8192.0,1938.7931548514175,5814.487179478897,,8192.0,1938.7931548514175,5814.487179478897,,8192.0,5553.209232136797,8192.0,5553.209232136797,6855.585666930379,6855.585666930379,6855.585666930379,8192.0,8192.0
Frequencies predict de-grid4,8192.0,6327.177695833534,8192.0,6327.177695833534,8192.0,8192.0,8192.0,,8192.0,6327.177695833534,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,6327.177695833534,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,3877.1627070570735,8192.0,,8192.0,3877.1627070570735,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,(undefined),8192.0,8192.0,8192.0,(undefined),8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total1,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total2,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total3,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total4,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies backward kernels0,(undefined),209.81120374682257,364.52288461678205,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,(undefined),(undefined),209.81120374682257,364.52288461678205,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,(undefined),(undefined),209.81120374682257,364.52288461678205,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),298.5084596808341,511.6591552951528,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,841.0439984309672,(undefined)
Frequencies backward kernels1,,209.81120374682257,365.0584953999703,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,365.0584953999703,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,365.0584953999703,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,125.6391752327212,222.83688638800666,,,125.6391752327212,222.83688638800666,,,298.5084596808341,512.317136997464,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,1237.7927625562772,
Frequencies backward kernels2,,209.81120374682257,369.3268941633874,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,369.3268941633874,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,369.3268941633874,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,125.6391752327212,223.45734073105942,,,125.6391752327212,223.45734073105942,,,298.5084596808341,517.5643890331957,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,1348.0682194125486,
Frequencies backward kernels3,,209.81120374682257,402.0118333134956,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,402.0118333134956,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,402.0118333134956,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,125.6391752327212,228.37652250683485,,,125.6391752327212,228.37652250683485,,,298.5084596808341,557.966411514353,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,1348.0682194125486,
Frequencies backward kernels4,,209.81120374682257,604.4805572646674,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,604.4805572646674,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,604.4805572646674,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,125.6391752327212,264.6765075421671,,,125.6391752327212,264.6765075421671,,,298.5084596808341,813.887740486165,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,1348.0682194125486,
Frequencies backward grid0,8192.0,396.0980287317132,1186.6956875807953,396.0980287317132,610.88622741501,610.88622741501,1500.0,(undefined),8192.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),8192.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),8192.0,242.71959454507825,727.1815092638062,(undefined),8192.0,242.71959454507825,727.1815092638062,(undefined),8192.0,695.0020427868894,1666.3443177517802,695.0020427868894,857.7991819532908,857.7991819532908,857.7991819532908,8192.0,8192.0
Frequencies backward grid1,8192.0,791.5035165883376,2372.6984303939844,791.5035165883376,1221.0797008176821,1221.0797008176821,2372.6984303939844,,8192.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,8192.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,8192.0,485.0159097761033,1453.9394929925988,,8192.0,485.0159097761033,1453.9394929925988,,8192.0,1389.0318113753438,3331.7159644487933,1389.0318113753438,1714.625960512763,1714.625960512763,1714.625960512763,8192.0,8192.0
Frequencies backward grid2,8192.0,1582.3141894581538,4744.703814848597,1582.3141894581538,2441.466451169051,2441.466451169051,4744.703814848597,,8192.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,8192.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,8192.0,969.6083556181683,2907.4553987723175,,8192.0,969.6083556181683,2907.4553987723175,,8192.0,2777.0910083918284,6662.459115881312,2777.0910083918284,3428.279241973887,3428.279241973887,3428.279241973887,8192.0,8192.0
Frequencies backward grid3,8192.0,3163.935383545188,8192.0,3163.935383545188,4882.239853545328,4882.239853545328,8192.0,,8192.0,3163.935383545188,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,,8192.0,3163.935383545188,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,,8192.0,1938.7931548514175,5814.487179478897,,8192.0,1938.7931548514175,5814.487179478897,,8192.0,5553.209232136797,8192.0,5553.209232136797,6855.585666930379,6855.585666930379,6855.585666930379,8192.0,8192.0
Frequencies backward grid4,8192.0,6327.177695833534,8192.0,6327.177695833534,8192.0,8192.0,8192.0,,8192.0,6327.177695833534,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,6327.177695833534,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,3877.1627070570735,8192.0,,8192.0,3877.1627070570735,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies backward fft,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,(undefined),299.4267022222222,299.4267022222222,299.4267022222222,(undefined),299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222,299.4267022222222
Averaged rate0 [M/s],137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,(undefined),137.55764861042687,137.55764861042687,137.55764861042687,(undefined),137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687,137.55764861042687
Averaged rate1 [M/s],38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,,38.82382439131818,38.82382439131818,38.82382439131818,,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818,38.82382439131818
Averaged rate2 [M/s],43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,,43.92158110591659,43.92158110591659,43.92158110591659,,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659,43.92158110591659
Averaged rate3 [M/s],55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,,55.22342581458261,55.22342581458261,55.22342581458261,,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261,55.22342581458261
Averaged rate4 [M/s],21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,,21.570053411089063,21.570053411089063,21.570053411089063,,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063,21.570053411089063
Predict rate0 [M/s],(undefined),0.598604517900437,17.933979682589495,0.598604517900437,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.598604517900437,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.598604517900437,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.3668108279732354,10.989555746408628,(undefined),(undefined),0.3668108279732354,10.989555746408628,(undefined),(undefined),1.0503242444663943,25.182686219818457,1.0503242444663943,1.2963519849181904,1.2963519849181904,1.2963519849181904,12.380188374938419,(undefined)
Predict rate1 [M/s],,0.33760100317166475,10.120300839313368,0.33760100317166475,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.33760100317166475,10.120300839313368,1.1571051541695871,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.33760100317166475,10.120300839313368,1.1571051541695871,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.2068744538248117,6.201506640184591,,,0.2068744538248117,6.201506640184591,,,0.5924655078968732,14.210810543574235,0.5924655078968732,0.7313415950801818,0.7313415950801818,0.7313415950801818,4.852978048914773,
Predict rate2 [M/s],,0.7635249866527841,22.894946787680915,0.7635249866527841,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.7635249866527841,22.894946787680915,5.889745130717459,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.7635249866527841,22.894946787680915,5.889745130717459,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.46787181187783217,14.029545202406258,,,0.46787181187783217,14.029545202406258,,,1.488943212446208,32.14882380135876,1.488943212446208,2.297598949891454,2.297598949891454,2.297598949891454,10.980395276479147,
Predict rate3 [M/s],,3.554755674954033,49.70108323312435,3.554755674954033,8.227966624794284,8.227966624794284,27.611712907291306,,,3.554755674954033,49.70108323312435,27.611712907291306,8.227966624794284,8.227966624794284,27.611712907291306,,,3.554755674954033,49.70108323312435,27.611712907291306,8.227966624794284,8.227966624794284,27.611712907291306,,,2.1782796215160687,35.27664932436708,,,2.1782796215160687,35.27664932436708,,,7.486993116791056,49.70108323312435,7.486993116791056,11.553617141517508,11.553617141517508,11.553617141517508,27.611712907291306,
Predict rate4 [M/s],,5.553286167015819,21.570053411089063,5.553286167015819,10.785026705544531,10.785026705544531,21.570053411089063,,,5.553286167015819,21.570053411089063,21.570053411089063,10.785026705544531,10.785026705544531,21.570053411089063,,,5.553286167015819,21.570053411089063,21.570053411089063,10.785026705544531,10.785026705544531,21.570053411089063,,,3.4029380971152237,21.570053411089063,,,3.4029380971152237,21.570053411089063,,,10.785026705544531,21.570053411089063,10.785026705544531,10.785026705544531,10.785026705544531,10.785026705544531,21.570053411089063,
Backward rate0 [M/s],(undefined),0.598604517900437,17.933979682589495,0.598604517900437,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.598604517900437,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.598604517900437,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.3668108279732354,10.989555746408628,(undefined),(undefined),0.3668108279732354,10.989555746408628,(undefined),(undefined),1.0503242444663943,25.182686219818457,1.0503242444663943,1.2963519849181904,1.2963519849181904,1.2963519849181904,12.380188374938419,(undefined)
Backward rate1 [M/s],,0.33760100317166475,10.120300839313368,0.33760100317166475,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.33760100317166475,10.120300839313368,1.1571051541695871,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.33760100317166475,10.120300839313368,1.1571051541695871,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.2068744538248117,6.201506640184591,,,0.2068744538248117,6.201506640184591,,,0.5924655078968732,14.210810543574235,0.5924655078968732,0.7313415950801818,0.7313415950801818,0.7313415950801818,4.852978048914773,
Backward rate2 [M/s],,0.7635249866527841,22.894946787680915,0.7635249866527841,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.7635249866527841,22.894946787680915,5.889745130717459,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.7635249866527841,22.894946787680915,5.889745130717459,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.46787181187783217,14.029545202406258,,,0.46787181187783217,14.029545202406258,,,1.488943212446208,32.14882380135876,1.488943212446208,2.297598949891454,2.297598949891454,2.297598949891454,10.980395276479147,
Backward rate3 [M/s],,3.554755674954033,49.70108323312435,3.554755674954033,8.227966624794284,8.227966624794284,27.611712907291306,,,3.554755674954033,49.70108323312435,27.611712907291306,8.227966624794284,8.227966624794284,27.611712907291306,,,3.554755674954033,49.70108323312435,27.611712907291306,8.227966624794284,8.227966624794284,27.611712907291306,,,2.1782796215160687,35.27664932436708,,,2.1782796215160687,35.27664932436708,,,7.486993116791056,49.70108323312435,7.486993116791056,11.553617141517508,11.553617141517508,11.553617141517508,27.611712907291306,
Backward rate4 [M/s],,5.553286167015819,21.570053411089063,5.553286167015819,10.785026705544531,10.785026705544531,21.570053411089063,,,5.553286167015819,21.570053411089063,21.570053411089063,10.785026705544531,10.785026705544531,21.570053411089063,,,5.553286167015819,21.570053411089063,21.570053411089063,10.785026705544531,10.785026705544531,21.570053411089063,,,3.4029380971152237,21.570053411089063,,,3.4029380971152237,21.570053411089063,,,10.785026705544531,21.570053411089063,10.785026705544531,10.785026705544531,10.785026705544531,10.785026705544531,21.570053411089063,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
Delta W earth4 [lambda],22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,58.001809514676474,58.001809514676474,58.001809514676474,,58.001809514676474,58.001809514676474,58.001809514676474,,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
