,hpso01 (Ingest) [Na=32],hpso01 (RCAL) [Na=32],hpso01 (FastImg) [Na=32],hpso01 (ICAL) [Na=32],hpso01 (DPrepA) [Na=32],hpso01 (DPrepB) [Na=32],hpso01 (DPrepC) [Na=32],hpso01 (DPrepD) [Na=32],hpso02a (Ingest) [Na=32],hpso02a (RCAL) [Na=32],hpso02a (FastImg) [Na=32],hpso02a (ICAL) [Na=32],hpso02a (DPrepA) [Na=32],hpso02a (DPrepB) [Na=32],hpso02a (DPrepC) [Na=32],hpso02a (DPrepD) [Na=32],hpso02b (Ingest) [Na=32],hpso02b (RCAL) [Na=32],hpso02b (FastImg) [Na=32],hpso02b (ICAL) [Na=32],hpso02b (DPrepA) [Na=32],hpso02b (DPrepB) [Na=32],hpso02b (DPrepC) [Na=32],hpso02b (DPrepD) [Na=32],hpso04a (Ingest) [Nf_max=32768] [Na=32],hpso04a (RCAL) [Nf_max=32768] [Na=32],hpso04a (FastImg) [Nf_max=32768] [Na=32],hpso04a (PSS) [Nf_max=32768] [Na=32],hpso05a (Ingest) [Nf_max=32768] [Na=32],hpso05a (RCAL) [Nf_max=32768] [Na=32],hpso05a (FastImg) [Nf_max=32768] [Na=32],hpso05a (PST) [Nf_max=32768] [Na=32],max_low (Ingest) [Nf_max=32768] [Na=32],max_low (RCAL) [Nf_max=32768] [Na=32],max_low (FastImg) [Nf_max=32768] [Na=32],max_low (ICAL) [Nf_max=32768] [Na=32],max_low (DPrepA) [Nf_max=32768] [Na=32],max_low (DPrepA_Image) [Nf_max=32768] [Na=32],max_low (DPrepB) [Nf_max=32768] [Na=32],max_low (DPrepC) [Nf_max=32768] [Na=32],max_low (DPrepD) [Nf_max=32768] [Na=32]
Frequencies predict kernels2,,209.0319441633259,369.3268941633874,231.98060612524515,206.86074318611912,265.056189563791,1086.737360607438,,,209.0319441633259,369.3268941633874,226.4559003085981,206.86074318611912,265.056189563791,1086.737360607438,,,209.0319441633259,369.3268941633874,226.4559003085981,206.86074318611912,265.056189563791,1086.737360607438,,,121.7097560834995,223.45734073105942,,,121.7097560834995,223.45734073105942,,,305.75998698201835,517.5643890331957,318.52399789931405,307.97838724324026,287.1597619299887,360.2545022701573,1973.620379632879,
Frequencies predict kernels3,,243.24256614370685,402.0118333134956,277.4515911274145,237.906904536263,367.178194107302,1086.737360607438,,,243.24256614370685,402.0118333134956,284.17484266568687,237.906904536263,367.178194107302,1086.737360607438,,,243.24256614370685,402.0118333134956,284.17484266568687,237.906904536263,367.178194107302,1086.737360607438,,,133.46572489358715,228.37652250683485,,,133.46572489358715,228.37652250683485,,,370.96943100324444,557.966411514353,365.934075079649,358.3865382540878,325.96916765938124,490.91502752547393,3271.2805163917124,
Frequencies predict kernels4,,276.83304315844657,604.4805328224141,277.4515911274145,272.59904618414,415.8415865959489,1086.737360607438,,,276.83304315844657,604.4805328224141,295.6874735636372,272.59904618414,415.8415865959489,1086.737360607438,,,276.83304315844657,604.4805328224141,295.6874735636372,272.59904618414,415.8415865959489,1086.737360607438,,,162.3027793249104,264.6765079586872,,,162.3027793249104,264.6765079586872,,,387.2364774862355,813.8877127223651,365.934075079649,358.3865382540878,359.33476154686275,532.2917584988404,3944.8076408400457,
Frequencies predict de-grid0,32768.0,152.77105497963743,1186.6956875807953,198.39498288443403,147.1384609198426,500.0,1500.0,(undefined),32768.0,152.77105497963743,1186.6956875807953,188.98053110217305,147.1384609198426,500.0,1500.0,(undefined),32768.0,152.77105497963743,1186.6956875807953,188.98053110217305,147.1384609198426,500.0,1500.0,(undefined),32768.0,121.57125287166222,727.1815092638062,(undefined),32768.0,121.57125287166222,727.1815092638062,(undefined),32768.0,253.34608837042035,1666.3443177517802,278.5836390858683,258.01971053861473,206.60981055187344,500.0,32768.0,(undefined)
Frequencies predict de-grid1,32768.0,304.85053404781354,2372.6984303939844,396.0980287317132,293.5854060303608,500.0,2372.6984303939844,,32768.0,304.85053404781354,2372.6984303939844,377.26918541595444,293.5854060303608,500.0,2372.6984303939844,,32768.0,304.85053404781354,2372.6984303939844,377.26918541595444,293.5854060303608,500.0,2372.6984303939844,,32768.0,242.71959454507825,1453.9394929925988,,32768.0,242.71959454507825,1453.9394929925988,,32768.0,505.72108874567516,3331.7159644487933,556.1960211322845,515.0682992841859,412.2489551190896,686.4337711722908,32768.0,
Frequencies predict de-grid2,32768.0,609.0087086301958,4744.703814848597,791.5035165883376,586.4784828086504,977.0023310935779,4744.703814848597,,32768.0,609.0087086301958,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,32768.0,609.0087086301958,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,32768.0,485.0159097761033,2907.4553987723175,,32768.0,485.0159097761033,2907.4553987723175,,32768.0,1010.4701580488418,6662.459115881312,1111.4199379380743,1029.1645621519401,823.5261028545824,1371.8952766430345,32768.0,
Frequencies predict de-grid3,32768.0,1217.324664459807,9488.714533153065,1582.3141894581538,1172.2642279642882,1953.3117608590187,9488.714533153065,,32768.0,1217.324664459807,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,32768.0,1217.324664459807,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,32768.0,969.6083556181683,5814.487179478897,,32768.0,969.6083556181683,5814.487179478897,,32768.0,2019.967829364343,13323.945347729323,2221.867346610081,2057.3566290643917,1646.0798252703783,2742.8179431826493,32768.0,
Frequencies predict de-grid4,32768.0,2433.9563790600405,18976.73594444234,3163.935383545188,2343.835513653477,3905.930497514414,18976.73594444234,,32768.0,2433.9563790600405,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,32768.0,2433.9563790600405,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,32768.0,1938.7931548514175,11628.550725478857,,32768.0,1938.7931548514175,11628.550725478857,,32768.0,4038.962937957228,26646.917775907757,4442.761951158458,4113.740533099671,3291.1869829821444,5484.663103847904,32768.0,
Frequencies total0,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,16153.503118368213,11628.550725478857,(undefined),32768.0,16153.503118368213,11628.550725478857,(undefined),32768.0,32768.0,26646.917775907757,32768.0,13710.1984478155,13710.1984478155,13710.1984478155,32768.0,26646.917775907757
Frequencies total1,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,16153.503118368213,11628.550725478857,,32768.0,16153.503118368213,11628.550725478857,,32768.0,32768.0,26646.917775907757,32768.0,13710.1984478155,13710.1984478155,13710.1984478155,32768.0,26646.917775907757
Frequencies total2,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,16153.503118368213,11628.550725478857,,32768.0,16153.503118368213,11628.550725478857,,32768.0,32768.0,26646.917775907757,32768.0,13710.1984478155,13710.1984478155,13710.1984478155,32768.0,26646.917775907757
Frequencies total3,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,16153.503118368213,11628.550725478857,,32768.0,16153.503118368213,11628.550725478857,,32768.0,32768.0,26646.917775907757,32768.0,13710.1984478155,13710.1984478155,13710.1984478155,32768.0,26646.917775907757
Frequencies total4,32768.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,32768.0,16153.503118368213,11628.550725478857,,32768.0,16153.503118368213,11628.550725478857,,32768.0,32768.0,26646.917775907757,32768.0,13710.1984478155,13710.1984478155,13710.1984478155,32768.0,26646.917775907757
Frequencies backward kernels0,(undefined),190.6057357062857,364.52288461678205,193.87121309920514,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),190.6057357062857,364.52288461678205,193.05971243657226,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),190.6057357062857,364.52288461678205,193.05971243657226,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),115.6899113398451,222.75933872570835,(undefined),(undefined),115.6899113398451,222.75933872570835,(undefined),(undefined),269.259518007746,511.6591552951528,271.08861703840586,269.57301555724183,266.70490555653464,277.48520338519785,841.0439984309672,(undefined)
Frequencies backward kernels1,,195.57404247040276,365.0584953999703,204.4791140771325,194.75922002843842,218.15734719428568,932.9886152281582,,,195.57404247040276,365.0584953999703,202.28816976573157,194.75922002843842,218.15734719428568,932.9886152281582,,,195.57404247040276,365.0584953999703,202.28816976573157,194.75922002843842,218.15734719428568,932.9886152281582,,,117.28888708187841,222.83688638800666,,,117.28888708187841,222.83688638800666,,,279.2269356912251,512.317136997464,284.2047257022032,280.08387328371566,272.1835795172644,301.22257589075963,1237.7927625562772,
Frequencies backward kernels2,,209.0319441633259,369.3268941633874,231.98060612524515,206.86074318611912,265.056189563791,1086.737360607438,,,209.0319441633259,369.3268941633874,226.4559003085981,206.86074318611912,265.056189563791,1086.737360607438,,,209.0319441633259,369.3268941633874,226.4559003085981,206.86074318611912,265.056189563791,1086.737360607438,,,121.7097560834995,223.45734073105942,,,121.7097560834995,223.45734073105942,,,305.75998698201835,517.5643890331957,318.52399789931405,307.97838724324026,287.1597619299887,360.2545022701573,1973.620379632879,
Frequencies backward kernels3,,243.24256614370685,402.0118333134956,277.4515911274145,237.906904536263,367.178194107302,1086.737360607438,,,243.24256614370685,402.0118333134956,284.17484266568687,237.906904536263,367.178194107302,1086.737360607438,,,243.24256614370685,402.0118333134956,284.17484266568687,237.906904536263,367.178194107302,1086.737360607438,,,133.46572489358715,228.37652250683485,,,133.46572489358715,228.37652250683485,,,370.96943100324444,557.966411514353,365.934075079649,358.3865382540878,325.96916765938124,490.91502752547393,3271.2805163917124,
Frequencies backward kernels4,,276.83304315844657,604.4805328224141,277.4515911274145,272.59904618414,415.8415865959489,1086.737360607438,,,276.83304315844657,604.4805328224141,295.6874735636372,272.59904618414,415.8415865959489,1086.737360607438,,,276.83304315844657,604.4805328224141,295.6874735636372,272.59904618414,415.8415865959489,1086.737360607438,,,162.3027793249104,264.6765079586872,,,162.3027793249104,264.6765079586872,,,387.2364774862355,813.8877127223651,365.934075079649,358.3865382540878,359.33476154686275,532.2917584988404,3944.8076408400457,
Frequencies backward grid0,32768.0,152.77105497963743,1186.6956875807953,198.39498288443403,147.1384609198426,500.0,1500.0,(undefined),32768.0,152.77105497963743,1186.6956875807953,188.98053110217305,147.1384609198426,500.0,1500.0,(undefined),32768.0,152.77105497963743,1186.6956875807953,188.98053110217305,147.1384609198426,500.0,1500.0,(undefined),32768.0,121.57125287166222,727.1815092638062,(undefined),32768.0,121.57125287166222,727.1815092638062,(undefined),32768.0,253.34608837042035,1666.3443177517802,278.5836390858683,258.01971053861473,206.60981055187344,500.0,32768.0,(undefined)
Frequencies backward grid1,32768.0,304.85053404781354,2372.6984303939844,396.0980287317132,293.5854060303608,500.0,2372.6984303939844,,32768.0,304.85053404781354,2372.6984303939844,377.26918541595444,293.5854060303608,500.0,2372.6984303939844,,32768.0,304.85053404781354,2372.6984303939844,377.26918541595444,293.5854060303608,500.0,2372.6984303939844,,32768.0,242.71959454507825,1453.9394929925988,,32768.0,242.71959454507825,1453.9394929925988,,32768.0,505.72108874567516,3331.7159644487933,556.1960211322845,515.0682992841859,412.2489551190896,686.4337711722908,32768.0,
Frequencies backward grid2,32768.0,609.0087086301958,4744.703814848597,791.5035165883376,586.4784828086504,977.0023310935779,4744.703814848597,,32768.0,609.0087086301958,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,32768.0,609.0087086301958,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,32768.0,485.0159097761033,2907.4553987723175,,32768.0,485.0159097761033,2907.4553987723175,,32768.0,1010.4701580488418,6662.459115881312,1111.4199379380743,1029.1645621519401,823.5261028545824,1371.8952766430345,32768.0,
Frequencies backward grid3,32768.0,1217.324664459807,9488.714533153065,1582.3141894581538,1172.2642279642882,1953.3117608590187,9488.714533153065,,32768.0,1217.324664459807,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,32768.0,1217.324664459807,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,32768.0,969.6083556181683,5814.487179478897,,32768.0,969.6083556181683,5814.487179478897,,32768.0,2019.967829364343,13323.945347729323,2221.867346610081,2057.3566290643917,1646.0798252703783,2742.8179431826493,32768.0,
Frequencies backward grid4,32768.0,2433.9563790600405,18976.73594444234,3163.935383545188,2343.835513653477,3905.930497514414,18976.73594444234,,32768.0,2433.9563790600405,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,32768.0,2433.9563790600405,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,32768.0,1938.7931548514175,11628.550725478857,,32768.0,1938.7931548514175,11628.550725478857,,32768.0,4038.962937957228,26646.917775907757,4442.761951158458,4113.740533099671,3291.1869829821444,5484.663103847904,32768.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,(undefined),19.223893333333336,19.223893333333336,19.223893333333336,(undefined),19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336,19.223893333333336
Averaged rate0 [M/s],8.361347268476928,6.726497072088045,4.842257057301967,6.726497072088045,2.4914065702564443,2.4914065702564443,4.842257057301967,4.842257057301967,8.361347268476928,6.726497072088045,4.842257057301967,4.484390336442626,2.4914065702564443,2.4914065702564443,4.842257057301967,4.842257057301967,8.361347268476928,6.726497072088045,4.842257057301967,4.484390336442626,2.4914065702564443,2.4914065702564443,4.842257057301967,4.842257057301967,8.361347268476928,4.121858190158129,2.9672348280281997,(undefined),8.361347268476928,4.121858190158129,2.9672348280281997,(undefined),8.361347268476928,8.361347268476928,6.79944254025011,8.361347268476928,3.498404856625938,3.498404856625938,3.498404856625938,8.361347268476928,6.79944254025011
Averaged rate1 [M/s],2.3598795218252233,1.8984647072228829,1.3666629195060458,1.8984647072228829,0.7031665061747844,0.7031665061747844,1.3666629195060458,1.3666629195060458,2.3598795218252233,1.8984647072228829,1.3666629195060458,1.2656597774307692,0.7031665061747844,0.7031665061747844,1.3666629195060458,1.3666629195060458,2.3598795218252233,1.8984647072228829,1.3666629195060458,1.2656597774307692,0.7031665061747844,0.7031665061747844,1.3666629195060458,1.3666629195060458,2.3598795218252233,1.163339880822053,0.8374627296619691,,2.3598795218252233,1.163339880822053,0.8374627296619691,,2.3598795218252233,2.3598795218252233,1.9190525994606094,2.3598795218252233,0.9873784349719166,0.9873784349719166,0.9873784349719166,2.3598795218252233,1.9190525994606094
Averaged rate2 [M/s],2.6697431652615964,2.1477423443543167,1.5461123988845515,2.1477423443543167,0.795495683800438,0.795495683800438,1.5461123988845515,1.5461123988845515,2.6697431652615964,2.1477423443543167,1.5461123988845515,1.4318470536702943,0.795495683800438,0.795495683800438,1.5461123988845515,1.5461123988845515,2.6697431652615964,2.1477423443543167,1.5461123988845515,1.4318470536702943,0.795495683800438,0.795495683800438,1.5461123988845515,1.5461123988845515,2.6697431652615964,1.3160920576567205,0.9474256537245166,,2.6697431652615964,1.3160920576567205,0.9474256537245166,,2.6697431652615964,2.6697431652615964,2.171033526840743,2.6697431652615964,1.117026019300402,1.117026019300402,1.117026019300402,2.6697431652615964,2.171033526840743
Averaged rate3 [M/s],3.356718039709923,2.700396639553379,1.9439560510107823,2.700396639553379,1.0001916090916052,1.0001916090916052,1.9439560510107823,1.9439560510107823,3.356718039709923,2.700396639553379,1.9439560510107823,1.8002880942630415,1.0001916090916052,1.0001916090916052,1.9439560510107823,1.9439560510107823,3.356718039709923,2.700396639553379,1.9439560510107823,1.8002880942630415,1.0001916090916052,1.0001916090916052,1.9439560510107823,1.9439560510107823,3.356718039709923,1.6547471716899742,1.191216003292749,,3.356718039709923,1.6547471716899742,1.191216003292749,,3.356718039709923,3.356718039709923,2.7296810791338073,3.356718039709923,1.4044577166072167,1.4044577166072167,1.4044577166072167,3.356718039709923,2.7296810791338073
Averaged rate4 [M/s],1.3111208936152177,1.0547643303018446,0.759301604900429,1.0547643303018446,0.3906709174810382,0.3906709174810382,0.759301604900429,0.759301604900429,1.3111208936152177,1.0547643303018446,0.759301604900429,0.7031854647877943,0.3906709174810382,0.3906709174810382,0.759301604900429,0.759301604900429,1.3111208936152177,1.0547643303018446,0.759301604900429,0.7031854647877943,0.3906709174810382,0.3906709174810382,0.759301604900429,0.759301604900429,1.3111208936152177,0.6463377515738261,0.4652842962231362,,1.3111208936152177,0.6463377515738261,0.4652842962231362,,1.3111208936152177,1.3111208936152177,1.0662027174816715,1.3111208936152177,0.5485756726239571,0.5485756726239571,0.5485756726239571,1.3111208936152177,1.0662027174816715
Predict rate0 [M/s],(undefined),0.003508406551912527,0.2725261618432718,0.004556165812372621,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.003508406551912527,0.2725261618432718,0.004339961739422078,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.003508406551912527,0.2725261618432718,0.004339961739422078,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.0027918991601910757,0.1669981510483664,(undefined),(undefined),0.0027918991601910757,0.1669981510483664,(undefined),(undefined),0.005818124882744738,0.38267807490900596,0.0063977084190115,0.00592545520548318,0.004744820366176142,0.01148256308232,0.7525212541629235,(undefined)
Predict rate1 [M/s],,0.0019759200417029613,0.1537888853032914,0.002567350048752985,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.0019759200417029613,0.1537888853032914,0.00244530896725743,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.0019759200417029613,0.1537888853032914,0.00244530896725743,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.0015732119770550117,0.09423858129692272,,,0.0015732119770550117,0.09423858129692272,,,0.003277883169486901,0.21594859159353008,0.0036050416270497826,0.0033384680744625427,0.0026720339366804405,0.004449190978121568,0.2949849402281529,
Predict rate2 [M/s],,0.0044656590384070756,0.34791340706770013,0.005803832987435942,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.0044656590384070756,0.34791340706770013,0.005527701872722927,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.0044656590384070756,0.34791340706770013,0.005527701872722927,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.0035564609349093574,0.21319406925225193,,,0.0035564609349093574,0.21319406925225193,,,0.007409442804982087,0.4885360479618242,0.008149674086734246,0.007546522675052267,0.006038644000425677,0.010059653425430809,0.6674357913153991,
Predict rate3 [M/s],,0.011223126511347832,0.8748121741449998,0.01458814796697648,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.011223126511347832,0.8748121741449998,0.013893778471356229,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.011223126511347832,0.8748121741449998,0.013893778471356229,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.008939305642337896,0.5360667299291075,,,0.008939305642337896,0.5360667299291075,,,0.01862309633549465,1.228401334776273,0.02048450922786753,0.018967802428611805,0.015176035338924787,0.028097126677005816,1.6783590198549616,
Predict rate4 [M/s],,0.012173504115042344,0.7593016049004291,0.02109935398058356,0.011722761967271537,0.031257001246948427,0.7593016049004291,,,0.012173504115042344,0.7593016049004291,0.02009484291972429,0.011722761967271537,0.031257001246948427,0.7593016049004291,,,0.012173504115042344,0.7593016049004291,0.02009484291972429,0.011722761967271537,0.031257001246948427,0.7593016049004291,,,0.012929240995909919,0.46528429622313616,,,0.012929240995909919,0.46528429622313616,,,0.023086847344505203,1.0662027174816715,0.029627472023125025,0.023514278581276082,0.016460968086938175,0.04389072503598313,1.3111208936152177,
Backward rate0 [M/s],(undefined),0.003508406551912527,0.2725261618432718,0.004556165812372621,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.003508406551912527,0.2725261618432718,0.004339961739422078,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.003508406551912527,0.2725261618432718,0.004339961739422078,0.0033790533186951375,0.01148256308232,0.03444768924696,(undefined),(undefined),0.0027918991601910757,0.1669981510483664,(undefined),(undefined),0.0027918991601910757,0.1669981510483664,(undefined),(undefined),0.005818124882744738,0.38267807490900596,0.0063977084190115,0.00592545520548318,0.004744820366176142,0.01148256308232,0.7525212541629235,(undefined)
Backward rate1 [M/s],,0.0019759200417029613,0.1537888853032914,0.002567350048752985,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.0019759200417029613,0.1537888853032914,0.00244530896725743,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.0019759200417029613,0.1537888853032914,0.00244530896725743,0.0019029039576355367,0.00324080134528,0.021359567403234917,,,0.0015732119770550117,0.09423858129692272,,,0.0015732119770550117,0.09423858129692272,,,0.003277883169486901,0.21594859159353008,0.0036050416270497826,0.0033384680744625427,0.0026720339366804405,0.004449190978121568,0.2949849402281529,
Backward rate2 [M/s],,0.0044656590384070756,0.34791340706770013,0.005803832987435942,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.0044656590384070756,0.34791340706770013,0.005527701872722927,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.0044656590384070756,0.34791340706770013,0.005527701872722927,0.004300452358844746,0.007164034320964216,0.09664261307436114,,,0.0035564609349093574,0.21319406925225193,,,0.0035564609349093574,0.21319406925225193,,,0.007409442804982087,0.4885360479618242,0.008149674086734246,0.007546522675052267,0.006038644000425677,0.010059653425430809,0.6674357913153991,
Backward rate3 [M/s],,0.011223126511347832,0.8748121741449998,0.01458814796697648,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.011223126511347832,0.8748121741449998,0.013893778471356229,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.011223126511347832,0.8748121741449998,0.013893778471356229,0.01080769175165685,0.020009511794595407,0.48600676341388876,,,0.008939305642337896,0.5360667299291075,,,0.008939305642337896,0.5360667299291075,,,0.01862309633549465,1.228401334776273,0.02048450922786753,0.018967802428611805,0.015176035338924787,0.028097126677005816,1.6783590198549616,
Backward rate4 [M/s],,0.012173504115042344,0.7593016049004291,0.02109935398058356,0.011722761967271537,0.031257001246948427,0.7593016049004291,,,0.012173504115042344,0.7593016049004291,0.02009484291972429,0.011722761967271537,0.031257001246948427,0.7593016049004291,,,0.012173504115042344,0.7593016049004291,0.02009484291972429,0.011722761967271537,0.031257001246948427,0.7593016049004291,,,0.012929240995909919,0.46528429622313616,,,0.012929240995909919,0.46528429622313616,,,0.023086847344505203,1.0662027174816715,0.029627472023125025,0.023514278581276082,0.016460968086938175,0.04389072503598313,1.3111208936152177,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
