,hpso01 (Ingest) [Nf_max=65536] [Na=128],hpso01 (RCAL) [Nf_max=65536] [Na=128],hpso01 (FastImg) [Nf_max=65536] [Na=128],hpso01 (ICAL) [Nf_max=65536] [Na=128],hpso01 (DPrepA) [Nf_max=65536] [Na=128],hpso01 (DPrepB) [Nf_max=65536] [Na=128],hpso01 (DPrepC) [Nf_max=65536] [Na=128],hpso01 (DPrepD) [Nf_max=65536] [Na=128],hpso02a (Ingest) [Nf_max=65536] [Na=128],hpso02a (RCAL) [Nf_max=65536] [Na=128],hpso02a (FastImg) [Nf_max=65536] [Na=128],hpso02a (ICAL) [Nf_max=65536] [Na=128],hpso02a (DPrepA) [Nf_max=65536] [Na=128],hpso02a (DPrepB) [Nf_max=65536] [Na=128],hpso02a (DPrepC) [Nf_max=65536] [Na=128],hpso02a (DPrepD) [Nf_max=65536] [Na=128],hpso02b (Ingest) [Nf_max=65536] [Na=128],hpso02b (RCAL) [Nf_max=65536] [Na=128],hpso02b (FastImg) [Nf_max=65536] [Na=128],hpso02b (ICAL) [Nf_max=65536] [Na=128],hpso02b (DPrepA) [Nf_max=65536] [Na=128],hpso02b (DPrepB) [Nf_max=65536] [Na=128],hpso02b (DPrepC) [Nf_max=65536] [Na=128],hpso02b (DPrepD) [Nf_max=65536] [Na=128],hpso04a (Ingest) [Nf_max=65536] [Na=128],hpso04a (RCAL) [Nf_max=65536] [Na=128],hpso04a (FastImg) [Nf_max=65536] [Na=128],hpso04a (PSS) [Nf_max=65536] [Na=128],hpso05a (Ingest) [Na=128],hpso05a (RCAL) [Na=128],hpso05a (FastImg) [Na=128],hpso05a (PST) [Na=128],max_low (Ingest) [Na=128],max_low (RCAL) [Na=128],max_low (FastImg) [Na=128],max_low (ICAL) [Na=128],max_low (DPrepA) [Na=128],max_low (DPrepA_Image) [Na=128],max_low (DPrepB) [Na=128],max_low (DPrepC) [Na=128],max_low (DPrepD) [Na=128]
Frequencies predict kernels1,,218.25941263107947,365.0584953999703,218.25941263342986,265.63588697841703,218.15734719428568,602.5834255147121,,,218.25941263107947,365.0584953999703,214.78169387615827,265.63588697841703,218.15734719428568,602.5834255147121,,,218.25941263107947,365.0584953999703,214.78169387615827,265.63588697841703,218.15734719428568,602.5834255147121,,,133.46572489358715,222.83688638800666,,,133.46572489358715,222.83688638800666,,,315.5918834679897,512.317136997464,315.5918728044376,351.9465976296726,358.9021190509513,301.22257589075963,1237.7927625562772,
Frequencies predict kernels2,,218.25941263107947,369.3268941633874,218.25941263342986,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,369.3268941633874,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,369.3268941633874,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,138.40861793335623,223.45734073105942,,,138.40861793335623,223.45734073105942,,,315.5918834679897,517.5643890331957,315.5918728044376,351.9465976296726,358.9021190509513,315.32941959530615,1367.1909404442843,
Frequencies predict kernels3,,218.25941263107947,402.0118333134956,218.25941263342986,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,402.0118333134956,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,402.0118333134956,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,138.40861793335623,228.37652250683485,,,138.40861793335623,228.37652250683485,,,315.5918834679897,557.966411514353,315.5918728044376,351.9465976296726,358.9021190509513,315.32941959530615,1367.1909404442843,
Frequencies predict kernels4,,218.25941263107947,604.480523942508,218.25941263342986,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,604.480523942508,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,604.480523942508,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,138.40861793335623,264.67650784043434,,,138.40861793335623,264.67650784043434,,,315.5918834679897,813.8877002779753,315.5918728044376,351.9465976296726,358.9021190509513,315.32941959530615,1367.1909404442843,
Frequencies predict de-grid0,65536.0,283.12492857781456,1186.6956875807953,283.12492857781456,610.88622741501,500.0,1500.0,(undefined),65536.0,283.12492857781456,1186.6956875807953,264.29606514294204,610.88622741501,500.0,1500.0,(undefined),65536.0,283.12492857781456,1186.6956875807953,264.29606514294204,610.88622741501,500.0,1500.0,(undefined),65536.0,242.71959454507825,727.1815092638062,(undefined),65536.0,242.71959454507825,727.1815092638062,(undefined),65536.0,556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,500.0,65536.0,(undefined)
Frequencies predict de-grid1,65536.0,565.5575581107942,2372.6984303939844,565.5575581107942,1221.0797008176821,500.0,2372.6984303939844,,65536.0,565.5575581107942,2372.6984303939844,527.899891637071,1221.0797008176821,500.0,2372.6984303939844,,65536.0,565.5575581107942,2372.6984303939844,527.899891637071,1221.0797008176821,500.0,2372.6984303939844,,65536.0,485.0159097761033,1453.9394929925988,,65536.0,485.0159097761033,1453.9394929925988,,65536.0,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,686.4337711722908,65536.0,
Frequencies predict de-grid2,65536.0,1130.4223937148056,4744.703814848597,1130.4223937148056,2441.466451169051,977.0023310935779,4744.703814848597,,65536.0,1130.4223937148056,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,65536.0,1130.4223937148056,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,65536.0,969.6083556181683,2907.4553987723175,,65536.0,969.6083556181683,2907.4553987723175,,65536.0,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,1371.8952766430345,65536.0,
Frequencies predict de-grid3,65536.0,2260.151852737311,9488.714533153065,2260.151852737311,4882.239853545328,1953.3117608590187,9488.714533153065,,65536.0,2260.151852737311,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,65536.0,2260.151852737311,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,65536.0,1938.7931548514175,5814.487179478897,,65536.0,1938.7931548514175,5814.487179478897,,65536.0,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,2742.8179431826493,65536.0,
Frequencies predict de-grid4,65536.0,4519.610664576401,18976.73594444234,4519.610664576401,9763.786609120725,3905.930497514414,18976.73594444234,,65536.0,4519.610664576401,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,65536.0,4519.610664576401,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,65536.0,3877.1627070570735,11628.550725478857,,65536.0,3877.1627070570735,11628.550725478857,,65536.0,8884.551053776007,26646.917775907757,8884.551053776007,13710.1984478155,13710.1984478155,5484.663103847904,65536.0,
Frequencies total0,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,(undefined),65536.0,16153.503118368213,11628.550725478857,(undefined),65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total1,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total2,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total3,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total4,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies backward kernels0,(undefined),204.9711139739497,364.52288461678205,204.9711139739497,265.63588697841703,199.05237204583554,602.5834255147121,(undefined),(undefined),204.9711139739497,364.52288461678205,201.87073720464088,265.63588697841703,199.05237204583554,602.5834255147121,(undefined),(undefined),204.9711139739497,364.52288461678205,201.87073720464088,265.63588697841703,199.05237204583554,602.5834255147121,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),315.5918834679897,511.6591552951528,315.5918728044376,351.9465976296726,358.9021190509513,277.48520338519785,841.0439984309672,(undefined)
Frequencies backward kernels1,,218.25941263107947,365.0584953999703,218.25941263342986,265.63588697841703,218.15734719428568,602.5834255147121,,,218.25941263107947,365.0584953999703,214.78169387615827,265.63588697841703,218.15734719428568,602.5834255147121,,,218.25941263107947,365.0584953999703,214.78169387615827,265.63588697841703,218.15734719428568,602.5834255147121,,,133.46572489358715,222.83688638800666,,,133.46572489358715,222.83688638800666,,,315.5918834679897,512.317136997464,315.5918728044376,351.9465976296726,358.9021190509513,301.22257589075963,1237.7927625562772,
Frequencies backward kernels2,,218.25941263107947,369.3268941633874,218.25941263342986,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,369.3268941633874,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,369.3268941633874,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,138.40861793335623,223.45734073105942,,,138.40861793335623,223.45734073105942,,,315.5918834679897,517.5643890331957,315.5918728044376,351.9465976296726,358.9021190509513,315.32941959530615,1367.1909404442843,
Frequencies backward kernels3,,218.25941263107947,402.0118333134956,218.25941263342986,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,402.0118333134956,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,402.0118333134956,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,138.40861793335623,228.37652250683485,,,138.40861793335623,228.37652250683485,,,315.5918834679897,557.966411514353,315.5918728044376,351.9465976296726,358.9021190509513,315.32941959530615,1367.1909404442843,
Frequencies backward kernels4,,218.25941263107947,604.480523942508,218.25941263342986,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,604.480523942508,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,218.25941263107947,604.480523942508,214.78169387615827,265.63588697841703,233.9206813222378,602.5834255147121,,,138.40861793335623,264.67650784043434,,,138.40861793335623,264.67650784043434,,,315.5918834679897,813.8877002779753,315.5918728044376,351.9465976296726,358.9021190509513,315.32941959530615,1367.1909404442843,
Frequencies backward grid0,65536.0,283.12492857781456,1186.6956875807953,283.12492857781456,610.88622741501,500.0,1500.0,(undefined),65536.0,283.12492857781456,1186.6956875807953,264.29606514294204,610.88622741501,500.0,1500.0,(undefined),65536.0,283.12492857781456,1186.6956875807953,264.29606514294204,610.88622741501,500.0,1500.0,(undefined),65536.0,242.71959454507825,727.1815092638062,(undefined),65536.0,242.71959454507825,727.1815092638062,(undefined),65536.0,556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,500.0,65536.0,(undefined)
Frequencies backward grid1,65536.0,565.5575581107942,2372.6984303939844,565.5575581107942,1221.0797008176821,500.0,2372.6984303939844,,65536.0,565.5575581107942,2372.6984303939844,527.899891637071,1221.0797008176821,500.0,2372.6984303939844,,65536.0,565.5575581107942,2372.6984303939844,527.899891637071,1221.0797008176821,500.0,2372.6984303939844,,65536.0,485.0159097761033,1453.9394929925988,,65536.0,485.0159097761033,1453.9394929925988,,65536.0,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,686.4337711722908,65536.0,
Frequencies backward grid2,65536.0,1130.4223937148056,4744.703814848597,1130.4223937148056,2441.466451169051,977.0023310935779,4744.703814848597,,65536.0,1130.4223937148056,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,65536.0,1130.4223937148056,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,65536.0,969.6083556181683,2907.4553987723175,,65536.0,969.6083556181683,2907.4553987723175,,65536.0,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,1371.8952766430345,65536.0,
Frequencies backward grid3,65536.0,2260.151852737311,9488.714533153065,2260.151852737311,4882.239853545328,1953.3117608590187,9488.714533153065,,65536.0,2260.151852737311,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,65536.0,2260.151852737311,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,65536.0,1938.7931548514175,5814.487179478897,,65536.0,1938.7931548514175,5814.487179478897,,65536.0,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,2742.8179431826493,65536.0,
Frequencies backward grid4,65536.0,4519.610664576401,18976.73594444234,4519.610664576401,9763.786609120725,3905.930497514414,18976.73594444234,,65536.0,4519.610664576401,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,65536.0,4519.610664576401,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,65536.0,3877.1627070570735,11628.550725478857,,65536.0,3877.1627070570735,11628.550725478857,,65536.0,8884.551053776007,26646.917775907757,8884.551053776007,13710.1984478155,13710.1984478155,5484.663103847904,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,(undefined),601.1835733333334,601.1835733333334,601.1835733333334,(undefined),601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334,601.1835733333334
Averaged rate0 [M/s],274.03641370234055,110.22775847163635,79.35053500352899,110.22775847163635,40.82692057065399,40.82692057065399,79.35053500352899,79.35053500352899,274.03641370234055,110.22775847163635,79.35053500352899,73.48613841654368,40.82692057065399,40.82692057065399,79.35053500352899,79.35053500352899,274.03641370234055,110.22775847163635,79.35053500352899,73.48613841654368,40.82692057065399,40.82692057065399,79.35053500352899,79.35053500352899,274.03641370234055,67.54528905162353,48.624364278655655,(undefined),274.03641370234055,67.54528905162353,48.624364278655655,(undefined),274.03641370234055,154.78057112477902,111.42312291764696,154.78057112477902,57.32869894083795,57.32869894083795,57.32869894083795,274.03641370234055,111.42312291764696
Averaged rate1 [M/s],77.34314819917506,31.110324879652403,22.395637519647458,31.110324879652403,11.522857585057757,11.522857585057757,22.395637519647458,22.395637519647458,77.34314819917506,31.110324879652403,22.395637519647458,20.74048925596228,11.522857585057757,11.522857585057757,22.395637519647458,22.395637519647458,77.34314819917506,31.110324879652403,22.395637519647458,20.74048925596228,11.522857585057757,11.522857585057757,22.395637519647458,22.395637519647458,77.34314819917506,19.06376320830977,13.723582795750977,,77.34314819917506,19.06376320830977,13.723582795750977,,77.34314819917506,43.68476615615004,31.447700662128693,43.68476615615004,16.18026596663657,16.18026596663657,16.18026596663657,77.34314819917506,31.447700662128693
Averaged rate2 [M/s],87.49867922276717,35.195261642967516,25.336293504301686,35.195261642967516,13.03586475389105,13.03586475389105,25.336293504301686,25.336293504301686,87.49867922276717,35.195261642967516,25.336293504301686,23.463816234339017,13.03586475389105,13.03586475389105,25.336293504301686,25.336293504301686,87.49867922276717,35.195261642967516,25.336293504301686,23.463816234339017,13.03586475389105,13.03586475389105,25.336293504301686,25.336293504301686,87.49867922276717,21.566927912568197,15.525555873937241,,87.49867922276717,21.566927912568197,15.525555873937241,,87.49867922276717,49.42078813465389,35.57693650435799,49.42078813465389,18.304813477567883,18.304813477567883,18.304813477567883,87.49867922276717,35.57693650435799
Averaged rate3 [M/s],110.01372672081554,44.251661061068276,31.855795932692818,44.251661061068276,16.390236690920496,16.390236690920496,31.855795932692818,31.855795932692818,110.01372672081554,44.251661061068276,31.855795932692818,29.501495222116937,16.390236690920496,16.390236690920496,31.855795932692818,31.855795932692818,110.01372672081554,44.251661061068276,31.855795932692818,29.501495222116937,16.390236690920496,16.390236690920496,31.855795932692818,31.855795932692818,110.01372672081554,27.116502039306674,19.520571924926337,,110.01372672081554,27.116502039306674,19.520571924926337,,110.01372672081554,62.137681716667984,44.73154800645077,62.137681716667984,23.014984517305358,23.014984517305358,23.014984517305358,110.01372672081554,44.73154800645077
Averaged rate4 [M/s],42.97092993267939,17.284525154623772,12.442748880303803,17.284525154623772,6.401962131624755,6.401962131624755,12.442748880303803,12.442748880303803,42.97092993267939,17.284525154623772,12.442748880303803,11.523168261683855,6.401962131624755,6.401962131624755,12.442748880303803,12.442748880303803,42.97092993267939,17.284525154623772,12.442748880303803,11.523168261683855,6.401962131624755,6.401962131624755,12.442748880303803,12.442748880303803,42.97092993267939,10.591599283854958,7.624658789721071,,42.97092993267939,10.591599283854958,7.624658789721071,,42.97092993267939,24.2707346329798,17.471967112280293,24.2707346329798,8.989562635257105,8.989562635257105,8.989562635257105,42.97092993267939,17.471967112280293
Predict rate0 [M/s],(undefined),0.10654889839397592,4.465912587625227,0.10654889839397592,0.22989587989328858,0.18816587244575997,0.5644976173372799,(undefined),(undefined),0.10654889839397592,4.465912587625227,0.0994629993632062,0.22989587989328858,0.18816587244575997,0.5644976173372799,(undefined),(undefined),0.10654889839397592,4.465912587625227,0.0994629993632062,0.22989587989328858,0.18816587244575997,0.5644976173372799,(undefined),(undefined),0.09134308853451155,2.736614862340972,(undefined),(undefined),0.09134308853451155,2.736614862340972,(undefined),(undefined),0.20931421913443335,6.270982646895968,0.20931421913443335,0.3228170629110003,0.3228170629110003,0.18816587244575997,24.663277233210653,(undefined)
Predict rate1 [M/s],,0.06007049839617011,2.520153346260388,0.06007049839617011,0.12969655370637773,0.05310732527104001,0.35002129809172056,,,0.06007049839617011,2.520153346260388,0.05607070251143341,0.12969655370637773,0.05310732527104001,0.35002129809172056,,,0.06007049839617011,2.520153346260388,0.05607070251143341,0.12969655370637773,0.05310732527104001,0.35002129809172056,,,0.05151579536421782,1.5442967515753787,,,0.05151579536421782,1.5442967515753787,,,0.11804908031359282,3.5387704686939765,0.11804908031359282,0.1821183972062414,0.1821183972062414,0.07290932312534698,9.667893524896883,
Predict rate2 [M/s],,0.13583285487746574,5.701290670657796,0.13583285487746574,0.407457523048379,0.11739772371128458,1.583691852960499,,,0.13583285487746574,5.701290670657796,0.1267828814930306,0.407457523048379,0.11739772371128458,1.583691852960499,,,0.13583285487746574,5.701290670657796,0.1267828814930306,0.407457523048379,0.11739772371128458,1.583691852960499,,,0.11650925511467586,3.493631844520774,,,0.11650925511467586,3.493631844520774,,,0.26698213563982953,8.005687495632474,0.26698213563982953,0.5721471894827739,0.5721471894827739,0.1648485141973823,21.87466980569179,
Predict rate3 [M/s],,0.42156258184574974,14.33563175695677,0.42156258184574974,2.048925022252694,0.32789780618240216,7.964239864975983,,,0.42156258184574974,14.33563175695677,0.39346702693274227,2.048925022252694,0.32789780618240216,7.964239864975983,,,0.42156258184574974,14.33563175695677,0.39346702693274227,2.048925022252694,0.32789780618240216,7.964239864975983,,,0.5424343371226289,8.784577380773761,,,0.5424343371226289,8.784577380773761,,,1.2429931619781083,20.12993155052731,1.2429931619781083,2.877077209750438,2.877077209750438,0.4604303339328695,55.00686336040777,
Predict rate4 [M/s],,0.7408595016117213,12.442748880303805,0.7408595016117213,3.2009810658123774,0.5122115043048322,12.442748880303805,,,0.7408595016117213,12.442748880303805,0.6914764421317907,3.2009810658123774,0.5122115043048322,12.442748880303805,,,0.7408595016117213,12.442748880303805,0.6914764421317907,3.2009810658123774,0.5122115043048322,12.442748880303805,,,0.8473983104581047,7.62465878972107,,,0.8473983104581047,7.62465878972107,,,1.9418203776810792,17.471967112280293,1.9418203776810792,4.4947813176285525,4.4947813176285525,0.7192415586541752,42.97092993267939,
Backward rate0 [M/s],(undefined),0.10654889839397592,4.465912587625227,0.10654889839397592,0.22989587989328858,0.18816587244575997,0.5644976173372799,(undefined),(undefined),0.10654889839397592,4.465912587625227,0.0994629993632062,0.22989587989328858,0.18816587244575997,0.5644976173372799,(undefined),(undefined),0.10654889839397592,4.465912587625227,0.0994629993632062,0.22989587989328858,0.18816587244575997,0.5644976173372799,(undefined),(undefined),0.09134308853451155,2.736614862340972,(undefined),(undefined),0.09134308853451155,2.736614862340972,(undefined),(undefined),0.20931421913443335,6.270982646895968,0.20931421913443335,0.3228170629110003,0.3228170629110003,0.18816587244575997,24.663277233210653,(undefined)
Backward rate1 [M/s],,0.06007049839617011,2.520153346260388,0.06007049839617011,0.12969655370637773,0.05310732527104001,0.35002129809172056,,,0.06007049839617011,2.520153346260388,0.05607070251143341,0.12969655370637773,0.05310732527104001,0.35002129809172056,,,0.06007049839617011,2.520153346260388,0.05607070251143341,0.12969655370637773,0.05310732527104001,0.35002129809172056,,,0.05151579536421782,1.5442967515753787,,,0.05151579536421782,1.5442967515753787,,,0.11804908031359282,3.5387704686939765,0.11804908031359282,0.1821183972062414,0.1821183972062414,0.07290932312534698,9.667893524896883,
Backward rate2 [M/s],,0.13583285487746574,5.701290670657796,0.13583285487746574,0.407457523048379,0.11739772371128458,1.583691852960499,,,0.13583285487746574,5.701290670657796,0.1267828814930306,0.407457523048379,0.11739772371128458,1.583691852960499,,,0.13583285487746574,5.701290670657796,0.1267828814930306,0.407457523048379,0.11739772371128458,1.583691852960499,,,0.11650925511467586,3.493631844520774,,,0.11650925511467586,3.493631844520774,,,0.26698213563982953,8.005687495632474,0.26698213563982953,0.5721471894827739,0.5721471894827739,0.1648485141973823,21.87466980569179,
Backward rate3 [M/s],,0.42156258184574974,14.33563175695677,0.42156258184574974,2.048925022252694,0.32789780618240216,7.964239864975983,,,0.42156258184574974,14.33563175695677,0.39346702693274227,2.048925022252694,0.32789780618240216,7.964239864975983,,,0.42156258184574974,14.33563175695677,0.39346702693274227,2.048925022252694,0.32789780618240216,7.964239864975983,,,0.5424343371226289,8.784577380773761,,,0.5424343371226289,8.784577380773761,,,1.2429931619781083,20.12993155052731,1.2429931619781083,2.877077209750438,2.877077209750438,0.4604303339328695,55.00686336040777,
Backward rate4 [M/s],,0.7408595016117213,12.442748880303805,0.7408595016117213,3.2009810658123774,0.5122115043048322,12.442748880303805,,,0.7408595016117213,12.442748880303805,0.6914764421317907,3.2009810658123774,0.5122115043048322,12.442748880303805,,,0.7408595016117213,12.442748880303805,0.6914764421317907,3.2009810658123774,0.5122115043048322,12.442748880303805,,,0.8473983104581047,7.62465878972107,,,0.8473983104581047,7.62465878972107,,,1.9418203776810792,17.471967112280293,1.9418203776810792,4.4947813176285525,4.4947813176285525,0.7192415586541752,42.97092993267939,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
