,hpso01 (Ingest) [Nf_max=65536] [Na=512],hpso01 (RCAL) [Nf_max=65536] [Na=512],hpso01 (FastImg) [Nf_max=65536] [Na=512],hpso01 (ICAL) [Nf_max=65536] [Na=512],hpso01 (DPrepA) [Nf_max=65536] [Na=512],hpso01 (DPrepB) [Nf_max=65536] [Na=512],hpso01 (DPrepC) [Nf_max=65536] [Na=512],hpso01 (DPrepD) [Nf_max=65536] [Na=512],hpso02a (Ingest) [Nf_max=65536] [Na=512],hpso02a (RCAL) [Nf_max=65536] [Na=512],hpso02a (FastImg) [Nf_max=65536] [Na=512],hpso02a (ICAL) [Nf_max=65536] [Na=512],hpso02a (DPrepA) [Nf_max=65536] [Na=512],hpso02a (DPrepB) [Nf_max=65536] [Na=512],hpso02a (DPrepC) [Nf_max=65536] [Na=512],hpso02a (DPrepD) [Nf_max=65536] [Na=512],hpso02b (Ingest) [Nf_max=65536] [Na=512],hpso02b (RCAL) [Nf_max=65536] [Na=512],hpso02b (FastImg) [Nf_max=65536] [Na=512],hpso02b (ICAL) [Nf_max=65536] [Na=512],hpso02b (DPrepA) [Nf_max=65536] [Na=512],hpso02b (DPrepB) [Nf_max=65536] [Na=512],hpso02b (DPrepC) [Nf_max=65536] [Na=512],hpso02b (DPrepD) [Nf_max=65536] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Na=512],hpso05a (RCAL) [Na=512],hpso05a (FastImg) [Na=512],hpso05a (PST) [Na=512],max_low (Ingest) [Na=512],max_low (RCAL) [Na=512],max_low (FastImg) [Na=512],max_low (ICAL) [Na=512],max_low (DPrepA) [Na=512],max_low (DPrepA_Image) [Na=512],max_low (DPrepB) [Na=512],max_low (DPrepC) [Na=512],max_low (DPrepD) [Na=512]
Frequencies predict kernels1,,273.8938745774346,365.0584953999703,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,365.0584953999703,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,365.0584953999703,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,157.12325531944637,222.83688638800666,,,157.12325531944637,222.83688638800666,,,362.3494285920712,512.317136997464,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,
Frequencies predict kernels2,,273.8938745774346,369.3268941633874,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,369.3268941633874,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,369.3268941633874,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,157.12325531944637,223.45734073105942,,,157.12325531944637,223.45734073105942,,,362.3494285920712,517.5643890331957,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,
Frequencies predict kernels3,,273.8938745774346,402.0118333134956,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,402.0118333134956,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,402.0118333134956,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,157.12325531944637,228.37652250683485,,,157.12325531944637,228.37652250683485,,,362.3494285920712,557.966411514353,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,
Frequencies predict kernels4,,273.8938745774346,521.3112317056056,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,521.3112317056056,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,521.3112317056056,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,157.12325531944637,264.6765061871089,,,157.12325531944637,264.6765061871089,,,362.3494285920712,691.9319662732792,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,
Frequencies predict de-grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies predict de-grid1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies predict de-grid2,65536.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,4038.693502406632,2907.4553987723175,,65536.0,4038.693502406632,2907.4553987723175,,65536.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,
Frequencies predict de-grid3,65536.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,65536.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,65536.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,65536.0,8076.963378093995,5814.487179478897,,65536.0,8076.963378093995,5814.487179478897,,65536.0,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,65536.0,
Frequencies predict de-grid4,65536.0,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,65536.0,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,65536.0,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,
Frequencies total0,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,(undefined),65536.0,16153.503118368213,11628.550725478857,(undefined),65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total1,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total2,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total3,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies total4,65536.0,26361.045532597625,18976.735944442335,26361.045532597625,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,26361.045532597625,18976.735944442335,17574.26139906265,9763.786609120725,9763.786609120725,18976.735944442335,18976.735944442335,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,26646.917775907757
Frequencies backward kernels0,(undefined),273.8938745774346,364.52288461678205,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,(undefined),(undefined),273.8938745774346,364.52288461678205,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,(undefined),(undefined),273.8938745774346,364.52288461678205,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,(undefined),(undefined),157.12325531944637,222.75933872570835,(undefined),(undefined),157.12325531944637,222.75933872570835,(undefined),(undefined),362.3494285920712,511.6591552951528,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,(undefined)
Frequencies backward kernels1,,273.8938745774346,365.0584953999703,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,365.0584953999703,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,365.0584953999703,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,157.12325531944637,222.83688638800666,,,157.12325531944637,222.83688638800666,,,362.3494285920712,512.317136997464,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,
Frequencies backward kernels2,,273.8938745774346,369.3268941633874,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,369.3268941633874,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,369.3268941633874,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,157.12325531944637,223.45734073105942,,,157.12325531944637,223.45734073105942,,,362.3494285920712,517.5643890331957,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,
Frequencies backward kernels3,,273.8938745774346,402.0118333134956,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,402.0118333134956,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,402.0118333134956,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,157.12325531944637,228.37652250683485,,,157.12325531944637,228.37652250683485,,,362.3494285920712,557.966411514353,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,
Frequencies backward kernels4,,273.8938745774346,521.3112317056056,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,521.3112317056056,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,273.8938745774346,521.3112317056056,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,,,157.12325531944637,264.6765061871089,,,157.12325531944637,264.6765061871089,,,362.3494285920712,691.9319662732792,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,
Frequencies backward grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies backward grid1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies backward grid2,65536.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,4038.693502406632,2907.4553987723175,,65536.0,4038.693502406632,2907.4553987723175,,65536.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,
Frequencies backward grid3,65536.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,65536.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,65536.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,65536.0,8076.963378093995,5814.487179478897,,65536.0,8076.963378093995,5814.487179478897,,65536.0,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,65536.0,
Frequencies backward grid4,65536.0,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,65536.0,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,65536.0,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,65536.0,16153.503118368213,11628.550725478857,,65536.0,16153.503118368213,11628.550725478857,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,(undefined),9563.01312,9563.01312,9563.01312,(undefined),9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312
Averaged rate0 [M/s],4410.475823681765,1774.059356819092,1277.106248403254,1774.059356819092,657.0883909166673,657.0883909166673,1277.106248403254,1277.106248403254,4410.475823681765,1774.059356819092,1277.106248403254,1182.7217867985455,657.0883909166673,657.0883909166673,1277.106248403254,1277.106248403254,4410.475823681765,1774.059356819092,1277.106248403254,1182.7217867985455,657.0883909166673,657.0883909166673,1277.106248403254,1277.106248403254,4410.475823681765,1087.1068568623505,782.5842565793083,(undefined),4410.475823681765,1087.1068568623505,782.5842565793083,(undefined),4410.475823681765,2491.114073850774,1793.2981357769322,2491.114073850774,922.676067992699,922.676067992699,922.676067992699,4410.475823681765,1793.2981357769322
Averaged rate1 [M/s],1244.7983851898725,500.7047563307835,360.4463235445622,500.7047563307835,185.45449530596892,185.45449530596892,360.4463235445622,360.4463235445622,1244.7983851898725,500.7047563307835,360.4463235445622,333.8075593636764,185.45449530596892,185.45449530596892,360.4463235445622,360.4463235445622,1244.7983851898725,500.7047563307835,360.4463235445622,333.8075593636764,185.45449530596892,185.45449530596892,360.4463235445622,360.4463235445622,1244.7983851898725,306.82151179358397,220.8740412166535,,1244.7983851898725,306.82151179358397,220.8740412166535,,1244.7983851898725,703.0839529383518,506.13464687709484,703.0839529383518,260.41309949452864,260.41309949452864,260.41309949452864,1244.7983851898725,506.13464687709484
Averaged rate2 [M/s],1408.246459301859,566.449722820674,407.7746765574224,566.449722820674,209.80557131459295,209.80557131459295,407.7746765574224,407.7746765574224,1408.246459301859,566.449722820674,407.7746765574224,377.6381132518815,209.80557131459295,209.80557131459295,407.7746765574224,407.7746765574224,1408.246459301859,566.449722820674,407.7746765574224,377.6381132518815,209.80557131459295,209.80557131459295,407.7746765574224,407.7746765574224,1408.246459301859,347.1086665613338,249.87587564037574,,1408.246459301859,347.1086665613338,249.87587564037574,,1408.246459301859,795.4022909230908,572.5925843693522,795.4022909230908,294.6066043161319,294.6066043161319,294.6066043161319,1408.246459301859,572.5925843693522
Averaged rate3 [M/s],1770.6146253334407,712.2078362899492,512.7027313891663,712.2078362899492,263.7924708365472,263.7924708365472,512.7027313891663,512.7027313891663,1770.6146253334407,712.2078362899492,512.7027313891663,474.8114664095041,263.7924708365472,263.7924708365472,512.7027313891663,512.7027313891663,1770.6146253334407,712.2078362899492,512.7027313891663,474.8114664095041,263.7924708365472,263.7924708365472,512.7027313891663,512.7027313891663,1770.6146253334407,436.42622179797513,314.1736142877908,,1770.6146253334407,436.42622179797513,314.1736142877908,,1770.6146253334407,1000.0741844792863,719.9313710644518,1000.0741844792863,370.41439648324524,370.41439648324524,370.41439648324524,1770.6146253334407,719.9313710644518
Averaged rate4 [M/s],691.5951242708401,278.18558595315744,200.25967489244863,278.18558595315744,103.03630391370866,103.03630391370866,200.25967489244863,200.25967489244863,691.5951242708401,278.18558595315744,200.25967489244863,185.4594954872583,103.03630391370866,103.03630391370866,200.25967489244863,200.25967489244863,691.5951242708401,278.18558595315744,200.25967489244863,185.4594954872583,103.03630391370866,103.03630391370866,200.25967489244863,200.25967489244863,691.5951242708401,170.4663695763743,122.71498083614071,,691.5951242708401,170.4663695763743,122.71498083614071,,691.5951242708401,390.6250518882734,281.2023683267789,390.6250518882734,144.68240965720884,144.68240965720884,144.68240965720884,691.5951242708401,281.2023683267789
Predict rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,396.94282413135886,(undefined)
Predict rate1 [M/s],,10.43326893934158,40.560578265797105,10.43326893934158,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,6.393288233777414,24.85466582850452,,,6.393288233777414,24.85466582850452,,,14.65027720186278,56.9546995118936,14.65027720186278,2.93110239283116,2.93110239283116,2.93110239283116,155.59979814873407,
Predict rate2 [M/s],,47.207867015433585,91.75935536082312,47.207867015433585,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,28.92799797042624,56.228216458271355,,,28.92799797042624,56.228216458271355,,,66.28875076222748,128.84744284309275,66.28875076222748,9.208416183486534,9.208416183486534,9.208416183486534,352.06161482546474,
Predict rate3 [M/s],,356.1132814282506,230.7246559938554,356.1132814282506,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506,230.7246559938554,118.70754818263683,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506,230.7246559938554,118.70754818263683,32.97639957074414,32.97639957074414,128.18036444103078,,,218.21883370263396,141.38327690001233,,,218.21883370263396,141.38327690001233,,,500.0502352684087,323.98094558486474,500.0502352684087,46.30508517110153,46.30508517110153,46.30508517110153,885.3073126667203,
Predict rate4 [M/s],,278.18558595315744,200.25967489244866,278.18558595315744,51.51815195685433,51.51815195685433,200.25967489244866,,,278.18558595315744,200.25967489244866,185.4594954872583,51.51815195685433,51.51815195685433,200.25967489244866,,,278.18558595315744,200.25967489244866,185.4594954872583,51.51815195685433,51.51815195685433,200.25967489244866,,,170.4663695763743,122.7149808361407,,,170.4663695763743,122.7149808361407,,,390.6250518882734,281.2023683267789,390.6250518882734,72.34120482860442,72.34120482860442,72.34120482860442,691.5951242708401,
Backward rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,396.94282413135886,(undefined)
Backward rate1 [M/s],,10.43326893934158,40.560578265797105,10.43326893934158,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,6.393288233777414,24.85466582850452,,,6.393288233777414,24.85466582850452,,,14.65027720186278,56.9546995118936,14.65027720186278,2.93110239283116,2.93110239283116,2.93110239283116,155.59979814873407,
Backward rate2 [M/s],,47.207867015433585,91.75935536082312,47.207867015433585,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,28.92799797042624,56.228216458271355,,,28.92799797042624,56.228216458271355,,,66.28875076222748,128.84744284309275,66.28875076222748,9.208416183486534,9.208416183486534,9.208416183486534,352.06161482546474,
Backward rate3 [M/s],,356.1132814282506,230.7246559938554,356.1132814282506,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506,230.7246559938554,118.70754818263683,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506,230.7246559938554,118.70754818263683,32.97639957074414,32.97639957074414,128.18036444103078,,,218.21883370263396,141.38327690001233,,,218.21883370263396,141.38327690001233,,,500.0502352684087,323.98094558486474,500.0502352684087,46.30508517110153,46.30508517110153,46.30508517110153,885.3073126667203,
Backward rate4 [M/s],,278.18558595315744,200.25967489244866,278.18558595315744,51.51815195685433,51.51815195685433,200.25967489244866,,,278.18558595315744,200.25967489244866,185.4594954872583,51.51815195685433,51.51815195685433,200.25967489244866,,,278.18558595315744,200.25967489244866,185.4594954872583,51.51815195685433,51.51815195685433,200.25967489244866,,,170.4663695763743,122.7149808361407,,,170.4663695763743,122.7149808361407,,,390.6250518882734,281.2023683267789,390.6250518882734,72.34120482860442,72.34120482860442,72.34120482860442,691.5951242708401,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
